,0,1,2,3,4,5,6,7,8,9,result
0,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,0.0,win
1,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Ice Golem,Magic Archer,Barbarian Barrel,Tombstone,1.0,0.0,win
2,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,0.0,win
3,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,0.0,win
4,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,0.0,1.0,lose
5,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,2.0,3.0,lose
6,Magic Archer,Skeleton King,Giant,Night Witch,Zap,Tombstone,Tornado,Zappies,3.0,1.0,win
7,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,0.0,win
8,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,0.0,win
9,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,2.0,1.0,win
10,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,0.0,1.0,lose
11,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,2.0,0.0,win
12,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,3.0,lose
13,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,0.0,1.0,lose
14,Ram Rider,Skeleton King,Lumberjack,Bats,Skeleton Army,Giant Snowball,Musketeer,Freeze,1.0,0.0,win
15,Giant Snowball,Skeleton King,Bats,Ram Rider,Skeleton Army,Tombstone,Archers,Earthquake,1.0,0.0,win
16,Giant Snowball,Skeleton King,Bats,Ram Rider,Skeleton Army,Tombstone,Archers,Earthquake,1.0,0.0,win
17,Giant Snowball,Skeleton King,Bats,Ram Rider,Skeleton Army,Tombstone,Mother Witch,Arrows,0.0,1.0,lose
18,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem,1.0,0.0,win
19,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
20,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
21,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
22,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
23,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,2.0,1.0,win
24,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,3.0,lose
25,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,0.0,1.0,lose
26,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
27,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
28,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,2.0,1.0,win
29,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,0.0,1.0,lose
30,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
31,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,0.0,1.0,lose
32,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,3.0,lose
33,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,0.0,1.0,lose
34,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,2.0,1.0,win
35,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
36,Lava Hound,Lumberjack,Baby Dragon,Arrows,Skeleton Army,Bats,Clone,Flying Machine,0.0,1.0,lose
37,Lava Hound,Lumberjack,Baby Dragon,Arrows,Skeleton Army,Bats,Clone,Flying Machine,0.0,3.0,lose
38,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
39,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
40,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,1.0,0.0,win
41,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner,2.0,1.0,win
42,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,1.0,0.0,win
43,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,0.0,1.0,lose
44,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,0.0,1.0,lose
45,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,1.0,0.0,win
46,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
47,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
48,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,2.0,1.0,win
49,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,3.0,1.0,win
50,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
51,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,3.0,1.0,win
52,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,0.0,1.0,lose
53,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
54,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
55,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,2.0,lose
56,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,0.0,3.0,lose
57,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,3.0,lose
58,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
59,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,2.0,lose
60,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,0.0,1.0,lose
61,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
62,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,2.0,lose
63,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
64,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,1.0,0.0,win
65,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,0.0,1.0,lose
66,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,2.0,1.0,win
67,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,2.0,1.0,win
68,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,0.0,1.0,lose
69,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,0.0,1.0,lose
70,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,1.0,3.0,lose
71,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,3.0,0.0,win
72,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,1.0,0.0,win
73,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,0.0,1.0,lose
74,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,1.0,0.0,win
75,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,1.0,2.0,lose
76,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,2.0,1.0,win
77,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,3.0,2.0,win
78,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,1.0,0.0,win
79,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,0.0,1.0,lose
80,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,0.0,3.0,lose
81,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,0.0,1.0,lose
82,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,0.0,1.0,lose
83,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,0.0,1.0,lose
84,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
85,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
86,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
87,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,0.0,1.0,lose
88,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
89,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
90,Ice Golem,Hog Rider,Three Musketeers,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
91,Fire Spirit,Skeletons,The Log,Royal Delivery,Earthquake,Goblin Cage,Archer Queen,Royal Hogs,1.0,0.0,win
92,Electro Giant,Bats,Skeletons,Electro Spirit,Fireball,The Log,Archer Queen,Tornado,0.0,1.0,lose
93,Skeleton Barrel,The Log,Fireball,Cannon,Valkyrie,Goblin Barrel,Dart Goblin,Skeletons,1.0,0.0,win
94,P.E.K.K.A,Skeletons,The Log,Tornado,Bats,Electro Giant,Earthquake,Fire Spirit,0.0,1.0,lose
95,X-Bow,Archers,Knight,Skeletons,Tesla,The Log,Mirror,Fireball,1.0,0.0,win
96,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
97,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,0.0,1.0,lose
98,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
99,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,0.0,1.0,lose
100,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
101,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
102,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,1.0,0.0,win
103,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
104,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
105,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
106,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
107,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
108,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,0.0,1.0,lose
109,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,0.0,1.0,lose
110,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
111,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
112,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,0.0,1.0,lose
113,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,0.0,1.0,lose
114,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
115,Hog Rider,Musketeer,Cannon,Fireball,Skeletons,Ice Spirit,Ice Golem,The Log,1.0,0.0,win
116,Archer Queen,Bandit,Electro Spirit,Giant Snowball,Lightning,Mega Knight,Ram Rider,Royal Ghost,1.0,0.0,win
117,Skeleton Barrel,Goblin Barrel,Dart Goblin,Wall Breakers,The Log,Hunter,Skeletons,Ice Spirit,1.0,0.0,win
118,Spear Goblins,Wall Breakers,Magic Archer,Tornado,Fireball,Miner,Valkyrie,Bomb Tower,2.0,1.0,win
119,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess,1.0,0.0,win
120,Barbarian Barrel,Tornado,Baby Dragon,Lightning,Mega Minion,Goblin Cage,Valkyrie,Royal Giant,0.0,1.0,lose
121,Giant,Graveyard,Bowler,Barbarians,Mega Minion,Night Witch,Arrows,Zap,1.0,0.0,win
122,The Log,Hog Rider,Skeletons,Valkyrie,Earthquake,Electro Spirit,Firecracker,Tesla,1.0,0.0,win
123,Fire Spirit,Skeletons,Earthquake,Royal Delivery,The Log,Goblin Cage,Archer Queen,Royal Hogs,1.0,0.0,win
124,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,2.0,0.0,win
125,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,1.0,0.0,win
126,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,1.0,0.0,win
127,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,0.0,1.0,lose
128,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,2.0,1.0,win
129,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,0.0,1.0,lose
130,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,1.0,0.0,win
131,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone,1.0,0.0,win
132,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
133,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
134,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
135,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,3.0,lose
136,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,2.0,lose
137,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
138,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
139,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,2.0,1.0,win
140,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
141,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,2.0,1.0,win
142,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
143,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
144,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,2.0,1.0,win
145,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
146,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
147,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
148,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
149,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
150,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
151,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A,1.0,0.0,win
152,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Bandit,Electro Wizard,P.E.K.K.A,1.0,0.0,win
153,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Bandit,Electro Wizard,P.E.K.K.A,0.0,1.0,lose
154,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Bandit,Electro Wizard,P.E.K.K.A,2.0,1.0,win
155,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
156,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,0.0,2.0,lose
157,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,2.0,1.0,win
158,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,2.0,1.0,win
159,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
160,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,3.0,1.0,win
161,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
162,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
163,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
164,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
165,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
166,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,0.0,1.0,lose
167,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,2.0,lose
168,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
169,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
170,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,2.0,1.0,win
171,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
172,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,0.0,1.0,lose
173,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
174,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,3.0,1.0,win
175,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
176,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,2.0,lose
177,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,1.0,0.0,win
178,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,0.0,1.0,lose
179,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard,2.0,1.0,win
180,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,2.0,1.0,win
181,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
182,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,3.0,lose
183,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel,1.0,0.0,win
