type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T180011.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#202GUYUP,Wyze❤️Ultimo,6777,1,#2PQR0U,I MIRMIDONI,16000081,Ram Rider,3,6,Electro Spirit,11,14,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Mega Knight,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RV9RPG2V,TrepidTomato254,5151,2,#YV28YCYY,PerúTNT,16000179,Ram Rider,3,6,Giant Snowball,11,14,Lightning,6,9,Electro Wizard,3,6,Barbarian Barrel,6,9,Golden Knight,1,4,Royal Ghost,3,6,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T161635.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#202GUYUP,Wyze❤️Ultimo,6777,1,#2PQR0U,I MIRMIDONI,16000081,Ram Rider,3,6,Electro Spirit,11,14,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Mega Knight,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RC8RRJYUP,MrNotSoWondrful,4932,3,#L98GQYP9,Ponder Tacos,16000113,Ram Rider,3,6,Fireball,9,12,Mother Witch,3,6,Furnace,9,12,Goblin Hut,9,12,Flying Machine,9,12,Barbarian Barrel,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T151113.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#202GUYUP,Wyze❤️Ultimo,6777,0,#2PQR0U,I MIRMIDONI,16000081,Ram Rider,3,6,Electro Spirit,11,14,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Mega Knight,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GGQPU80,joaoleb,5323,3,#2G8JLR2G,goianos brutus,16000025,Ram Rider,3,6,Golden Knight,1,4,Witch,6,9,Valkyrie,9,12,Wizard,9,12,Firecracker,11,14,Mega Knight,3,6,Electro Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6809,0,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CLRGCQGV,✨로제❤️Rosé✨,6781,1,#L9QGG299,Altitude,16000107,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115043.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6840,0,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2GPR8C,斑斑❤️苗苗,6823,1,#9L0JQL,复旦大联盟,16000017,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T114617.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6814,1,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYU829L,Kyle,6768,0,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113908.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6789,1,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J0JVYQU8,ali,6741,0,#YVRJP8GC,Destroyers,16000163,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Minions,14,14,Musketeer,12,12,Graveyard,6,6,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091509.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6759,1,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R02V2LJV,Eruption™,6768,0,#LRUUCURY,AL✨Oldies™️✨,16000145,P.E.K.K.A,9,9,Battle Ram,12,12,Royal Ghost,6,6,Electro Wizard,6,6,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090937.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6793,0,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QLJPC2R0,DEAD MAN,6743,1,#LJ0U898U,golden brothers,16000012,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Freeze,9,9,Archers,14,14,Bowler,9,9,Valkyrie,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090420.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#202GUYUP,Wyze❤️Ultimo,6763,1,#2PQR0U,I MIRMIDONI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Fire Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CV9909J,gen,6765,0,#LVQ2V2J2,Green ogress,16000136,P.E.K.K.A,9,9,Magic Archer,6,6,Elixir Golem,12,12,Zappies,12,12,Dark Prince,9,9,Tornado,9,9,Electro Dragon,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
