type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T145643.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6696,2,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6692,0,#CPVV9QJ,RoyalFlush II,16000077,Skeletons,14,14,The Log,6,6,Golden Knight,4,4,Royal Giant,14,14,Fisherman,6,6,Fireball,12,12,Mega Minion,12,12,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145120.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6664,1,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22RPYJ0Y8,♤CalC£11♤,6694,0,#YJ2YY980,PUKIS AIRLINES,16000167,Skeletons,14,14,The Log,6,6,Tesla,14,14,Valkyrie,12,12,Hog Rider,12,12,Electro Spirit,14,14,Firecracker,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144752.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6637,1,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L89JCJVG,BLENNER,6606,0,#LCU09QL8,BisTuRi,16000021,Goblin Barrel,9,9,Skeleton Army,8,9,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,Princess,6,6,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144439.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6662,0,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCGG02RV,♠️♥️marco♥️♠️™️,6709,1,#PRR8Q8PL,le pecore nere,16000081,Elixir Golem,12,12,Arrows,14,14,Miner,6,6,Battle Healer,12,12,Rage,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093747.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6631,2,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RLRJPPVU,asul,6651,1,#8UGLRQJ,ROMANIA,16000044,Skeleton Army,9,9,The Log,6,6,Witch,9,9,Rocket,12,12,Minion Horde,14,14,Giant,12,12,Rage,9,9,Musketeer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093437.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6662,0,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQC0LYUCV,がっぺん,6648,1,#LGPJ8RC8,LiSA,16000054,Giant,12,12,Prince,9,9,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,Miner,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T092903.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#2088P88C2,charlie,6662,0,,,,Inferno Dragon,3,6,Electro Giant,6,9,Ice Wizard,3,6,Tombstone,9,12,Barbarian Barrel,6,9,Dark Prince,6,9,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYJRCG9RR,HDZ Senpai✨,5408,1,,,,Electro Giant,6,9,Earthquake,9,12,Archer Queen,1,4,Tombstone,9,12,Bomber,11,14,Tornado,6,9,Prince,6,9,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T091859.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#2088P88C2,charlie,6662,2,,,,Inferno Dragon,3,6,Electro Giant,6,9,Ice Wizard,3,6,Tombstone,9,12,Barbarian Barrel,6,9,Dark Prince,6,9,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GCGG9PV0,yoyo,4297,1,,,,Skeleton King,1,4,Golem,6,9,Clone,6,9,Night Witch,3,6,Arrows,11,14,Flying Machine,9,12,Skeleton Army,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T091024.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#2088P88C2,charlie,6662,1,,,,Inferno Dragon,3,6,Electro Giant,6,9,Ice Wizard,3,6,Tombstone,9,12,Barbarian Barrel,6,9,Dark Prince,6,9,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8Q2J0Y0U,khaled,5263,0,#LYP92Q82,ليبيا,16000002,Archer Queen,1,4,Royal Delivery,11,14,Barbarian Barrel,6,9,Ice Spirit,11,14,Royal Hogs,9,12,Earthquake,9,12,Goblin Cage,9,12,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T065558.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2088P88C2,charlie,6630,1,,,,Lightning,9,9,Barbarian Barrel,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Dark Prince,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8PRCULQU,♨️江戸スタッフォード♨️,6657,0,#8QP9RCUC,Selene Vert,16000031,Guards,9,9,Rascals,14,14,Dart Goblin,12,12,Rocket,12,12,Goblin Barrel,9,9,Prince,9,9,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
