type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T152907.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#208Q9VCRQ,lance,6765,1,#QRCQUJ0,Les enflammer,16000000,Mega Knight,5,6,Flying Machine,11,12,Furnace,11,12,Earthquake,11,12,Zappies,11,12,Mother Witch,5,6,Goblin Hut,11,12,Bowler,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29LPG2Q2R,Rammsisaac,5656,0,#PJRPQ0R8,Nasty group,16000073,Hog Rider,11,12,Earthquake,11,12,Firecracker,13,14,Minions,13,14,Ice Golem,11,12,Mini P.E.K.K.A,11,12,Skeletons,13,14,Barbarian Barrel,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T152533.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#208Q9VCRQ,lance,6765,1,#QRCQUJ0,Les enflammer,16000000,Elixir Golem,11,12,Electro Dragon,8,9,Baby Dragon,8,9,Tornado,8,9,Barbarian Hut,11,12,Battle Healer,11,12,Heal Spirit,11,12,Fireball,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LV8RPJ00,chinto,5812,2,#92UV9CRP,gigantes,16000015,Dark Prince,9,9,Goblin Barrel,8,9,Musketeer,11,12,Rocket,11,12,Firecracker,13,14,Lumberjack,5,6,Bowler,8,9,Hog Rider,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T152146.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#208Q9VCRQ,lance,6765,0,#QRCQUJ0,Les enflammer,16000000,Giant,11,12,Prince,8,9,Dark Prince,8,9,Poison,8,9,Electro Wizard,5,6,Night Witch,5,6,The Log,5,6,Musketeer,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22CVYJCV,RealMan84,5550,1,#2GGQVPV,Betamax Format,16000082,Hog Rider,11,12,Executioner,9,9,Giant Skeleton,9,9,Golem,8,9,Graveyard,5,6,Goblin Hut,11,12,Baby Dragon,8,9,Tesla,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T151824.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#208Q9VCRQ,lance,6765,3,#QRCQUJ0,Les enflammer,16000000,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Mega Minion,12,12,Tombstone,12,12,Guards,8,9,Minions,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQ9092Q,sayako,6012,0,#UU09Q0L,PANDA'S TEAM,16000136,Balloon,8,9,Cannon Cart,8,9,Princess,5,6,Lumberjack,5,6,Tesla,13,14,Elite Barbarians,13,14,Lightning,8,9,Bats,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T151622.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#208Q9VCRQ,lance,6765,3,#QRCQUJ0,Les enflammer,16000000,Mirror,6,9,Skeleton Barrel,11,14,Graveyard,3,6,Skeleton Dragons,11,14,Battle Healer,9,12,Bandit,3,6,Heal Spirit,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PV0LY8L2,Cake Boss,5195,0,#2YQVPVJ9,FSCP Brothers,16000014,Mirror,6,9,Skeleton Barrel,11,14,Graveyard,3,6,Skeleton Dragons,11,14,Battle Healer,9,12,Bandit,3,6,Heal Spirit,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T131241.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#208Q9VCRQ,lance,6765,3,#QRCQUJ0,Les enflammer,16000000,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Mega Minion,12,12,Tombstone,12,12,Minions,14,14,Goblin Gang,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9028RYPQ,QAJ,5103,0,#98VUG8JU,jordan mafia,16000042,Mega Knight,6,6,The Log,3,6,Mini P.E.K.K.A,10,12,Bandit,5,6,Electro Wizard,3,6,Wizard,11,12,Witch,7,9,Bats,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T062925.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#208Q9VCRQ,lance,6765,3,#QRCQUJ0,Les enflammer,16000000,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Mega Minion,12,12,Tombstone,12,12,Minions,14,14,Goblin Gang,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9RVJPRRL,针对我啊,5963,0,#QJPRVPUJ,北航皇家飞行学院,16000017,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T062648.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#208Q9VCRQ,lance,6765,1,#QRCQUJ0,Les enflammer,16000000,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Mega Minion,12,12,Tombstone,12,12,Minions,14,14,Goblin Gang,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPQQCYY8,<c5>✨Kazokas✨,5462,2,#YLG2RGLY,Narkomanai,16000024,Mega Knight,6,6,Arrows,14,14,Wall Breakers,9,9,Bats,14,14,Valkyrie,12,12,Hunter,9,9,Giant Snowball,13,14,Magic Archer,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220103T232830.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#208Q9VCRQ,lance,6765,3,#QRCQUJ0,Les enflammer,16000000,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Mega Minion,12,12,Tombstone,12,12,Minions,14,14,Goblin Gang,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GJ820UJV,Godrule,5943,1,#820G8Q,Aliança Tuga,16000028,Mega Knight,6,6,Bats,13,14,Graveyard,6,6,Golden Knight,2,4,Dart Goblin,12,12,Barbarian Barrel,6,9,Fireball,12,12,Tombstone,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220103T203359.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8J0UGC,LeCookiefou:p,5778,0,#QRCQUJ0,Les enflammer,16000000,Goblin Giant,9,9,Dark Prince,9,9,Archer Queen,3,4,Electro Wizard,6,6,Fireball,12,12,Mini P.E.K.K.A,12,12,Firecracker,14,14,The Log,6,6,#208Q9VCRQ,lance,,0,#QRCQUJ0,Les enflammer,16000000,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Mega Minion,12,12,Tombstone,12,12,Minions,14,14,Goblin Gang,14,14,Arrows,14,14,#9YVLRU9RV,Jonny-_-,6031,1,#L89VQ0P8,Revello1917,16000039,Mother Witch,6,6,Sparky,6,6,Goblin Giant,9,9,Rage,9,9,Heal Spirit,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Zap,14,14,#8CRPLJU8Q,$hí$hígan,,1,#9JV99P,CHILE,16000036,Hog Rider,12,12,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14,Baby Dragon,9,9,Skeleton Army,9,9,Mega Knight,6,6,The Log,6,6
