type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T164401.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#220J8JRJ,KING がぼ,6735,2,#JRJPG9,CRO-PRO,16000044,Mirror,6,9,Elixir Golem,9,12,Royal Giant,11,14,Wizard,9,12,Goblin Cage,9,12,Royal Ghost,3,6,Heal Spirit,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J9UGQRG0,Sp3rg,5672,1,#QRC99PU,DieFrostwölfe,16000168,Mirror,6,9,Elixir Golem,9,12,Royal Giant,11,14,Wizard,9,12,Goblin Cage,9,12,Royal Ghost,3,6,Heal Spirit,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T164042.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#220J8JRJ,KING がぼ,6735,0,#JRJPG9,CRO-PRO,16000044,Bowler,9,9,Inferno Dragon,6,6,Balloon,8,9,Baby Dragon,8,9,Freeze,8,9,Barbarian Barrel,9,9,Tornado,8,9,Lumberjack,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#900JUU2Q,Negr0silva,6431,1,#82L9V0,DeMemtes Royale,16000024,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Guards,9,9,Spear Goblins,14,14,The Log,6,6,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T163634.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#220J8JRJ,KING がぼ,6735,1,#JRJPG9,CRO-PRO,16000044,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Wizard,9,12,Royal Ghost,3,6,Electro Wizard,3,6,Skeleton Army,6,9,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QP8VG0PC,carang1998,6012,0,#2UQRJQYY,Mazatlan Mex,16000097,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Wizard,9,12,Royal Ghost,3,6,Electro Wizard,3,6,Skeleton Army,6,9,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T163113.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#220J8JRJ,KING がぼ,6735,2,#JRJPG9,CRO-PRO,16000044,Mirror,6,9,Miner,3,6,Balloon,6,9,Witch,6,9,P.E.K.K.A,6,9,Night Witch,3,6,Ice Spirit,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J0V2UCRR,Aaron,5493,1,#2P9G8P0Y,大唐天子,16000039,Mirror,6,9,Miner,3,6,Balloon,6,9,Witch,6,9,P.E.K.K.A,6,9,Night Witch,3,6,Ice Spirit,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T162725.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#220J8JRJ,KING がぼ,6735,1,#JRJPG9,CRO-PRO,16000044,Mirror,6,9,Elixir Golem,9,12,Royal Giant,11,14,Wizard,9,12,Knight,11,14,Night Witch,3,6,Skeleton Army,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LPUY2QR,NE (14),6106,0,#PC8YYJ2R,Top Shisha,16000003,Mirror,6,9,Elixir Golem,9,12,Royal Giant,11,14,Wizard,9,12,Knight,11,14,Night Witch,3,6,Skeleton Army,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T161315.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#220J8JRJ,KING がぼ,6735,3,#JRJPG9,CRO-PRO,16000044,Mirror,6,9,Goblin Barrel,6,9,Golem,6,9,Archers,11,14,Elite Barbarians,11,14,Fisherman,3,6,Skeletons,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U892QCRR,Phil,6060,1,#PCQJY,GERMAN ELITE,16000080,Mirror,6,9,Goblin Barrel,6,9,Golem,6,9,Archers,11,14,Elite Barbarians,11,14,Fisherman,3,6,Skeletons,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063123.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#220J8JRJ,KING がぼ,6707,1,#JRJPG9,CRO-PRO,16000044,Skeleton King,4,4,Arrows,14,14,Inferno Dragon,6,6,Mother Witch,6,6,Zappies,12,12,Graveyard,6,6,Skeleton Army,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U92GJG0,⚡️Dark WizzarD✨,6684,0,#Q9YCC9CG,SeromPiolaTaza,16000011,Electro Wizard,6,6,P.E.K.K.A,9,9,Ram Rider,6,6,Mother Witch,6,6,Poison,9,9,Royal Ghost,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062708.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#220J8JRJ,KING がぼ,6679,1,#JRJPG9,CRO-PRO,16000044,Skeleton King,4,4,Arrows,14,14,Inferno Dragon,6,6,Mother Witch,6,6,Zappies,12,12,Graveyard,6,6,Skeleton Army,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPRCLYG8U,Astros,6661,0,#PPCLCJG9,AK Syndicate,16000044,Tornado,9,9,Goblin Cage,12,12,Dark Prince,9,9,Skeletons,13,14,Archer Queen,4,4,Electro Giant,9,9,Lightning,9,9,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T061448.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#220J8JRJ,KING がぼ,6652,1,#JRJPG9,CRO-PRO,16000044,Skeleton King,4,4,Arrows,14,14,Inferno Dragon,6,6,Mother Witch,6,6,Zappies,12,12,Graveyard,6,6,Skeleton Army,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RCVC9CG,MasterHenz,6621,0,#22G8GPGC,Indo Warriors,16000151,P.E.K.K.A,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Lightning,9,9,Ram Rider,6,6,Fisherman,6,6,Zap,14,14,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T061102.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#220J8JRJ,KING がぼ,6625,1,#JRJPG9,CRO-PRO,16000044,Skeleton King,4,4,Arrows,14,14,Inferno Dragon,6,6,Mother Witch,6,6,Zappies,12,12,Graveyard,6,6,Skeleton Army,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GYUVP0UV,Harol,6592,0,#9QG2CRJ,#COLOMBIA,16000146,Mega Knight,6,6,Hog Rider,12,12,Guards,9,9,Royal Ghost,6,6,Minions,14,14,Inferno Dragon,6,6,Lightning,9,9,Giant Snowball,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
