type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220103T201936.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,14,14,Fisherman,6,6,Earthquake,12,12,Inferno Dragon,5,6,Heal Spirit,11,12,Giant Snowball,13,14,Cannon,13,14,Spear Goblins,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C29CYJ9,sdrfty,5899,2,#2UJRCQ2C,Egypt,16000165,Golem,8,9,Night Witch,5,6,Skeleton Army,9,9,Lightning,9,9,Firecracker,14,14,Clone,8,9,Tesla,14,14,Skeleton Barrel,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220103T201502.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#22LUPYCYC,M.P. GAMING,6723,3,#YUQ9LV02,No unreal!,16000158,Graveyard,5,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Poison,8,9,Mega Minion,12,12,Furnace,11,12,Fire Spirit,13,14,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CY9R89R,DaitoIMT,5866,1,#Q0JQQR,GOds Of Fate,16000059,Archer Queen,2,4,Magic Archer,5,6,Balloon,8,9,Prince,8,9,Earthquake,9,12,Skeleton Dragons,13,14,Freeze,8,9,Mega Knight,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220103T201118.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#22LUPYCYC,M.P. GAMING,6723,2,#YUQ9LV02,No unreal!,16000158,X-Bow,9,9,Ice Spirit,14,14,Knight,14,14,The Log,6,6,Tesla,14,14,Fireball,12,12,Archers,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RGJQRR8C,Luccas,5805,0,#L08LQCJY,ELITE BR,16000058,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Baby Dragon,9,9,Furnace,12,12,Lightning,9,9,Skeletons,13,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T195147.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJGJ9R20Y,TRIG,5358,0,#YJ2J0VJQ,stopthesteal,16000038,Archer Queen,1,4,Prince,6,9,Mega Knight,3,6,Miner,3,6,Wall Breakers,6,9,Zap,11,14,Arrows,11,14,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T194803.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q29QPCQ,Ares,5966,0,#9V0G2V9G,BLACK DEATH&CO.,16000081,Rage,6,9,Inferno Dragon,3,6,Elixir Golem,9,12,Arrows,11,14,Battle Healer,9,12,Electro Dragon,6,9,Elite Barbarians,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T194446.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#22LUPYCYC,M.P. GAMING,6723,0,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22V09GYRG,Frio,6148,1,#8PJCQ9G,Polish Knights,16000152,Hog Rider,9,12,Fire Spirit,11,14,Earthquake,9,12,Bomb Tower,9,12,Skeletons,11,14,Knight,11,14,The Log,3,6,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T193805.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JLUQYUY92,☠JavierSierra☠,2961,0,#QCP2PVJL,gru MLP,16000171,Ram Rider,3,6,P.E.K.K.A,6,9,Lightning,6,9,Golden Knight,1,4,Giant Snowball,11,14,Barbarian Barrel,6,9,Electro Wizard,3,6,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T193348.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LQC2RCJ,Alex❤️Snipe,6134,0,#QJ29QJGY,Legends Gang™,16000098,Electro Giant,6,9,Prince,6,9,Tornado,6,9,Skeletons,11,14,Tombstone,9,12,Bomber,11,14,Earthquake,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T193020.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2U888UY,Xavier,5239,0,#QC08G8RY,1号部落,16000018,Electro Giant,6,9,Prince,6,9,Archer Queen,1,4,Skeletons,11,14,Bomber,11,14,Tombstone,9,12,Tornado,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T192435.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#22LUPYCYC,M.P. GAMING,6723,1,#YUQ9LV02,No unreal!,16000158,Royal Giant,11,14,Fisherman,3,6,Dark Prince,6,9,Lightning,6,9,Electro Wizard,3,6,The Log,3,6,Mega Minion,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#988YCLP8Q,Dani,5294,0,#L0U2R8GG,Tu papi,16000163,Arrows,11,14,Lightning,6,9,Battle Ram,9,12,Royal Ghost,3,6,Magic Archer,3,6,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
