type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T151748.000Z,,54000016,Master II,72000007,Friendly,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6807,1,#VQCQQJP,Nice Strategy,16000136,Miner,3,6,The Log,3,6,Golden Knight,1,4,Bats,11,14,Wall Breakers,6,9,Spear Goblins,11,14,Bomb Tower,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UUQ9ULJG,메로엣타.Kang,6444,0,#9R9UUPY9,잎새 I기,16000170,Bats,11,14,Arrows,11,14,Skeleton Army,6,9,Ice Wizard,3,6,Freeze,6,9,Inferno Dragon,3,6,Balloon,6,9,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T151247.000Z,,54000016,Master II,72000007,Friendly,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6807,2,#VQCQQJP,Nice Strategy,16000136,Archers,11,14,The Log,3,6,Hog Rider,9,12,Knight,11,14,Skeletons,11,14,Bomb Tower,9,12,Giant Snowball,11,14,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UUQ9ULJG,메로엣타.Kang,6444,1,#9R9UUPY9,잎새 I기,16000170,Bats,11,14,Arrows,11,14,Skeleton Army,6,9,Ice Wizard,3,6,Freeze,6,9,Inferno Dragon,3,6,Balloon,6,9,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T150658.000Z,,54000016,Master II,72000007,Friendly,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6807,1,#VQCQQJP,Nice Strategy,16000136,Mega Knight,3,6,Giant Snowball,11,14,Archer Queen,1,4,Electro Spirit,11,14,Ram Rider,3,6,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UUQ9ULJG,메로엣타.Kang,6444,0,#9R9UUPY9,잎새 I기,16000170,Bats,11,14,Arrows,11,14,Skeleton Army,6,9,Ice Wizard,3,6,Freeze,6,9,Inferno Dragon,3,6,Balloon,6,9,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140246.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6774,1,#VQCQQJP,Nice Strategy,16000136,Lightning,9,9,Mother Witch,6,6,Electro Spirit,14,14,The Log,6,6,Archer Queen,4,4,Dark Prince,9,9,Royal Giant,14,14,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,6810,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135803.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6807,1,#VQCQQJP,Nice Strategy,16000136,Lightning,9,9,Mother Witch,6,6,Electro Spirit,14,14,The Log,6,6,Archer Queen,4,4,Dark Prince,9,9,Royal Giant,14,14,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2980L999G,H A M Z A ⭐,6770,3,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135407.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6772,1,#VQCQQJP,Nice Strategy,16000136,Lightning,9,9,Mother Witch,6,6,Electro Spirit,14,14,The Log,6,6,Archer Queen,4,4,Dark Prince,9,9,Royal Giant,14,14,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UPY0V992,Danu.R,6840,0,,,,Prince,9,9,Dark Prince,9,9,Bats,14,14,Goblin Giant,9,9,Guards,9,9,Spear Goblins,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134941.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6801,0,#VQCQQJP,Nice Strategy,16000136,Barbarian Barrel,9,9,Valkyrie,12,12,Tornado,9,9,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Archer Queen,4,4,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G9VQL8U8,EA Alex✨,6802,1,#Y20P8GCC,Los Puercos,16000141,Ice Wizard,6,6,Barbarian Barrel,9,9,Poison,9,9,Baby Dragon,9,9,Valkyrie,12,12,Tornado,9,9,Graveyard,6,6,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134359.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6771,1,#VQCQQJP,Nice Strategy,16000136,Barbarian Barrel,9,9,Valkyrie,12,12,Tornado,9,9,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Archer Queen,4,4,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6782,0,,,,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133930.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6745,1,#VQCQQJP,Nice Strategy,16000136,Barbarian Barrel,9,9,Valkyrie,12,12,Tornado,9,9,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Archer Queen,4,4,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RJGC8LL9,芝っち,6707,0,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22PL82RRU,⭐NS 뮤츠™⭐,6717,1,#VQCQQJP,Nice Strategy,16000136,Barbarian Barrel,9,9,Valkyrie,12,12,Tornado,9,9,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Archer Queen,4,4,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8LVL2RYU,葵花小小林,6697,0,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
