type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T183418.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6902,1,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29R29V8,A҉s҉o҉s҉1҉1҉❤️,6906,0,#Q9VV8JC9,Royal Recruits,16000028,Goblin Cage,12,12,Barbarian Barrel,9,9,Zappies,12,12,Fireball,12,12,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183000.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6883,3,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9GVYLQP,indianboy23,6751,0,#8YLJ8UL2,Aftershock,16000011,Electro Giant,9,9,Guards,9,9,Baby Dragon,9,9,Inferno Dragon,6,6,Tombstone,12,12,Tornado,8,9,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182659.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6915,0,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99Q8CU,Kaique™,6888,1,#9GUCJRL0,Team Solid,16000113,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Bats,14,14,Minion Horde,14,14,Fireball,12,12,Skeleton Army,9,9,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182127.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6887,1,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P0PQCVPC,Alperen,6875,0,,,,Royal Hogs,12,12,Electro Spirit,14,14,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,Fireball,12,12,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181712.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6855,2,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUJLPYJ,CHN丨小孩Matt Mx ❤,6885,1,#G90YLCQ8,Dark Dinasty,16000110,Bandit,6,6,Mega Knight,6,6,Royal Ghost,5,6,Electro Spirit,13,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181153.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6819,2,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R9QGCRG8,Nova I Akbey,6894,1,#LQ9RPYGV,Kafalar Esports,16000044,Lava Hound,6,6,Tombstone,11,12,Guards,9,9,Skeleton Dragons,14,14,Balloon,9,9,Zap,14,14,Mega Minion,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180726.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6790,1,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPU22G9Q,くろくも,6787,0,#LV88UQ09,ピー助様の絶対王政,16000013,Royal Giant,14,14,Giant Skeleton,9,9,The Log,6,6,Archer Queen,4,4,Electro Spirit,14,14,Zappies,12,12,Earthquake,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180135.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6821,0,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CU088V8G,RS✨Fabian Åhr,6801,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175605.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6852,0,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2PYL,WoToP,6833,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,Flying Machine,12,12,Dark Prince,9,9,Arrows,14,14,Royal Recruits,14,14,Zappies,12,12,Fisherman,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174933.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22Q8LLU8J,Kodigoⓒʀ,6825,1,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJVV2RPJ,огненный демон,6796,0,#LLL9PP98,ps 5,16000072,Lava Hound,6,6,Electro Dragon,9,9,Flying Machine,12,12,Fireball,12,12,Barbarians,14,14,Tornado,9,9,Goblin Cage,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
