type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T152313.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6843,1,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6894,0,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151609.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6813,3,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0888PVY,Kid DINAMITE,6823,0,,,,Baby Dragon,9,9,Barbarian Hut,12,12,Electro Dragon,9,9,Fireball,12,12,Battle Healer,12,12,Elixir Golem,12,12,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151235.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6782,1,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8VRGL,ベルモット,6795,0,#L89R9V9U,Hexer,16000120,Bandit,6,6,Barbarian Barrel,9,9,Cannon Cart,9,9,Electro Wizard,6,6,Heal Spirit,12,12,Golden Knight,4,4,Magic Archer,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150707.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6752,1,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9JUPPLY,alejo,6753,0,#L2J2GRL0,Dark prime,16000073,Giant Skeleton,9,9,Mega Minion,12,12,Golden Knight,4,4,Hog Rider,12,12,Arrows,14,14,Mother Witch,6,6,Freeze,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150133.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6782,0,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PQ9QCPL,Rocket | Viktor,6777,1,#28V2QQ9C,Rocket's,16000166,Royal Giant,14,14,Archer Queen,4,4,Dark Prince,9,9,Fisherman,6,6,Lightning,9,9,The Log,6,6,Electro Spirit,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145612.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6752,2,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98R8GQ2,leon der große,6752,1,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144946.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6715,1,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,6799,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Baby Dragon,9,9,Guards,9,9,Freeze,8,9,Bowler,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144601.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6741,0,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99YLJPPRL,RBN I inSAnE,6781,1,#YGL9PU80,Troops Of War,16000161,Fireball,12,12,Goblin Giant,9,9,Mega Minion,12,12,Royal Ghost,6,6,Bats,14,14,Fisherman,6,6,Mega Knight,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144106.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6768,0,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCG2V8L2,PEACE ON EARTH,6793,1,#LGQC8CQ2,trade547,16000131,Tornado,8,9,Earthquake,12,12,Electro Giant,9,9,Fire Spirit,14,14,Archer Queen,4,4,Goblin Cage,12,12,The Log,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142314.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6738,3,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCGG02RV,♠️♥️marco♥️♠️™️,6741,0,#PRR8Q8PL,le pecore nere,16000081,Elixir Golem,12,12,Arrows,14,14,Miner,6,6,Battle Healer,12,12,Rage,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
