type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T191807.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6928,0,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U290VCGJ,✨YAHO✨,6896,1,#9GQ9G0JV,KURDISTAN™,16000044,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191308.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6961,0,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8JULY2P,イワシ,6915,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190653.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6930,1,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P098CGQQ,Aldair Vargas,6950,0,#YU9LLU00,Giant Goblin DP,16000142,Prince,9,9,Fireball,12,12,Goblin Giant,9,9,Bats,14,14,Spear Goblins,14,14,Dark Prince,9,9,Goblin Gang,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6900,2,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P0PQCVPC,Alperen,6901,1,,,,Royal Hogs,12,12,Electro Spirit,14,14,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,Fireball,12,12,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185555.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6870,1,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLLPVURP,vadimdmish,6878,0,#LQYPP289,Сила дивана,16000142,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185105.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6906,1,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9UCJCQ,✨♣️♦️Pedal♥️♠️✨,6835,2,#LP9UYCUG,GLOBAL PLAYERS,16000076,Royal Recruits,14,14,Royal Ghost,6,6,Elite Barbarians,14,14,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184043.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6877,1,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LRJ20L2,とめいと,6867,0,#29CPJ8Y0,花言葉～Momo～,16000132,Fire Spirit,14,14,Bats,14,14,Ice Golem,12,12,Hog Rider,12,12,Rocket,12,12,The Log,6,6,Mini P.E.K.K.A,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183554.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6848,1,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6844,0,#LQ29RGCU,YouTube,16000012,Electro Wizard,6,6,Royal Ghost,6,6,Ram Rider,6,6,Giant Snowball,14,14,Lightning,9,9,Golden Knight,4,4,Barbarian Barrel,9,9,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183136.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6820,1,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GL2UG2JY,vip,6807,0,#LQGQUJRU,Friends❤️,16000168,Goblin Giant,9,9,Sparky,6,6,Dark Prince,9,9,Elite Barbarians,14,14,Heal Spirit,12,12,Electro Wizard,6,6,Rage,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182607.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22RP89Q8,⚡TL Chris19⚡,6792,2,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JRU88899,✨Snipezzz✨,6779,1,#LVRQRV8C,Quartz™️,16000159,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
