type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T173230.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#22UCVJCC9,Suriel,6837,1,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJRR00CU,who?man,5762,0,#QV2JV9,tehran star,16000042,Ram Rider,3,6,Guards,6,9,Executioner,6,9,Bowler,6,9,Mini P.E.K.K.A,9,12,Valkyrie,9,12,Wizard,9,12,Elite Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172912.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#22UCVJCC9,Suriel,6837,3,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YQRJUYJ,RAID3N,5918,1,#2VGU2GU,BYU Warriors,16000122,Ram Rider,3,6,Mega Knight,3,6,Bats,11,14,Electro Wizard,3,6,The Log,3,6,Mini P.E.K.K.A,9,12,Arrows,11,14,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172635.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#22UCVJCC9,Suriel,6837,1,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PR0UC8VQ,태극기,5384,0,#QC0CYL0G,먹어쒀먹어쒀,16000170,Ram Rider,3,6,Skeleton Barrel,11,14,Valkyrie,9,12,X-Bow,6,9,Inferno Tower,9,12,Goblin Gang,11,14,Skeleton Army,6,9,Mirror,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172322.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#22UCVJCC9,Suriel,6837,3,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L20Q8JYC,fifi38,5181,0,#L8JYUJ92,mowwggllii,16000143,Ram Rider,3,6,Goblin Cage,9,12,Princess,3,6,Magic Archer,3,6,Golden Knight,1,4,Royal Hogs,9,12,Fireball,9,12,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172057.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#22UCVJCC9,Suriel,6837,3,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JYQLGYUR,Gabe42O,5433,1,#JP99J,Texas,16000020,Ram Rider,3,6,Golden Knight,1,4,Bandit,3,6,The Log,3,6,Magic Archer,3,6,Dark Prince,6,9,Tombstone,9,12,Lumberjack,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T171635.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#22UCVJCC9,Suriel,6837,3,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYL08RVG,robert,5535,0,#2C9QUP8Q,QUETZALCOATL.MX,16000028,Ram Rider,3,6,Musketeer,9,12,Barbarian Barrel,6,9,Bowler,6,9,Inferno Dragon,3,6,Electro Dragon,6,9,Poison,6,9,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T171323.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#22UCVJCC9,Suriel,6837,2,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U2LYJV8R,VARTHAV™,5108,1,,,,Ram Rider,3,6,Heal Spirit,9,12,Archer Queen,1,4,Prince,6,9,Elite Barbarians,11,14,Firecracker,11,14,Mega Minion,9,12,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T171008.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#22UCVJCC9,Suriel,6837,2,#9PV2VGVY,Robert's Army™,16000029,Ram Rider,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Knight,3,6,Bandit,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28CQUGQLG,Mahmoud abbarah,5223,0,,,,Ram Rider,3,6,Earthquake,9,12,Cannon,11,14,Musketeer,9,12,Dark Prince,6,9,Archers,11,14,Archer Queen,1,4,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154422.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UCVJCC9,Suriel,6810,1,#9PV2VGVY,Robert's Army™,16000029,Electro Spirit,14,14,Flying Machine,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89J8QGPP,|⚡️Chamar⚡️™️,6781,0,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153210.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UCVJCC9,Suriel,6782,3,#9PV2VGVY,Robert's Army™,16000029,Electro Spirit,14,14,Flying Machine,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8Q2U9V,pietro,6770,1,#22Q9VL,LEGIONE RIBELLE,16000081,Giant,12,12,Graveyard,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Fireball,12,12,Skeleton Army,9,9,Witch,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
