type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T093025.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6795,1,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0Q8RVC,:Camiel:,6842,0,#JUGLL8,FC GROOTEGAST,16000098,Knight,14,14,X-Bow,9,9,Electro Spirit,14,14,Fireball,12,12,Tesla,14,14,Skeletons,14,14,The Log,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092449.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6753,2,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9P2GL8,❤Andres❤,6909,1,#9G2PVP0R,Team Legacy,16000012,Mega Minion,12,12,Golem,9,9,Lightning,9,9,Arrows,14,14,Electro Wizard,6,6,Tombstone,12,12,Prince,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092046.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6719,1,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G22U2G8J8,키라리✨,6777,0,#Y89VR8JL,Juvenile,16000040,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Guards,9,9,Knight,14,14,Inferno Tower,12,12,Princess,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091505.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6746,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QLJPC2R0,DEAD MAN,6777,1,#LJ0U898U,golden brothers,16000012,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Freeze,9,9,Archers,14,14,Bowler,9,9,Valkyrie,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6720,3,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV8PQ0VYR,Sir lava™✨,6682,0,,,,Lava Hound,6,6,Inferno Dragon,6,6,Miner,6,6,Balloon,9,9,Barbarians,14,14,Arrows,14,14,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090729.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6751,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R02V2LJV,Eruption™,6737,1,#LRUUCURY,AL✨Oldies™️✨,16000145,P.E.K.K.A,9,9,Battle Ram,12,12,Royal Ghost,6,6,Electro Wizard,6,6,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090212.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6786,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPU22G9Q,くろくも,6720,1,#LV88UQ09,ピー助様の絶対王政,16000013,Royal Giant,14,14,Giant Skeleton,9,9,The Log,6,6,Archer Queen,4,4,Electro Spirit,14,14,Zappies,12,12,Earthquake,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T085619.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6817,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#299VP2C98,TL IVAN,6805,1,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035113.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6790,1,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9L9Y9L,SAHITYA,6760,0,#9QJ82PPJ,hamro clan,16000044,Ice Spirit,14,14,Skeletons,14,14,The Log,6,6,Ice Golem,12,12,Cannon,14,14,Rocket,12,12,Hog Rider,12,12,Musketeer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034600.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6765,3,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RQ8YRYQL,batan,6713,1,#8YLJ8UL2,Aftershock,16000011,Mortar,14,14,Zappies,12,12,Cannon Cart,9,9,Royal Hogs,12,12,Dart Goblin,12,12,Fireball,12,12,The Log,6,6,Electro Spirit,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034141.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6736,2,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJQGURRYG,大罗夫⭐️ELI,6728,1,#9CVJPUP,Sayajins,16000177,Giant,12,12,Minion Horde,14,14,Zap,14,14,Bats,14,14,Sparky,6,6,Skeleton Army,9,9,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033757.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6706,3,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CC8G8LR9,TRT MOISES™✨,6708,0,,,,Bowler,9,9,Ram Rider,6,6,Inferno Dragon,6,6,Lumberjack,6,6,Electro Dragon,9,9,Barbarian Barrel,9,9,Freeze,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033522.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6726,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6843,1,#YYC0Y8RU,Royalsoul✨,16000102,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033143.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6757,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20U9UYVPV,TRT丨✨Hxm❤️烟雨✨,6739,1,#LR0LQYC8,trade,16000131,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Archer Queen,4,4,Royal Ghost,6,6,Lightning,9,9,Electro Spirit,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T123241.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6726,1,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQUQ2LCL,ByHuhn | ByDami,6739,0,#QRJGLLPV,rollaflitza400,16000154,Spear Goblins,14,14,Cannon Cart,9,9,Knight,14,14,Mortar,14,14,Hunter,9,9,Barbarian Barrel,9,9,Fireball,12,12,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T122834.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6697,2,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLQUUR9V,THE BIG CITY,6693,1,#YQ2Q9VGG,QLASH Power,16000029,Electro Wizard,6,6,Magic Archer,6,6,Fireball,12,12,Ram Rider,6,6,Golden Knight,4,4,Prince,9,9,Bandit,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T122513.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6660,3,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29PYRQVUY,Yiren❤️,6746,1,#L99GJQCV,Trade,16000076,Ice Golem,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Barbarian Barrel,9,9,Royal Hogs,12,12,Golden Knight,4,4,Magic Archer,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T122149.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6688,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGYQVJUGY,Tᴀs̸ᴋMᴀs̸ᴛᴇʀ™,6709,2,#P0YGJV0C,Golden Elite,16000077,P.E.K.K.A,9,9,Magic Archer,6,6,Zap,14,14,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T121805.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22UUP90C9,minority,6658,1,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L8CCGRJ9,₦Ɇㄖ₦ Ⱡł₲ɦ₮ֆ,6659,0,#P2RCL28R,TOP BRASIL,16000058,Electro Giant,9,9,Archer Queen,4,4,Skeletons,14,14,Mother Witch,6,6,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
