type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T190338.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6764,0,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6768,3,#G0CV0URU,Virtus Tryout,16000016,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190007.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6793,0,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPU22G9Q,くろくも,6800,1,#LV88UQ09,ピー助様の絶対王政,16000013,Royal Giant,14,14,Giant Skeleton,9,9,The Log,6,6,Archer Queen,4,4,Electro Spirit,14,14,Zappies,12,12,Earthquake,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185620.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6762,1,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGCVRL0V,清歌丨IKONIK,6774,0,#QCJU9VL9,MASTER CLASH,16000015,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Magic Archer,6,6,Zap,14,14,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185241.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6786,1,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0888PVY,Kid DINAMITE,6851,3,#Y0UVJR8P,Elite⚡Skills™,16000123,Baby Dragon,9,9,Barbarian Hut,12,12,Electro Dragon,9,9,Fireball,12,12,Battle Healer,12,12,Elixir Golem,12,12,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184822.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6756,2,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80LR0RP2C,TTG༼ᎮͥᏒͣᎧͫ༽Tjez,6764,1,#P9L0CYY0,The Tilt Gods,16000162,Night Witch,6,6,Clone,9,9,Golem,9,9,Bats,14,14,Skeleton King,4,4,Flying Machine,12,12,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184318.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6785,0,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QCPVQC0Y,CHN丨Romain✨,6789,1,#8LGRYC,CrownTown☀️,16000013,The Log,6,6,Miner,6,6,Wall Breakers,9,9,Tesla,14,14,Bats,14,14,Valkyrie,12,12,Spear Goblins,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183832.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#22YQQJRUV,Noose™,6755,1,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6760,0,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T040049.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#22YQQJRUV,Noose™,6755,0,#QVY2CJL,101 Forever,16000146,Lava Hound,5,6,Balloon,9,9,Skeleton Dragons,13,14,Barbarians,13,14,Giant Snowball,13,14,Mega Minion,11,12,Arrows,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV8YLJL9,非主流,5996,3,#9UCUCJC9,CN Goalkeeper,16000044,Night Witch,6,6,P.E.K.K.A,9,9,Cannon,13,14,Hog Rider,12,12,Musketeer,12,12,Poison,9,9,Mega Knight,6,6,Skeleton Barrel,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T032253.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#22YQQJRUV,Noose™,6755,0,#QVY2CJL,101 Forever,16000146,Graveyard,6,6,Bomb Tower,11,12,Ice Wizard,5,6,Baby Dragon,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29Y8GJR0Y,Santi.16,5503,6,#29PRRRQ,Biên Hòa,16000039,Hog Rider,12,12,Fireball,12,12,Musketeer,12,12,Cannon,14,14,Ice Golem,12,12,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T015425.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#22YQQJRUV,Noose™,6755,0,#QVY2CJL,101 Forever,16000146,Royal Recruits,13,14,Royal Hogs,12,12,Fireball,11,12,The Log,5,6,Golden Knight,4,4,Goblin Cage,11,12,Flying Machine,11,12,Zappies,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LPUQ2YCQ,Kingbtw,6132,3,#JCGLU,(;LIGHT MOON;),16000096,The Log,6,6,Electro Spirit,13,14,Earthquake,11,12,Skeletons,13,14,Hog Rider,11,12,Firecracker,13,14,Knight,13,14,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
