type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T183651.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6854,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6849,0,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180310.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6816,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2LUQ98R9,疯狂｜PoiMaS,6921,0,#Y89VR8JL,Juvenile,16000040,Bandit,6,6,Lightning,9,9,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Electro Wizard,6,6,Baby Dragon,9,9,Giant Snowball,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T175006.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8VVURYQR,TR ENGİN™,6064,0,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Electro Wizard,6,6,Ram Rider,6,6,Dark Prince,9,9,Bandit,6,6,Fireball,12,12,#288Q9UQQ2,คςเ๔ ợยєєภ,,0,#P0YLYUY,ADALET-İ MAHZA,16000030,Knight,12,14,Ice Spirit,12,14,Skeletons,11,14,Archers,11,14,The Log,2,6,Tornado,8,9,Mortar,10,14,Rocket,9,12,#Q8YY0C0,PrinceJ,5791,3,#RUYYUYJ,挽lol啦仲挽皇室,16000120,Giant Skeleton,8,9,Skeleton King,1,4,Clone,8,9,Tornado,8,9,Skeleton Army,8,9,Skeleton Barrel,13,14,Earthquake,11,12,Mirror,9,9,#2YYQPQLL,dead mercy,,3,#RUYYUYJ,挽lol啦仲挽皇室,16000120,Skeleton Barrel,14,14,Clone,8,9,Giant Skeleton,9,9,Archer Queen,2,4,Zappies,11,12,Mirror,9,9,Tornado,8,9,Earthquake,11,12
PvP,20220104T150049.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6788,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89J8QGPP,|⚡️Chamar⚡️™️,6772,0,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143352.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6756,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VRQCYC,Jasper❤️Mikasa,6780,0,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Knight,14,14,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6726,2,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LU2C02C,전기자전거타는엄복동,6735,1,#G9PR2PJC,문과지망생,16000134,Balloon,9,9,Bats,14,14,Lightning,9,9,Tombstone,12,12,Lava Hound,6,6,Inferno Dragon,6,6,Arrows,14,14,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141713.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6751,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQRJL2L08,Leon无敌,6801,3,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141157.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6718,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P0URCRV,Hicham❤Snipe,6753,0,,,,Mini P.E.K.K.A,12,12,Sparky,6,6,Minion Horde,14,14,Bats,14,14,Giant,12,12,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140150.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6689,3,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LRCPC9G,Bachkarauscheツ,6682,0,#80R80CU8,Revolution Real,16000016,Golem,9,9,Lumberjack,6,6,Electro Wizard,6,6,Arrows,14,14,Bomber,14,14,Night Witch,6,6,Mega Minion,12,12,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135732.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#288Q9UQQ2,คςเ๔ ợยєєภ,6662,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Arrows,14,14,Guards,9,9,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLYR8L9YR,GS❤ggH,6628,0,#LV02L2VR,L.S.P,16000132,Electro Wizard,6,6,Fireball,12,12,Zap,14,14,Royal Ghost,6,6,Battle Ram,12,12,Magic Archer,6,6,P.E.K.K.A,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
