type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T145107.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6718,2,#LJ0U898U,golden brothers,16000012,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Tornado,9,9,Electro Dragon,9,9,Bowler,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JUPYPPQU,LD — 皇族❤xy☃,6742,1,#PJU9G8RJ,Loving Day,16000108,Barbarian Barrel,9,9,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Magic Archer,6,6,Ram Rider,6,6,Elite Barbarians,14,14,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144716.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6691,3,#LJ0U898U,golden brothers,16000012,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Tornado,9,9,Electro Dragon,9,9,Bowler,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80U9JR92Q,Горилла,6662,0,#LUVV2G9P,MEGA CLASH RUS,16000012,Rocket,12,12,Mega Minion,12,12,Fire Spirit,14,14,Poison,9,9,Bomb Tower,12,12,Skeletons,14,14,Royal Delivery,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144412.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6664,1,#LJ0U898U,golden brothers,16000012,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Tornado,9,9,Bowler,9,9,Baby Dragon,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2V220CG,Booska ⚡️,6636,0,#P2UPGYJU,#Aimé Césaire#,16000142,Graveyard,6,6,Bowler,9,9,Electro Wizard,6,6,Ice Wizard,6,6,Inferno Dragon,6,6,Valkyrie,12,12,Freeze,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144017.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6690,0,#LJ0U898U,golden brothers,16000012,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Tornado,9,9,Electro Dragon,9,9,Bowler,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PYUP0R,$$ Leo $$,6725,2,#L2C2L8PP,SGRIGLIATONA,16000081,Lava Hound,6,6,Lightning,9,9,Minions,14,14,Mega Minion,12,12,Skeleton Army,9,9,Balloon,9,9,Arrows,14,14,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143619.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6661,1,#LJ0U898U,golden brothers,16000012,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Tornado,9,9,Electro Dragon,9,9,Bowler,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28YP9JV8,❤️Dany_Boon❤️,6650,0,#Y080RYJ8,Fondue suisse,16000060,Ice Golem,12,12,Musketeer,12,12,Barbarian Barrel,9,9,Bomb Tower,12,12,Giant Snowball,14,14,Balloon,9,9,Skeletons,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143251.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6629,1,#LJ0U898U,golden brothers,16000012,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Tornado,9,9,Electro Dragon,9,9,Bowler,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PVURLVG0,JoseWolFF⭐,6659,0,#G9PJQLUY,vamoooooooh,16000149,Ice Golem,11,12,Hog Rider,11,12,Cannon,13,14,Fireball,12,12,Ice Spirit,13,14,Skeletons,13,14,Musketeer,11,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142802.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6656,0,#LJ0U898U,golden brothers,16000012,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U9P9VYQV,✫ I mk,6685,1,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,6,6,Inferno Dragon,6,6,Zap,14,14,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Barbarians,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142412.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6626,1,#LJ0U898U,golden brothers,16000012,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VGCRCRUJ,Pep,6627,0,#YJQPRRQV,Splash moon,16000032,Archer Queen,4,4,Royal Hogs,12,12,Skeletons,14,14,Earthquake,12,12,Royal Delivery,14,14,Goblin Cage,12,12,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142030.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6592,1,#LJ0U898U,golden brothers,16000012,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80YY9PYRL,Noah3238,6646,0,#P9UCUYV2,Maple Miners,16000076,Giant,12,12,Prince,9,9,Witch,9,9,Rage,8,9,Mega Minion,12,12,Zap,14,14,Mega Knight,6,6,Skeleton Army,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141641.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28GUPV8QG,Lumberjack❤️氣球,6560,3,#LJ0U898U,golden brothers,16000012,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V992JJ,PAFF_13,6591,0,#Y0L0R9RU,Silent Hill,16000078,Giant,12,12,Giant Snowball,14,14,Night Witch,6,6,Skeleton Army,9,9,Bowler,9,9,Graveyard,6,6,Arrows,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
