type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T134846.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6748,1,#Q8J8PPL0,પ નુલુંગ લસશ,16000170,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV9099Y9,Mili B,6742,0,#28U0L2CP,Clash Loyale DK,16000060,Archer Queen,4,4,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T134305.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#28QLYUU0L,Milky✨,6748,1,#Q8J8PPL0,પ નુલુંગ લસશ,16000170,Balloon,6,9,Bomber,11,14,Executioner,6,9,Cannon,11,14,Tornado,6,9,Miner,3,6,Mega Minion,9,12,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QURVV22PR,HERDE,1750,0,#Q8J8PPL0,પ નુલુંગ લસશ,16000170,Goblin Drill,6,9,Bandit,3,6,Baby Dragon,6,9,Mini P.E.K.K.A,9,12,The Log,3,6,Knight,11,14,Ice Wizard,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133301.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6717,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ08LLCYV,SebaS,6738,0,#Y0QR0Y2U,NoA,16000009,Knight,14,14,Goblin Barrel,9,9,Goblin Gang,14,14,Electro Spirit,14,14,Princess,6,6,Inferno Tower,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132546.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6685,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQJ8C0,Delano,6716,0,#PQ009JV,LENDAS DO CLASH,16000020,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,Freeze,9,9,Bowler,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T131724.000Z,,54000056,Arena 14,72000007,Friendly,,collection,#28QLYUU0L,Milky✨,6685,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,3,6,Ice Wizard,3,6,Knight,11,14,Baby Dragon,6,9,Poison,6,9,Tombstone,9,12,Barbarian Barrel,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9V9Q8PUC9,신이념,4699,0,#20VGGV02,friend^^ 클랜,16000038,Knight,11,14,Hog Rider,9,12,Wizard,9,12,Inferno Tower,9,12,Firecracker,11,14,Skeleton Army,6,9,Goblin Barrel,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130952.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6654,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGVYJRLVV,白い稲妻l来星なゆ,6677,0,#YLGJLCV9,ハルジオンの咲く枕,16000142,Mega Knight,6,6,Fisherman,6,6,Skeleton Barrel,14,14,The Log,6,6,Zappies,12,12,Hunter,9,9,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125725.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6624,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CUY90YPR,kyoto女くぃ,6630,0,#LLVJ9JUR,LostLegacy ™,16000131,Goblin Drill,9,9,Wall Breakers,9,9,Fireball,12,12,Guards,9,9,Bomber,14,14,Valkyrie,12,12,Tesla,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125340.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6597,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22R2JCR2C,lord luderich,6565,0,#LVRQRV8C,Quartz™️,16000159,Mortar,14,14,Archer Queen,4,4,Bats,14,14,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124907.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6568,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28GUPV8QG,Lumberjack❤️氣球,6558,0,#28YYLVPP,tabriz,16000026,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113924.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6598,0,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVLQ0U00,SheepSheep,6596,3,#PUPL8JP2,China皇室东部战区,16000041,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Tornado,9,9,Elite Barbarians,14,14,Lumberjack,6,6,Bomber,14,14,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6565,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UC9J9QG,PK I Allen,6605,0,#8PJCQ9G,Polish Knights,16000152,Royal Hogs,12,12,Electro Spirit,14,14,Archer Queen,4,4,The Log,6,6,Skeletons,14,14,Cannon Cart,9,9,Goblin Cage,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112814.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6594,0,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q0CGJC9RC,最後丨Victor,6597,1,#8YPRPR,M. o. B.,16000002,P.E.K.K.A,9,9,Executioner,9,9,Dark Prince,9,9,Electro Spirit,14,14,Graveyard,6,6,Inferno Dragon,6,6,Tornado,7,9,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112441.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6626,0,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08PCY8P2,夢の神 I Dream✨,6595,1,#8LGRYC,CrownTown☀️,16000013,Graveyard,6,6,Electro Wizard,6,6,Bowler,9,9,Archer Queen,4,4,Tornado,9,9,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T094419.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6596,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GQUJUPR,~Azrael~,6596,0,#92URLJYG,QLASH Sentry2,16000020,Bats,14,14,Spear Goblins,14,14,Arrows,14,14,Royal Giant,14,14,Skeleton Army,9,9,Firecracker,14,14,Skeleton Barrel,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093530.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6564,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY9UPLR9,Aoyd,6591,0,#9Q2G0GYC,Arepa Venezuela,16000103,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Rocket,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092230.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6531,3,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J8LJGR2G,⛳Chappy2004⛳,6569,0,#L99PV02Y,Ultimate Glory✨,16000054,P.E.K.K.A,9,9,Dark Prince,9,9,Electro Wizard,6,6,Zap,14,14,Royal Giant,14,14,Hunter,9,9,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092000.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6557,0,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0LJ9CJ,WUFFI ボースン,6592,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,6,6,Graveyard,6,6,Barbarian Barrel,9,9,Baby Dragon,9,9,Poison,9,9,Valkyrie,12,12,Tornado,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091001.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6527,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U0J2PJUR,HARDY,6537,0,#9R2CPLQR,Q8Team 1,16000044,Knight,14,14,Tornado,9,9,Archers,14,14,Mortar,14,14,Rocket,12,12,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T083339.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#28QLYUU0L,Milky✨,6497,1,#LR29LQ2U,Korea is Back.,16000126,Graveyard,6,6,Ice Wizard,6,6,Knight,14,14,Baby Dragon,9,9,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8882J2PL9,S.H.L.,6503,0,#2UQGURQY,X-Team,16000092,Royal Recruits,14,14,Electro Spirit,14,14,Zappies,12,12,Flying Machine,12,12,Barbarian Barrel,9,9,Royal Hogs,12,12,Fireball,12,12,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
