type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T165721.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6707,1,,,,Mortar,14,14,Fireball,12,12,Minion Horde,14,14,Miner,6,6,Spear Goblins,14,14,Skeleton King,4,4,Skeleton Army,9,9,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2RRGYP,Nova | Matte,6701,0,#QCJY0GVV,MILK and HONEY,16000132,Dart Goblin,12,12,Mortar,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Guards,9,9,Bats,13,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165123.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6679,1,,,,Mortar,14,14,Fireball,12,12,Minion Horde,14,14,Miner,6,6,Spear Goblins,14,14,Skeleton King,4,4,Skeleton Army,9,9,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G822PUCG,The God Raiden,6663,0,#Q02GVQJQ,pibes Fumones,16000136,Skeletons,13,14,Knight,14,14,Ice Spirit,14,14,The Log,6,6,Archer Queen,4,4,Tesla,14,14,X-Bow,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164218.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6648,1,,,,Mortar,14,14,Arrows,14,14,Minion Horde,14,14,Miner,6,6,Spear Goblins,14,14,Skeleton King,4,4,Skeleton Army,9,9,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#292CJ8C8C,™ Bewar ™,6663,0,#9GQ9G0JV,KURDISTAN™,16000044,Mega Minion,12,12,Lava Hound,6,6,Skeleton Dragons,14,14,Fireball,12,12,Tombstone,12,12,Balloon,9,9,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162112.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6622,1,,,,Dark Prince,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Archer Queen,4,4,Inferno Dragon,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LG2UUUG,Wasabiii,6584,0,#2PUC92G2,Dirty and Fast,16000164,Tombstone,12,12,Balloon,9,9,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Lava Hound,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161705.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6655,0,,,,Dark Prince,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Archer Queen,4,4,Inferno Dragon,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q0J29UQV,longersama,6615,2,#99G0VYU,无与伦比,16000165,P.E.K.K.A,9,9,Battle Ram,12,12,Zap,14,14,Fireball,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T161344.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#290UQY8C,RS⭐️Soudy⭐️,6655,0,,,,Goblin Drill,6,9,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,Magic Archer,3,6,Electro Wizard,3,6,Cannon Cart,6,9,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJJLQVGR,☆ SEG | Devak ☆,5973,1,#LGYCRC80,@xDevak_,16000141,Skeleton King,1,4,Miner,3,6,Mortar,11,14,Bats,11,14,Minion Horde,11,14,Fireball,9,12,Skeleton Army,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160744.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6627,3,,,,Mortar,14,14,Arrows,14,14,Minion Horde,14,14,Miner,6,6,Spear Goblins,14,14,Skeleton King,4,4,Skeleton Army,9,9,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCGG02RV,♠️♥️marco♥️♠️™️,6612,0,#PRR8Q8PL,le pecore nere,16000081,Elixir Golem,12,12,Arrows,14,14,Miner,6,6,Battle Healer,12,12,Rage,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160523.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290UQY8C,RS⭐️Soudy⭐️,6600,2,,,,Mortar,14,14,Arrows,14,14,Minion Horde,14,14,Miner,6,6,Spear Goblins,14,14,Skeleton King,4,4,Skeleton Army,9,9,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UU8RQ88,Wjfloris,6576,0,#2898C2UY,Perspective,16000108,Knight,14,14,X-Bow,9,9,Tesla,14,14,Archers,14,14,Skeletons,14,14,Electro Spirit,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T155441.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#290UQY8C,RS⭐️Soudy⭐️,6600,0,,,,Valkyrie,9,12,Archer Queen,1,4,Earthquake,9,12,Bomb Tower,9,12,Hog Rider,9,12,The Log,3,6,Skeletons,11,14,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQ29288VU,僕かぼちゃらない,5031,1,,,,Prince,6,9,Princess,3,6,Dart Goblin,9,12,Rocket,9,12,Rascals,11,14,Guards,6,9,Goblin Barrel,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T111351.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#290UQY8C,RS⭐️Soudy⭐️,6600,0,,,,Cannon,11,14,Ice Spirit,11,14,Hog Rider,9,12,Skeletons,11,14,Ice Golem,9,12,The Log,3,6,Musketeer,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QJ0PRPLJ,ALPHA,6418,3,#VQCQQJP,Nice Strategy,16000136,Fisherman,3,6,Giant,9,12,Minion Horde,11,14,Zap,11,14,Night Witch,3,6,Minions,11,14,Miner,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
