type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T030143.000Z,,54000017,Master III,72000007,Friendly,,collection,#290VGG28,Pedro™️,6948,1,#G0QCUJ29,YT : PedroTm CR,16000058,The Log,3,6,Ice Spirit,11,14,Fireball,9,12,Hog Rider,9,12,Ice Golem,9,12,Musketeer,9,12,Cannon,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G280RJ02,《zPedroGOD》,5734,0,#LL9UG92L,Troca de Cartas,16000058,Cannon,11,14,Musketeer,9,12,Hog Rider,9,12,Ice Golem,9,12,Skeletons,11,14,Ice Spirit,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T025611.000Z,,54000017,Master III,72000007,Friendly,,collection,#290VGG28,Pedro™️,6948,1,#G0QCUJ29,YT : PedroTm CR,16000058,The Log,3,6,Ice Spirit,11,14,Fireball,9,12,Hog Rider,9,12,Ice Golem,9,12,Musketeer,9,12,Cannon,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G280RJ02,《zPedroGOD》,5734,0,#LL9UG92L,Troca de Cartas,16000058,Cannon,11,14,Musketeer,9,12,Hog Rider,9,12,Ice Golem,9,12,Skeletons,11,14,Ice Spirit,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T025114.000Z,,54000017,Master III,72000007,Friendly,,collection,#290VGG28,Pedro™️,6948,0,#G0QCUJ29,YT : PedroTm CR,16000058,The Log,3,6,Ice Spirit,11,14,Fireball,9,12,Hog Rider,9,12,Ice Golem,9,12,Musketeer,9,12,Cannon,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G280RJ02,《zPedroGOD》,5734,1,#LL9UG92L,Troca de Cartas,16000058,Cannon,11,14,Musketeer,9,12,Hog Rider,9,12,Ice Golem,9,12,Skeletons,11,14,Ice Spirit,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T024548.000Z,,54000017,Master III,72000007,Friendly,,collection,#290VGG28,Pedro™️,6948,1,#G0QCUJ29,YT : PedroTm CR,16000058,The Log,3,6,Ice Spirit,11,14,Fireball,9,12,Hog Rider,9,12,Ice Golem,9,12,Musketeer,9,12,Cannon,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G280RJ02,《zPedroGOD》,5734,0,#LL9UG92L,Troca de Cartas,16000058,Inferno Dragon,3,6,Sparky,3,6,Elite Barbarians,11,14,Fireball,9,12,Minion Horde,11,14,Elixir Golem,9,12,Valkyrie,9,12,Electro Giant,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T023426.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#290VGG28,Pedro™️,6948,3,#G0QCUJ29,YT : PedroTm CR,16000058,Ram Rider,3,6,Mirror,6,9,Electro Spirit,11,14,Giant Snowball,11,14,Ice Golem,9,12,The Log,3,6,Bats,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQQPU98J,Elixir Golem,5317,1,#LGJR2029,Clash King,16000154,Ram Rider,3,6,Three Musketeers,9,12,Inferno Tower,9,12,Tombstone,9,12,Mega Minion,9,12,Bomber,11,14,Earthquake,9,12,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T023235.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#290VGG28,Pedro™️,6948,3,#G0QCUJ29,YT : PedroTm CR,16000058,Ram Rider,3,6,Mirror,6,9,Electro Spirit,11,14,Giant Snowball,11,14,Ice Golem,9,12,The Log,3,6,Bats,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82V2RV9PR,stiven1:),5756,2,#Q0CUPC0J,NOVA I WEBIWABO,16000134,Ram Rider,3,6,Bandit,3,6,Fireball,9,12,Zap,11,14,Electro Wizard,3,6,P.E.K.K.A,6,9,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T022941.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#290VGG28,Pedro™️,6948,3,#G0QCUJ29,YT : PedroTm CR,16000058,Ram Rider,3,6,Mirror,6,9,Electro Spirit,11,14,Giant Snowball,11,14,Ice Golem,9,12,The Log,3,6,Bats,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29JVG2UV,Wise Wizard,5268,0,#JJ88VC,YOLO,16000029,Ram Rider,3,6,Golden Knight,1,4,Mega Knight,3,6,Inferno Tower,9,12,Bowler,6,9,Electro Wizard,3,6,Wizard,9,12,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T022821.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#290VGG28,Pedro™️,6948,3,#G0QCUJ29,YT : PedroTm CR,16000058,Ram Rider,3,6,Mirror,6,9,Electro Spirit,11,14,Giant Snowball,11,14,Ice Golem,9,12,The Log,3,6,Bats,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22PJ88JUQ,Vega knight,5631,1,#2PP8GV,Averno Paraguay,16000146,Ram Rider,3,6,Electro Wizard,3,6,Golden Knight,1,4,Giant Snowball,11,14,Royal Ghost,3,6,Barbarian Barrel,6,9,P.E.K.K.A,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T022522.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#290VGG28,Pedro™️,6948,2,#G0QCUJ29,YT : PedroTm CR,16000058,Ram Rider,3,6,Mirror,6,9,Electro Spirit,11,14,Giant Snowball,11,14,Ice Golem,9,12,The Log,3,6,Bats,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ0RGCYJ,жCarmineж,5372,0,#22899QC,Dragón Azteca,16000002,Ram Rider,3,6,Golden Knight,1,4,Mega Knight,3,6,Witch,6,9,Tesla,11,14,Guards,6,9,Goblin Gang,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T022033.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#290VGG28,Pedro™️,6948,2,#G0QCUJ29,YT : PedroTm CR,16000058,Ram Rider,3,6,Mega Knight,3,6,Electro Spirit,11,14,Lightning,6,9,Bandit,3,6,Archer Queen,1,4,Giant Snowball,11,14,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJ2YLY0JP,♠★SPONKED★♠,5154,1,#LLR0RJRY,YAMA CIENCIA,16000009,Ram Rider,3,6,Golden Knight,1,4,Bandit,3,6,Magic Archer,3,6,Electro Wizard,3,6,The Log,3,6,Earthquake,9,12,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
