type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T155331.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6849,0,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQJ889UR,Mauricio Poma,6845,1,#RUUGUV,Racing Club,16000045,Graveyard,6,6,Prince,9,9,Dark Prince,9,9,Hunter,9,9,Poison,9,9,Barbarian Barrel,9,9,Zappies,12,12,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154931.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6886,0,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29LUUPLYP,Ruby,6803,1,#YQ2P9CPR,Syko-Club,16000131,Poison,9,9,Giant Snowball,14,14,Knight,14,14,Archers,14,14,Rascals,14,14,Dark Prince,9,9,Graveyard,6,6,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154506.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6917,0,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UGG90CR9,はなはなやな,6895,1,#8V22GQ9,TEAM 33,16000038,The Log,6,6,Archer Queen,4,4,Royal Hogs,12,12,Royal Delivery,14,14,Skeletons,14,14,Goblin Cage,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153715.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6887,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99Q8CU,Kaique™,6889,0,#9GUCJRL0,Team Solid,16000113,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Bats,14,14,Minion Horde,14,14,Fireball,12,12,Skeleton Army,9,9,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153142.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6848,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P98CPPG99,Carrlloss,6967,0,#8VUVGPVC,vikings br,16000027,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152611.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6820,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUJLPYJ,CHN丨小孩Matt Mx ❤,6808,0,#G90YLCQ8,Dark Dinasty,16000110,Bandit,6,6,Mega Knight,6,6,Royal Ghost,5,6,Electro Spirit,13,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152034.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6857,0,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89J8QGPP,|⚡️Chamar⚡️™️,6774,1,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151423.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6832,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6775,0,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Fire Spirit,14,14,Poison,9,9,Giant Snowball,14,14,Dart Goblin,12,12,Skeletons,14,14,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150929.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6862,0,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R02V2LJV,Eruption™,6858,1,#LRUUCURY,AL✨Oldies™️✨,16000145,P.E.K.K.A,9,9,Battle Ram,12,12,Royal Ghost,6,6,Electro Wizard,6,6,Archer Queen,4,4,Bandit,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150359.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#290VRQCYC,Jasper❤️Mikasa,6835,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LULJVCJ,Nobody™,6811,0,#LR0GVCJQ,NICARAGUA,16000114,Fireball,12,12,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14,Mega Knight,6,6,Skeleton Army,9,9,Electro Wizard,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
