type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T153717.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6828,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6860,2,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153213.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6854,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Q0YRYU9,Alireza,6899,3,#9CCJ2R02,Nova I Aryayi,16000010,Goblin Giant,9,9,Sparky,6,6,Electro Wizard,6,6,Mega Minion,12,12,Heal Spirit,12,12,Zap,14,14,Rage,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152743.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6887,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QCVRRGR,Snow⛄️ ™️,6849,2,#LPURR99V,Sentinels,16000044,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6858,2,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8899L8V20,OKAN,6852,1,#LVJPJVV0,instagram,16000146,The Log,6,6,Skeletons,13,14,Knight,14,14,Tesla,14,14,Electro Spirit,14,14,Princess,6,6,Goblin Barrel,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151922.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6890,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PUR2R89L,Zamorano,6865,2,#8VUVGPVC,vikings br,16000027,Baby Dragon,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Electro Giant,9,9,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151519.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6862,3,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6846,1,#QU99PV29,love letter❤,16000109,Archers,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151252.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6893,0,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PC82UUUJ,Mauricio♥️Luci,6880,1,#Y2JLVUU0,FAMILIA HN⚡,16000144,Valkyrie,12,12,Tornado,9,9,Ice Spirit,14,14,Zap,14,14,Miner,6,6,Executioner,9,9,Balloon,9,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150905.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6923,0,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2989Y20R8,♥️Kaori✨宮園♥️,6920,1,#LGQRQPY2,2d girl forever,16000111,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150524.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6894,2,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UU2RJUYC,ND I Jr Cabeza,6884,1,,,,Bats,14,14,Fireball,12,12,Spear Goblins,14,14,Skeleton Army,9,9,Skeleton King,4,4,Mortar,14,14,Miner,6,6,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150016.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6924,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89VLRC9QG,Youtube SunnyCR,6915,2,#Q9P2CQV,사랑하는시청자분들,16000045,Ice Wizard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Poison,9,9,Tombstone,12,12,Graveyard,6,6,Knight,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145257.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6890,3,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QGCCPQ28,✨みやの♥しほ✨,6940,2,#Q990YGRU,7000,16000176,Fireball,12,12,P.E.K.K.A,9,9,Battle Ram,12,12,Magic Archer,6,6,Bandit,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144851.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6917,0,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRJU99QQ,Koh❤Neffex,6941,1,#QP0JQJL0,Twitter,16000011,Princess,6,6,Inferno Tower,12,12,Goblin Barrel,9,9,Ice Spirit,14,14,Goblin Gang,14,14,The Log,6,6,Rocket,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144338.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6889,2,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GJPQ9VG,ClashmedChrisYT,6874,1,#YGL9PU80,Troops Of War,16000161,X-Bow,9,9,Tesla,14,14,Ice Wizard,6,6,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Tornado,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143905.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2980L999G,H A M Z A ⭐,6859,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,6860,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
