type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T154204.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6794,0,#LGQRQPY2,2d girl forever,16000111,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Fire Spirit,14,14,Bomb Tower,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YC9JV20C2,ＭＥＧＡ❤️ＳＯＨＥＩＬ,6811,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Mega Knight,6,6,Inferno Dragon,6,6,Bats,14,14,Bandit,6,6,Miner,6,6,Goblin Gang,14,14,Skeleton Barrel,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153639.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6825,0,#LGQRQPY2,2d girl forever,16000111,X-Bow,9,9,Fire Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6812,1,#QU99PV29,love letter❤,16000109,Archers,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153102.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6854,0,#LGQRQPY2,2d girl forever,16000111,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99Q8CU,Kaique™,6860,1,#9GUCJRL0,Team Solid,16000113,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Bats,14,14,Minion Horde,14,14,Fireball,12,12,Skeleton Army,9,9,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152636.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6888,1,#LGQRQPY2,2d girl forever,16000111,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6835,2,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152048.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6919,1,#LGQRQPY2,2d girl forever,16000111,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Fire Spirit,14,14,Bomb Tower,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6902,2,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151602.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6950,0,#LGQRQPY2,2d girl forever,16000111,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQ80882G,ᶠᴬᴷᴱThͥiaͣgͫo™✨,6932,1,#G9999998,KhAoS SuPrEmE,16000125,Hog Rider,12,12,Archer Queen,4,4,The Log,6,6,Earthquake,12,12,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150905.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6920,1,#LGQRQPY2,2d girl forever,16000111,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2980L999G,H A M Z A ⭐,6923,0,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T040035.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6892,1,#YV9C9GVP,eXiledKings,16000029,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6876,0,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035025.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6860,1,#YV9C9GVP,eXiledKings,16000029,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPR2LQ02,Colin✨,6894,0,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Barbarian Barrel,9,9,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034303.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6836,1,#YV9C9GVP,eXiledKings,16000029,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6771,0,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033824.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6807,1,#YV9C9GVP,eXiledKings,16000029,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJU2UVQVR,ろび,6798,0,#Y2882QQV,blackJapan,16000139,Valkyrie,12,12,Baby Dragon,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Graveyard,6,6,Tombstone,11,12,Poison,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033437.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6836,0,#YV9C9GVP,eXiledKings,16000029,X-Bow,9,9,Fire Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQQJCP9V,Εκατία κυανός,6837,1,#QRQP89YQ,Jisooinyourarea,16000111,Lava Hound,6,6,Baby Dragon,9,9,Lumberjack,6,6,Fireball,12,12,Flying Machine,12,12,Clone,9,9,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033045.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6858,0,#YV9C9GVP,eXiledKings,16000029,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Fire Spirit,14,14,Bomb Tower,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV89CU0PG,最強 ｜ Snipe,6942,1,#QC2UPGL0,Hopeless❤️,16000169,Baby Dragon,9,9,Ice Wizard,6,6,Inferno Dragon,6,6,Valkyrie,12,12,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T032546.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6827,1,#YV9C9GVP,eXiledKings,16000029,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Fire Spirit,14,14,Bomb Tower,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6849,0,#YYC0Y8RU,Royalsoul✨,16000102,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T032138.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2989Y20R8,♥️Kaori✨宮園♥️,6794,1,#YV9C9GVP,eXiledKings,16000029,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Fire Spirit,14,14,Bomb Tower,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82VCYRLQ0,GeorgeHavertz03,6835,0,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Mega Knight,6,6,Zap,14,14,Bandit,6,6,Minion Horde,14,14,Inferno Dragon,6,6,Arrows,14,14,Hog Rider,12,12,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
