type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T093950.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6784,1,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Fireball,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CV9909J,gen,6825,0,#LVQ2V2J2,Green ogress,16000136,P.E.K.K.A,9,9,Magic Archer,6,6,Elixir Golem,12,12,Zappies,12,12,Dark Prince,9,9,Tornado,9,9,Electro Dragon,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093613.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6753,1,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Fireball,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPLCU0VYJ,MiniPuri,6767,0,#Q92V2UY0,枯渇塾,16000003,Goblin Barrel,9,9,Valkyrie,12,12,Skeletons,14,14,Electro Spirit,14,14,Princess,6,6,Tesla,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093222.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6788,0,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R0VUR8GR,NS丨天狼❤Golem,6721,1,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Archer Queen,4,4,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092836.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6758,1,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P9GU0C2C,⚡SCORPION⚡,6762,0,#92LGR2LG,mashhad,16000044,Lava Hound,6,6,Inferno Dragon,6,6,Miner,6,6,Arrows,14,14,Balloon,9,9,Skeleton Dragons,14,14,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091804.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6790,0,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RLPL80UV,✨NV CARLOS ALV✨,6765,1,#YU0QCLVL,NOVA ÉLITE PE,16000040,Lightning,9,9,Prince,9,9,Mega Minion,12,12,Electro Wizard,6,6,The Log,6,6,Giant,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090814.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6819,0,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VY0C8YQR,大罗天⭐桃桃,6830,1,#88888,大罗天,16000142,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Zap,14,14,Archer Queen,4,4,Miner,6,6,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090226.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6836,0,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6990,1,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T085619.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6805,1,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UUP90C9,minority,6817,0,#P8GLLLPR,ホワイトルシアン❤,16000143,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084851.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6776,1,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJ9R8RJL,T.S.E.⚡巴萨,6775,0,#9L8QRQ8R,北皇战盟,16000171,The Log,6,6,Guards,9,9,Furnace,12,12,Inferno Tower,12,12,Dark Prince,9,9,Miner,6,6,Fireball,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#299VP2C98,TL IVAN,6803,0,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCCJJCG9,DP l Car❤️26™,6827,1,,,,Bandit,6,6,Cannon Cart,9,9,Dark Prince,9,9,Fireball,12,12,Mother Witch,6,6,Goblin Drill,9,9,Electro Wizard,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
