type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T155620.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#29J8PGGY0,hide on bush,6902,1,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Graveyard,6,6,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Barbarian Barrel,9,9,Valkyrie,12,12,Tombstone,12,12,#JJ8C9QC,Nobloody,,1,#2LQUU0R9,Royal Tramp,16000176,Graveyard,6,6,Valkyrie,12,12,Electro Wizard,6,6,Mega Minion,12,12,Cannon Cart,9,9,Mortar,14,14,Poison,9,9,Barbarian Barrel,9,9,#QJCGYJUV,Alili,6138,0,#P0VJ2G9L,Best Friends,16000128,Lava Hound,6,6,Tombstone,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Minions,14,14,Balloon,9,9,Valkyrie,12,12,#2JCRPUQLP,DIEGO XD,,0,#8G2Q9L2U,Royale Inc.,16000028,Graveyard,6,6,Electro Wizard,6,6,Baby Dragon,9,9,Valkyrie,12,12,Freeze,7,9,Bowler,9,9,Inferno Dragon,6,6,Tornado,8,9
PvP,20220104T155139.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6864,2,#2Y20G9L,F U N,16000021,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JCLGUCP,Lil⚡Koda⚡,6962,1,#LQ898LYC,TW: @KodaClash,16000002,Mega Knight,6,6,Bats,14,14,Musketeer,12,12,Bandit,6,6,Wall Breakers,9,9,Barbarian Barrel,9,9,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T123150.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6840,1,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22YYVPLVG,Ausbilder Roli,6775,0,#8YQCGGPY,⚡️SD Royal⚡️,16000008,Electro Giant,9,9,Dark Prince,9,9,Inferno Dragon,6,6,Bomber,14,14,Mother Witch,6,6,Lightning,9,9,Goblin Cage,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122706.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6811,2,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6810,1,#YVRJP8GC,Destroyers,16000163,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Minions,14,14,Graveyard,6,6,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122348.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6849,2,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6754,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T094713.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6822,2,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08R8CR,THE PRINCE,6789,1,#Q92JCPQP,Quitting,16000016,Valkyrie,12,12,Musketeer,12,12,Tornado,9,9,The Log,6,6,Hog Rider,12,12,Elite Barbarians,14,14,Ice Spirit,14,14,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T094131.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6839,0,#2Y20G9L,F U N,16000021,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV89CU0PG,最強 ｜ Snipe,6990,1,#QC2UPGL0,Hopeless❤️,16000169,Baby Dragon,9,9,Ice Wizard,6,6,Inferno Dragon,6,6,Valkyrie,12,12,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T064332.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6812,1,#2Y20G9L,F U N,16000021,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8VRGL,ベルモット,6783,0,#L89R9V9U,Hexer,16000120,Bandit,6,6,Barbarian Barrel,9,9,Cannon Cart,9,9,Electro Wizard,6,6,Heal Spirit,12,12,Golden Knight,4,4,Magic Archer,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T040239.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6782,1,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JY09PGJ,Soulflayer65,6789,0,,,,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,Bandit,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T020127.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29J8PGGY0,hide on bush,6756,3,#2Y20G9L,F U N,16000021,Archer Queen,4,4,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82C2L9YJR,Stawson誘餌,6719,0,#L89R0G9C,FAME PL,16000138,Princess,6,6,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,Goblin Barrel,9,9,Electro Spirit,14,14,The Log,6,6,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
