type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T191031.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CRQQYQ0G9,cooper27,3419,0,#QJVL9G8Y,Sons n nephews,16000016,Skeleton Army,6,9,Fisherman,3,6,The Log,3,6,Fireball,9,12,Zappies,9,12,Skeleton King,1,4,Mother Witch,3,6,Royal Giant,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183158.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYQ28L92,Adrianoxhunter,5605,0,#PPLQQ90R,VAMO MONSTRO SP,16000058,Inferno Dragon,3,6,Graveyard,3,6,Skeleton Army,6,9,Arrows,11,14,Fireball,9,12,Tombstone,9,12,Skeleton King,1,4,Witch,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T182630.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRR8UL0C,ZeRo_WaRRioR99,5784,0,#8RLL08U2,oUMX,16000044,Electro Giant,6,9,Lightning,6,9,Barbarian Barrel,6,9,Mother Witch,3,6,Tornado,6,9,Archer Queen,1,4,Goblin Cage,9,12,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T182146.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJRVVP9,Pxlmsy-,5672,0,#Y8V2LJUU,Hidden Leaf,16000035,Lava Hound,3,6,Balloon,6,9,Tombstone,9,12,Inferno Dragon,3,6,The Log,3,6,Minions,11,14,Guards,6,9,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T181623.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JL8RCJUJ,Mardones,5543,0,#QJVJRPCQ,Fernández vial,16000024,Magic Archer,3,6,Bandit,3,6,Barbarian Barrel,6,9,Elite Barbarians,11,14,Heal Spirit,9,12,Archer Queen,1,4,Battle Ram,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T181106.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CP0C8ULP,僕かぼちゃん,6314,0,,,,Prince,6,9,Goblin Barrel,6,9,Guards,6,9,The Log,3,6,Rascals,11,14,Dart Goblin,9,12,Princess,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T180540.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#29JRJJ2CC,Josh,6744,1,#9J2CCRVG,PEKA,16000162,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Tombstone,9,12,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GR9U00Q0,__===PAVEL===__,5358,0,#Y0GGPRQC,insolente,16000058,Goblin Gang,11,14,Dark Prince,6,9,Hog Rider,9,12,Fireball,9,12,Zap,11,14,Bats,11,14,Skeleton Army,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T203949.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29JRJJ2CC,Josh,6778,0,#9J2CCRVG,PEKA,16000162,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Goblin Gang,14,14,Spear Goblins,14,14,The Log,6,6,Minion Horde,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y0QGV9QG,Roi Gobelin,6723,3,#PQ0JQ890,FFR-Tidus,16000142,Golem,9,9,Skeleton King,4,4,Graveyard,6,6,Skeleton Army,9,9,Night Witch,6,6,Inferno Dragon,6,6,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T203158.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29JRJJ2CC,Josh,6749,1,#9J2CCRVG,PEKA,16000162,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Goblin Gang,14,14,Spear Goblins,14,14,The Log,6,6,Minion Horde,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JGCJG0G,BigSpin❤️Geier,6743,0,#P9VLJRRR,Biggi's Bande,16000158,Poison,9,9,Goblin Cage,12,12,Electro Wizard,6,6,Mega Minion,12,12,Skeletons,14,14,Golden Knight,4,4,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T202515.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29JRJJ2CC,Josh,6723,1,#9J2CCRVG,PEKA,16000162,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Goblin Gang,14,14,Spear Goblins,14,14,The Log,6,6,Minion Horde,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22VLU00QU,Ruhi Bey,6686,0,#Y0CP0J09,Akdeniz,16000030,Royal Ghost,6,6,Bandit,6,6,Dark Prince,9,9,Electro Wizard,6,6,Archer Queen,4,4,P.E.K.K.A,9,9,Poison,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
