type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T140013.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6703,1,#LYLQGYJ0,外星伴侣,16000041,Fireball,12,12,Magic Archer,6,6,Zap,14,14,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Dark Prince,9,9,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV9099Y9,Mili B,6655,0,#28U0L2CP,Clash Loyale DK,16000060,Archer Queen,4,4,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135528.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6732,0,#LYLQGYJ0,外星伴侣,16000041,Fireball,12,12,Magic Archer,6,6,Zap,14,14,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J9PJCCJ,AMG︱D00GY37,6739,1,#2CP82RRG,まったりカフェサブクラン,16000032,P.E.K.K.A,9,9,Ram Rider,6,6,Mother Witch,6,6,Fireball,12,12,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134840.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6758,1,#LYLQGYJ0,外星伴侣,16000041,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2G2R0,Deathstrøke,6794,3,#L8U8GLJJ,Solide™️,16000012,Golem,9,9,Night Witch,6,6,Bomber,14,14,Mega Minion,12,12,Baby Dragon,9,9,Zap,14,14,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134432.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6731,2,#LYLQGYJ0,外星伴侣,16000041,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,13,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q92LV2QY,NTG Ctm♡,6706,1,#LPUGVL80,GaminghouseVe,16000146,Tombstone,12,12,Graveyard,6,6,Knight,14,14,Ice Wizard,6,6,Baby Dragon,9,9,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133537.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6698,1,#LYLQGYJ0,外星伴侣,16000041,Archer Queen,4,4,Electro Wizard,6,6,Battle Ram,12,12,Arrows,14,14,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Y0UVGCV,Adripc04,6737,0,#9P9Y8VPL,TeamExigence,16000162,Royal Giant,14,14,Royal Recruits,14,14,Electro Wizard,6,6,Valkyrie,12,12,Fisherman,6,6,The Log,6,6,Archers,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6667,3,#LYLQGYJ0,外星伴侣,16000041,Archer Queen,4,4,Electro Wizard,6,6,Battle Ram,12,12,Arrows,14,14,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV0VYCCCG,Juliet❤Percia,6689,0,#Y8JY0CJG,Stella d’ élite,16000039,Inferno Dragon,6,6,Magic Archer,6,6,Fireball,12,12,Electro Spirit,14,14,Lumberjack,6,6,Golden Knight,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132708.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6634,1,#LYLQGYJ0,外星伴侣,16000041,Fireball,12,12,Minions,14,14,Zap,14,14,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YQ98PLCJ,Thomas,6674,0,#8LGRYC,CrownTown☀️,16000013,Mega Minion,12,12,Goblin Cage,12,12,Graveyard,6,6,Tornado,8,9,Valkyrie,12,12,Baby Dragon,9,9,Barbarian Barrel,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130556.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6661,0,#LYLQGYJ0,外星伴侣,16000041,Poison,9,9,Minions,14,14,Zap,14,14,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGGL02P2Y,レベル差えぐい,6687,1,#LLP9C9CR,Taka Clan,16000139,Barbarian Barrel,9,9,Electro Spirit,14,14,Fisherman,6,6,Fireball,12,12,Skeleton Dragons,14,14,Zappies,12,12,Ram Rider,6,6,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125849.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6630,2,#LYLQGYJ0,外星伴侣,16000041,Poison,9,9,Minions,14,14,Zap,14,14,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP0QRRPU,⚡Drach I Chris⚡,6646,1,,,,P.E.K.K.A,9,9,Baby Dragon,9,9,Lightning,9,9,Giant Snowball,14,14,Barbarian Barrel,9,9,Electro Wizard,6,6,Ram Rider,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100233.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29LQYPUCP,Sherry✨,6601,1,#LYLQGYJ0,外星伴侣,16000041,Archer Queen,4,4,Electro Wizard,6,6,Battle Ram,12,12,Arrows,14,14,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LVV9RG998,Cosmin,6596,0,#9V0G9L8R,OLDBOYS România,16000152,Mega Knight,6,6,Prince,9,9,Goblin Barrel,9,9,Skeleton Army,9,9,Hog Rider,12,12,Wizard,12,12,Minion Horde,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
