type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T190800.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#29QGY9YJC,Seb,6751,0,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CY9VUV,TGP Jorginho_09,6631,1,#YJ2YY980,PUKIS AIRLINES,16000167,Golden Knight,1,4,Royal Delivery,11,14,Skeletons,11,14,The Log,3,6,Mega Minion,9,12,Tesla,11,14,Poison,6,9,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T190243.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#29QGY9YJC,Seb,6751,1,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LPVVQJYR,Lahoud-youtube,6105,0,#2YJR90P,Callmechi,16000077,P.E.K.K.A,6,9,Ram Rider,3,6,Mother Witch,3,6,Fireball,9,12,Golden Knight,1,4,Barbarian Barrel,6,9,Electro Wizard,3,6,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T185720.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#29QGY9YJC,Seb,6751,1,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J98VLQV,dany,5114,0,#L9Q2LLPU,Gorilla Mx,16000142,Skeletons,11,14,Ice Spirit,11,14,Cannon,11,14,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T185349.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#29QGY9YJC,Seb,6751,1,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0YCGU8,davitrix,5096,0,#YLQQRLJY,bebesita brrrrr,16000077,Mega Knight,3,6,Electro Wizard,3,6,Royal Hogs,9,12,Magic Archer,3,6,Bandit,3,6,The Log,3,6,Goblin Cage,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T185029.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#29QGY9YJC,Seb,6751,1,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89PC2Y988,RafaIsGod✌,6719,0,#LQ89UPU0,Clanpeyito,16000099,Executioner,6,9,Balloon,6,9,Lumberjack,3,6,Skeleton Dragons,11,14,Skeletons,11,14,Tornado,6,9,Valkyrie,9,12,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T184612.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#29QGY9YJC,Seb,6751,0,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2092RQ08,Miguel,5707,2,#29RQ09PP,abrazafarolas,16000140,Miner,3,6,Balloon,6,9,Arrows,11,14,Bomb Tower,9,12,Lava Hound,3,6,Mini P.E.K.K.A,9,12,Minions,11,14,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T184253.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#29QGY9YJC,Seb,6751,1,#YC8VL8LQ,B I C H O T A S,16000028,Hog Rider,9,12,Archer Queen,1,4,Skeletons,11,14,Bomb Tower,9,12,Knight,11,14,The Log,3,6,Lightning,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LJR2RG22,НЕПОБИДИМИЙ,5910,0,#QJVQJYL9,Sankt Legion,16000001,The Log,3,6,Earthquake,9,12,Ice Spirit,11,14,Skeletons,11,14,Firecracker,11,14,Valkyrie,9,12,Tesla,11,14,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183733.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29QGY9YJC,Seb,6786,0,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228JV0880,Clash Games 2,6725,1,#90L2VY0,#Royale Clasher,16000009,Mortar,14,14,Archer Queen,4,4,Valkyrie,12,12,Miner,6,6,Bats,14,14,Skeletons,14,14,The Log,6,6,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183207.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29QGY9YJC,Seb,6759,1,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92U29RCJ,ATHTA❤DEATHKING,6731,0,#QVVV0JJP,C.A Champions,16000000,Electro Giant,9,9,Prince,9,9,Dark Prince,9,9,Baby Dragon,9,9,Lightning,9,9,Tornado,9,9,Mega Minion,12,12,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182634.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29QGY9YJC,Seb,6734,1,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CPVJPR,"""DAMN"" ⚡Killer⚡",6684,0,#LVQUJQG2,GOTAGANG,16000097,Arrows,14,14,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Guards,9,9,Bowler,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
