type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T174456.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#29R8GCRYY,portugal v2,6735,0,#PQPPPPUY,Los Magnatas,16000104,Ice Golem,11,12,Freeze,5,9,Hog Rider,11,12,Archers,13,14,Inferno Tower,9,12,Royal Recruits,12,14,Skeletons,13,14,Fire Spirit,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCL2VL8U,franco,5620,3,#PYL900GJ,OSMANLI TÜRK AK,16000031,Royal Ghost,2,6,Bandit,3,6,Magic Archer,2,6,Electro Wizard,2,6,Ram Rider,5,6,P.E.K.K.A,6,9,Lightning,5,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T174146.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#29R8GCRYY,portugal v2,6735,0,#PQPPPPUY,Los Magnatas,16000104,Lava Hound,6,6,Clone,9,9,Bats,14,14,Flying Machine,12,12,Baby Dragon,9,9,Fireball,12,12,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUY92VPU,Kishan T. Magar,5692,3,#P8JJQLCC,Maddies,16000028,Bandit,3,6,Archer Queen,1,4,Royal Ghost,3,6,Zap,13,14,Ice Spirit,13,14,Mega Knight,2,6,Ram Rider,6,6,Fireball,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T172934.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8GCRYY,portugal v2,6735,0,#PQPPPPUY,Los Magnatas,16000104,Archer Queen,4,4,Bats,14,14,Fireball,12,12,Guards,9,9,Knight,14,14,Miner,4,6,Mortar,12,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YL8PCJGC,양평회관,6612,3,,,,Inferno Dragon,6,6,Bowler,9,9,Freeze,9,9,Graveyard,6,6,Baby Dragon,9,9,Zappies,12,12,Valkyrie,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T150449.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#29R8GCRYY,portugal v2,6735,0,#PQPPPPUY,Los Magnatas,16000104,Goblin Barrel,8,9,Knight,14,14,Goblin Gang,13,14,Tesla,13,14,Ice Spirit,13,14,Princess,6,6,The Log,5,6,Rocket,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89PV2PG2P,福星,5644,6,#JV029PQ,等一个人的咖啡,16000003,Mega Knight,6,6,Hog Rider,12,12,Furnace,12,12,Poison,8,9,Mega Minion,11,12,Inferno Dragon,6,6,Skeleton Army,8,9,Royal Ghost,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144637.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6707,3,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6694,0,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144247.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6680,1,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8892LL892,L Lawliet,6655,0,#LCVU22VV,馬の耳を見物,16000142,Goblin Barrel,9,9,Princess,6,6,Valkyrie,12,12,Guards,9,9,Electro Spirit,14,14,Inferno Tower,12,12,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143924.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6709,1,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80Y990JGQ,Zortek™️,6715,3,#LP2LCGVG,Ad Astra,16000040,Ram Rider,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Zap,14,14,Magic Archer,6,6,Royal Ghost,6,6,Bandit,6,6,Lightning,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115024.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6682,2,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2RRGYP,Nova | Matte,6657,1,#QCJY0GVV,MILK and HONEY,16000132,Dart Goblin,12,12,Mortar,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Guards,9,9,Bats,13,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T102257.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6650,3,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LPR8CJGP,★彡Mḭ̃h̰̃ã̰154❤,6684,1,#P0YGJV0C,Golden Elite,16000077,Knight,14,14,Princess,6,6,Goblin Barrel,9,9,Inferno Tower,12,12,Goblin Gang,14,14,The Log,6,6,Rocket,12,12,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T101819.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6620,3,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LRVY8VGGL,Assass1n,6627,2,#8VVGRVJP,Банда Хомяка,16000008,Lava Hound,6,6,Barbarians,14,14,Minions,14,14,Zap,14,14,Fireball,12,12,Mega Minion,12,12,Tombstone,12,12,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T101507.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29R8GCRYY,portugal v2,6653,2,#PQPPPPUY,Los Magnatas,16000104,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Arrows,14,14,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GG00C8G,훈이 ,6613,3,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
