type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T133005.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,1,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8292QYLYV,Tauseef,5707,0,#9992LY0P,THUNDERSTORM,16000029,Tesla,14,14,The Log,5,6,Skeleton Army,8,9,Valkyrie,12,12,Baby Dragon,9,9,Goblin Barrel,9,9,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T122533.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,3,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90VRVQR9P,Saint,5669,1,#QC29Q9RC,puro chocolate,16000165,Dark Prince,9,9,Prince,9,9,Goblin Barrel,9,9,Princess,6,6,Fireball,12,12,The Log,6,6,Tesla,14,14,Flying Machine,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T121832.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,1,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GC8VQ2J,ash,6031,0,#R2GG0VV,Les Normands,16000041,Inferno Dragon,6,6,Tornado,9,9,Electro Wizard,6,6,Graveyard,6,6,Bowler,9,9,Baby Dragon,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T121229.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,0,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RUL08PVU,我欲乘风踏云端丶,5925,1,#Y9VPGRC0,BEASTER,16000146,Mega Knight,6,6,Dark Prince,9,9,Hog Rider,12,12,Firecracker,14,14,Lightning,9,9,Tesla,14,14,The Log,6,6,Mega Minion,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T092206.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#29R8VQL82,가랑,6721,4,#PGPV0GG,잎새,16000170,Skeleton King,4,4,Royal Recruits,14,14,Princess,6,6,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80YYQLUCU,要你命三千,5844,0,#JVUPPJR,热血传奇之重振雄风◈,16000017,Mega Knight,6,6,Skeleton Barrel,13,14,Inferno Dragon,6,6,Spear Goblins,13,14,Miner,6,6,Bats,13,14,Giant Snowball,13,14,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T090442.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,2,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CYLQCJ0Y,Abdrei,5462,0,#YRG29U20,ROMANIA SQUAD,16000002,Archer Queen,2,4,Lumberjack,6,6,Night Witch,6,6,Elixir Collector,12,12,Golem,9,9,Poison,9,9,Guards,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T090051.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,2,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UU0080JR,⚡F E E L⚡,5482,0,#CV209U0,대전,16000170,Valkyrie,12,12,Witch,9,9,Hog Rider,12,12,Arrows,14,14,Mega Knight,6,6,Firecracker,14,14,Fireball,12,12,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T085456.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,1,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UUJLLUGJ,Cyber,5934,0,#LGRQQU0,DarkLords,16000144,Electro Spirit,11,14,Zap,13,14,Skeleton Barrel,11,14,Mega Minion,12,12,Zappies,11,12,Poison,8,9,Golem,9,9,Miner,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T085138.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,0,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJVL0PQP,小白de小小白,5858,1,#L0PCJJ0Y,teambro,16000000,The Log,6,6,Valkyrie,12,12,Hog Rider,12,12,Fire Spirit,14,14,Earthquake,12,12,Firecracker,14,14,Tesla,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T084641.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#29R8VQL82,가랑,6721,1,#PGPV0GG,잎새,16000170,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Royal Recruits,14,14,Skeleton King,4,4,Bandit,6,6,Princess,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QG8VYPYG,Hero,6402,0,#229RVCGU,一笑江湖,16000012,Electro Giant,9,9,Golden Knight,2,4,Baby Dragon,9,9,Inferno Dragon,6,6,Tombstone,12,12,Tornado,9,9,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
