type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T002858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29YPGVUVG,Total Clash YT,6786,1,#LQUUJQCY,Combatentes BSB,16000029,Giant,12,12,Fireball,12,12,Witch,9,9,Prince,9,9,Skeleton Army,9,9,Bats,14,14,Goblin Gang,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2GGY8J,푸네스 RAU,6748,0,#QVVV0JJP,C.A Champions,16000000,P.E.K.K.A,9,9,Ram Rider,6,6,Electro Wizard,6,6,Bandit,6,6,Lightning,9,9,Barbarian Barrel,9,9,Giant Snowball,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T001047.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#29YPGVUVG,Total Clash YT,6754,1,#LQUUJQCY,Combatentes BSB,16000029,Giant,12,12,Fireball,12,12,Witch,9,9,Prince,9,9,Skeleton Army,9,9,Bats,14,14,Goblin Gang,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29J8PGGY0,hide on bush,6788,0,#2Y20G9L,F U N,16000021,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T000534.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#29YPGVUVG,Total Clash YT,6754,0,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2JPQJY,Pipi,5363,3,#9UVPCCC,"""EL SINDICATO""",16000164,Bandit,3,6,Electro Wizard,3,6,The Log,3,6,Heal Spirit,9,12,Royal Ghost,3,6,Golden Knight,1,4,Mother Witch,3,6,Elite Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T000316.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#29YPGVUVG,Total Clash YT,6754,0,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20C9LGPCQ,brett5000 :v,5779,1,#LGGQU00C,Chicos Fuertes,16000164,Guards,6,9,Tesla,11,14,Fireball,9,12,Bomber,11,14,Fire Spirit,11,14,Wall Breakers,6,9,Valkyrie,9,12,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T235919.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#29YPGVUVG,Total Clash YT,6754,1,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JU9CY8C,Gavin,5376,0,#LPGPCQP,OHANA Ikaika,16000124,Valkyrie,9,12,Hog Rider,9,12,Wizard,9,12,The Log,3,6,Elite Barbarians,11,14,Freeze,6,9,Tesla,11,14,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T235541.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#29YPGVUVG,Total Clash YT,6754,1,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVCQ8QRVY,lucatim,5914,0,#YUU0R0JG,snenzzz,16000019,Golden Knight,1,4,Graveyard,3,6,Inferno Dragon,3,6,Electro Wizard,3,6,Tornado,6,9,Freeze,6,9,Bowler,6,9,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T235217.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#29YPGVUVG,Total Clash YT,6754,2,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JLVYV0QQ8,agahh,5126,3,#QRL9CJGL,Legendsgg,16000029,Elixir Golem,9,12,Electro Dragon,6,9,Elite Barbarians,11,14,Arrows,11,14,Bats,11,14,Battle Healer,9,12,Rage,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T234754.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#29YPGVUVG,Total Clash YT,6754,1,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L9QLVJ0RL,GT Daniel,5164,0,#QCRUJRP2,Los González,16000059,Mega Knight,3,6,Mini P.E.K.K.A,9,12,Arrows,11,14,Spear Goblins,11,14,Valkyrie,9,12,Musketeer,9,12,Hog Rider,9,12,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T234414.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#29YPGVUVG,Total Clash YT,6754,2,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCL200LJ0,DARK SPIRIT,1839,0,#9UQY2VGQ,Los Legendarios,16000144,Mini P.E.K.K.A,9,12,Miner,3,6,Goblin Giant,6,9,Giant Snowball,11,14,Dart Goblin,9,12,Magic Archer,3,6,Sparky,3,6,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T234045.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#29YPGVUVG,Total Clash YT,6754,3,#LQUUJQCY,Combatentes BSB,16000029,Valkyrie,9,12,Barbarian Barrel,6,9,Goblin Cage,9,12,Skeletons,11,14,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JPY0V90R,亞力神(新),5101,0,#L8UYRJJL,trade,16000159,Elixir Golem,9,12,Battle Healer,9,12,Night Witch,3,6,Lumberjack,3,6,Electro Dragon,6,9,Baby Dragon,6,9,Tornado,6,9,Heal Spirit,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
