type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T175319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2C9VGURQ9,ツウィちゃんちゃん㌨,6965,1,#Y89VR8JL,Juvenile,16000040,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Guards,9,9,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRQR9C2C,⚡ReapeR⚡,7032,0,#Q2UR8280,KELEBEK ETKİSİ,16000156,Baby Dragon,9,9,Bowler,9,9,Freeze,9,9,Graveyard,6,6,Ice Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2C9VGURQ9,ツウィちゃんちゃん㌨,6937,1,#Y89VR8JL,Juvenile,16000040,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Guards,9,9,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPG9LJGG,Over Ryoki,6923,0,#QUPVYQG2,GC×100,16000164,P.E.K.K.A,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Golden Knight,4,4,Tombstone,12,12,Arrows,14,14,Poison,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174338.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,0,#Y89VR8JL,Juvenile,16000040,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Guards,9,9,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998RUJRLR,☠⚡⚔ivan_rial⚔⚡☠,7003,1,#LR0CU9PP,Tw@ivanrial44,16000103,Zap,14,14,Magic Archer,6,6,Royal Hogs,12,12,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bandit,6,6,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T173802.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,0,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRURC2GYQ,Melatonin,5603,1,#YV29QP2U,男德战神,16000142,Goblin Giant,6,9,Sparky,3,6,Mini P.E.K.K.A,9,12,Dark Prince,6,9,Electro Wizard,3,6,Mega Minion,9,12,Zap,11,14,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T173351.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,2,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9UYL2CVU,Kriesenmanager,5048,1,#LQJ0LLJV,u win = I sub♥️,16000030,Lava Hound,3,6,Balloon,6,9,Tombstone,9,12,Guards,6,9,Mega Minion,9,12,Skeleton Dragons,11,14,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172937.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,1,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L229LQ0QQ,レイソボーカツ丼,4001,0,#LVU8YGRU,ポムポムプリン 改,16000175,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Tornado,6,9,Magic Archer,3,6,Bomb Tower,9,12,Spear Goblins,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172501.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,1,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CQL8C08P9,Architector,5260,0,#LP02J9CU,РАТАТАТАТА,16000028,Ice Wizard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Graveyard,3,6,Tornado,6,9,Knight,11,14,Tombstone,9,12,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T172050.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,1,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRJVQY0CV,LesCollegues13,5032,0,#YVVQ88JL,france,16000078,Elite Barbarians,11,14,Balloon,6,9,Electro Wizard,3,6,Arrows,11,14,Minion Horde,11,14,Giant,9,12,Skeleton King,1,4,Wizard,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T171741.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,0,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QYLLGJYL,櫻星YT,6475,1,,,,Baby Dragon,6,9,Barbarian Barrel,6,9,P.E.K.K.A,6,9,Bandit,3,6,Electro Wizard,3,6,Lightning,6,9,Giant Snowball,11,14,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T171424.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#2C9VGURQ9,ツウィちゃんちゃん㌨,6963,3,#Y89VR8JL,Juvenile,16000040,Royal Giant,11,14,Skeleton King,1,4,Skeleton Army,6,9,Zappies,9,12,Fireball,9,12,Mother Witch,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CLJYP8L0J,tales,4446,0,#QRQUYJL0,NorthernAngels,16000096,Lava Hound,3,6,Tornado,6,9,Flying Machine,9,12,Skeleton Army,6,9,Bats,11,14,Baby Dragon,6,9,Lumberjack,3,6,Clone,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
