type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T190429.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6725,1,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Skeleton Dragons,14,14,Zap,14,14,Mega Minion,12,12,Guards,9,9,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R09228V,SK Morten,6804,2,#YUGJCLGU,SK Free2Play,16000044,Prince,9,9,Dart Goblin,12,12,Royal Ghost,6,6,Fireball,12,12,Goblin Barrel,9,9,Archer Queen,4,4,Electro Spirit,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190047.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6693,3,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Skeleton Dragons,14,14,Zap,14,14,Mega Minion,12,12,Guards,9,9,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CJ9UJPRY,ur l Happy ❤,6720,2,#P0UVGY8R,PERUCLASH2019,16000014,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,P.E.K.K.A,9,9,Minions,14,14,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185547.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6721,1,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRPUGPLY,sütadam™,6733,3,#92Q920P0,FECR-İ ATİ,16000030,Golem,9,9,Lumberjack,6,6,Elixir Collector,12,12,Baby Dragon,9,9,Tornado,9,9,Bandit,6,6,Skeleton Army,9,9,Electro Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185109.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6754,1,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#208GPQ0YR,蒙恬（もうてん）,6719,2,#P2G8QCPC,Ac青春レモン,16000014,Ram Rider,6,6,Fireball,12,12,Royal Ghost,6,6,Giant Snowball,14,14,Magic Archer,6,6,Golden Knight,4,4,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165052.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6727,3,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R99CPCPL,Alex,6700,2,#U9G2VQY,50 Legends,16000172,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Lightning,9,9,Electro Spirit,14,14,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164631.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6694,2,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R8RYGRL8,PC l Angel,6733,1,,,,Mega Knight,6,6,Giant Snowball,13,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,5,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6660,2,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#298JLLCYV,Mihmster,6711,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Drill,9,9,Electro Spirit,14,14,Valkyrie,12,12,Wall Breakers,9,9,Dart Goblin,12,12,Guards,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163902.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6633,2,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22QUQG09C,ƘɾąƈƙȤ™,6606,1,#8LGRYC,CrownTown☀️,16000013,Graveyard,6,6,Valkyrie,12,12,Archer Queen,3,4,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163456.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6604,3,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CRPJ2RCG,EthanWinters,6595,1,#LYV2UCG8,الزعماء,16000002,Golden Knight,4,4,Rocket,12,12,Goblin Gang,14,14,The Log,6,6,Ice Spirit,14,14,Goblin Barrel,9,9,Inferno Tower,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163045.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6637,1,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Skeleton Dragons,14,14,Zap,14,14,Inferno Dragon,6,6,Guards,9,9,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJYRYCU9,鬼柱 鬼舞辻無惨,6597,2,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Archer Queen,4,4,Electro Wizard,6,6,Battle Ram,12,12,Arrows,14,14,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
