type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184142.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6871,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QJPL89GU,ポーネグリフ,6904,0,#9YY8J9L2,大阪まったりクラン,16000054,Archer Queen,4,4,Earthquake,12,12,The Log,6,6,Royal Hogs,12,12,Fire Spirit,14,14,Goblin Cage,12,12,Skeletons,14,14,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6903,0,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6875,1,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183206.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6869,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6923,0,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182627.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6836,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8QC00V0,Magic Jannik,6873,0,#PU0R0PQC,Gin & Juice,16000141,Tornado,9,9,Wall Breakers,9,9,Magic Archer,6,6,Fireball,12,12,Spear Goblins,14,14,Miner,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182024.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6809,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8JVJL9Q,Royale❤️Bait,6783,0,#LC9RYUGC,⭐Cash Only VE⭐,16000040,Archer Queen,4,4,Royal Hogs,12,12,Skeletons,14,14,Earthquake,12,12,Royal Delivery,14,14,Goblin Cage,12,12,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181506.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6776,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUV02R920,CMG Tater,6813,0,#8YLJ8UL2,Aftershock,16000011,Lumberjack,6,6,Giant Snowball,14,14,Bats,14,14,Lightning,9,9,Royal Hogs,12,12,Skeleton Army,9,9,Baby Dragon,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6804,0,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PG9VQQ9C,dylan,6818,1,#9LJC8VPG,Upsilon,16000139,P.E.K.K.A,9,9,Hog Rider,12,12,Dark Prince,9,9,Minion Horde,14,14,Ice Wizard,6,6,Freeze,9,9,Princess,6,6,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180546.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6832,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6848,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180135.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22Q8LLU8J,Kodigoⓒʀ,6821,0,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T003131.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,1,#LGY2GY22,Ragnarok League,16000139,Graveyard,3,6,Baby Dragon,6,9,Electro Wizard,3,6,Hunter,6,9,Knight,11,14,Goblin Cage,9,12,Barbarian Barrel,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JYJUPULP,[VTR] Ardentoas,5828,0,#LGY2GY22,Ragnarok League,16000139,Mega Knight,3,6,Royal Hogs,9,12,Fisherman,3,6,Fireball,9,12,Royal Ghost,3,6,Flying Machine,9,12,Electro Wizard,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T234503.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,0,#LQ2CU02G,X1 League,16000012,Hunter,6,9,Mega Knight,3,6,Graveyard,3,6,Fireball,9,12,Giant Snowball,11,14,Electro Wizard,3,6,Goblin Cage,9,12,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C8YJG0YC,Lord Kass,5222,1,#LQ2CU02G,X1 League,16000012,Wall Breakers,6,9,Fireball,9,12,The Log,3,6,Miner,3,6,Spear Goblins,11,14,Golden Knight,1,4,Bomb Tower,9,12,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T233941.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,1,#LQ2CU02G,X1 League,16000012,Fireball,9,12,Dart Goblin,9,12,The Log,3,6,Miner,3,6,Guards,6,9,Cannon Cart,6,9,Bats,11,14,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LV080L8C,OS Eduardo,6676,0,#LQ2CU02G,X1 League,16000012,The Log,3,6,Goblin Barrel,6,9,Prince,6,9,Dart Goblin,9,12,Princess,3,6,Rascals,11,14,Guards,6,9,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T233434.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,1,#LQ2CU02G,X1 League,16000012,Fireball,9,12,Dart Goblin,9,12,The Log,3,6,Miner,3,6,Guards,6,9,Cannon Cart,6,9,Bats,11,14,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLVV0JPQ,EA Oker,6626,0,#LQ2CU02G,X1 League,16000012,Lava Hound,3,6,Miner,3,6,Flying Machine,9,12,Skeleton Dragons,11,14,Goblin Cage,9,12,Mega Minion,9,12,Guards,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T232713.000Z,,54000016,Master II,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,1,#LQ2CU02G,X1 League,16000012,Golden Knight,1,4,Electro Wizard,3,6,The Log,3,6,Inferno Dragon,3,6,P.E.K.K.A,6,9,Poison,6,9,Ram Rider,3,6,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LPUG0P0Y,BIO CruuzZ✊,6567,0,#LQ2CU02G,X1 League,16000012,Valkyrie,9,12,Archer Queen,1,4,Baby Dragon,6,9,Tombstone,9,12,Graveyard,3,6,Barbarian Barrel,6,9,Tornado,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T225924.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,0,#LR0R9CUU,SHL Lightning,16000139,Bats,11,14,Cannon Cart,6,9,Lightning,6,9,Minion Horde,11,14,Mortar,11,14,Skeleton Barrel,11,14,Skeleton King,1,4,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCYRJRL9,Griwhoo✨,6600,1,#LR0R9CUU,SHL Lightning,16000139,Goblin Barrel,6,9,Skeleton Army,6,9,Skeleton Barrel,11,14,Dart Goblin,9,12,Inferno Tower,9,12,Princess,3,6,Arrows,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T225425.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,1,#LR0R9CUU,SHL Lightning,16000139,Electro Wizard,3,6,Fireball,9,12,Giant Snowball,11,14,Golden Knight,1,4,Mother Witch,3,6,P.E.K.K.A,6,9,Ram Rider,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCYRJRL9,Griwhoo✨,6600,0,#LR0R9CUU,SHL Lightning,16000139,Royal Hogs,9,12,Flying Machine,9,12,Goblin Cage,9,12,Barbarian Barrel,6,9,Royal Recruits,11,14,Zappies,9,12,Electro Spirit,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T224914.000Z,,54000017,Master III,72000007,Friendly,,collection,#2CU088V8G,RS✨Fabian Åhr,6801,0,#LR0R9CUU,SHL Lightning,16000139,Archer Queen,1,4,Dark Prince,6,9,Mega Minion,9,12,Miner,3,6,Poison,6,9,Royal Delivery,11,14,Skeletons,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCYRJRL9,Griwhoo✨,6600,1,#LR0R9CUU,SHL Lightning,16000139,Archer Queen,1,4,Bomb Tower,9,12,Earthquake,9,12,Fire Spirit,11,14,Hog Rider,9,12,Knight,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
