type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220101T233149.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#2CY828YPU,Jësüs GL,6764,0,,,,Royal Giant,14,14,Baby Dragon,9,9,Tornado,9,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8RYGP0P,RYGUY6039,6782,1,#8Y8LQQLG,50 Spartans,16000044,Barbarian Barrel,9,9,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Freeze,9,9,Bowler,9,9,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220101T232738.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#2CY828YPU,Jësüs GL,6790,0,,,,Royal Giant,14,14,Baby Dragon,9,9,Tornado,9,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L2QGLPRCY,DJVI_David_YT,6828,1,#8GR8RGGP,Mercadeo,16000168,Goblin Barrel,9,9,Bandit,6,6,Giant Snowball,14,14,Fireball,12,12,Rascals,14,14,Cannon Cart,9,9,Dark Prince,9,9,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220101T232354.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#2CY828YPU,Jësüs GL,6816,0,,,,Royal Giant,14,14,Baby Dragon,9,9,Tornado,9,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RGJGCVQ9,Angelos ♥️H-N,6857,1,#8RQPULLG,HeaveN-NatioN™,16000096,Princess,6,6,Goblin Barrel,9,9,Rascals,14,14,Dart Goblin,12,12,The Log,5,6,Skeleton Army,8,9,Skeleton Barrel,13,14,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220101T231904.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#2CY828YPU,Jësüs GL,6844,0,,,,Royal Giant,14,14,Baby Dragon,9,9,Tornado,9,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GPVPC9Y2,★彡[ʟᴅᴄ] NEXKI彡★,6867,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Balloon,9,9,Lumberjack,6,6,Bowler,9,9,Inferno Dragon,6,6,Electro Dragon,9,9,Freeze,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220101T231309.000Z,,54000050,Legendary Arena,72000292,DoubleElixir_AllCards_EventDeck,,eventDeck,#2CY828YPU,Jësüs GL,6844,3,,,,Royal Giant,11,14,Baby Dragon,6,9,Tornado,6,9,Mega Minion,9,12,Goblin Cage,9,12,Lightning,6,9,Barbarian Barrel,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VRRYJ8RG,Sword I Wendy,7152,1,#LQ0CJPLQ,猿使いになりますへいよー,16000045,Golem,6,9,Barbarian Barrel,6,9,Lumberjack,3,6,Mega Minion,9,12,Baby Dragon,6,9,Archer Queen,1,4,Elite Barbarians,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220101T230753.000Z,,54000050,Legendary Arena,72000292,DoubleElixir_AllCards_EventDeck,,eventDeck,#2CY828YPU,Jësüs GL,6844,3,,,,Royal Giant,11,14,Baby Dragon,6,9,Tornado,6,9,Mega Minion,9,12,Goblin Cage,9,12,Lightning,6,9,Barbarian Barrel,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R02GVY2G,pibol,5410,0,#YR9Y9YL8,Alcones Royale,16000171,Bats,11,14,Zap,11,14,Fireball,9,12,Hunter,6,9,Lumberjack,3,6,Ice Golem,9,12,Balloon,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211231T185311.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#2CY828YPU,Jësüs GL,6814,1,#922Q20PL,OlimpoAzteca™,16000010,Royal Giant,14,14,Baby Dragon,9,9,Tornado,9,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8902VV0U,Błüě Hęāřț♡,6818,0,#80QQULY2,ارتش امام زمان,16000101,Sparky,6,6,Goblin Giant,9,9,Mini P.E.K.K.A,12,12,Electro Wizard,6,6,Dark Prince,9,9,Mega Minion,12,12,Zap,14,14,Rage,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20211231T184423.000Z,,54000050,Legendary Arena,72000292,DoubleElixir_AllCards_EventDeck,,eventDeck,#2CY828YPU,Jësüs GL,6814,2,#922Q20PL,OlimpoAzteca™,16000010,Royal Giant,11,14,Baby Dragon,6,9,Tornado,6,9,Mega Minion,9,12,Goblin Cage,9,12,Lightning,6,9,Barbarian Barrel,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L208CPUP,Sir Goat,5707,1,#PVU89PY,LaDay,16000164,Lumberjack,3,6,Knight,11,14,Witch,6,9,Electro Giant,6,9,Freeze,6,9,Musketeer,9,12,Valkyrie,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20211231T183850.000Z,,54000050,Legendary Arena,72000292,DoubleElixir_AllCards_EventDeck,,eventDeck,#2CY828YPU,Jësüs GL,6814,1,#922Q20PL,OlimpoAzteca™,16000010,Royal Giant,11,14,Baby Dragon,6,9,Tornado,6,9,Mega Minion,9,12,Goblin Cage,9,12,Lightning,6,9,Barbarian Barrel,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LVPQGVY2,Alireza,4796,0,#LP2LPP,Persian Empire,16000040,Princess,3,6,Electro Wizard,3,6,Ice Wizard,3,6,Mega Knight,3,6,Arrows,11,14,Skeleton Army,6,9,Prince,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20211231T182326.000Z,,54000050,Legendary Arena,72000292,DoubleElixir_AllCards_EventDeck,,eventDeck,#2CY828YPU,Jësüs GL,6814,2,#922Q20PL,OlimpoAzteca™,16000010,Royal Giant,11,14,Baby Dragon,6,9,Tornado,6,9,Mega Minion,9,12,Goblin Cage,9,12,Lightning,6,9,Barbarian Barrel,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQUL89LP,ʟᴜᴋᴇᴏᴡ,5097,0,#9U8Q9JCC,Agonia e Glória,16000121,Royal Hogs,9,12,Spear Goblins,11,14,Ice Spirit,11,14,The Log,3,6,Royal Recruits,11,14,Fireball,9,12,Ice Golem,9,12,Zappies,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211229T032045.000Z,,54000050,Legendary Arena,72000006,Ladder,,collection,#2CY828YPU,Jësüs GL,6787,1,#922Q20PL,OlimpoAzteca™,16000010,Royal Giant,14,14,Baby Dragon,9,9,Tornado,9,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0YJ2PQ8,我爱桔,6758,0,#9LG0R80J,大饼卷黑金,16000140,The Log,6,6,Fireball,12,12,Goblin Barrel,9,9,Skeleton King,4,4,Furnace,12,12,Inferno Tower,12,12,Mirror,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
