type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T190141.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#2G82PV00R,KCR I KIROZ⚡️,6793,1,#QCCLPYPL,RebelsMercenari,16000012,Ram Rider,3,6,Bandit,3,6,Giant Snowball,11,14,Lightning,6,9,Baby Dragon,6,9,P.E.K.K.A,6,9,Electro Wizard,3,6,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UCPUC0YP,bryan,5340,0,#880PGGQV,We are Bolivia,16000083,Ram Rider,3,6,Witch,6,9,Goblin Gang,11,14,Mega Knight,3,6,Baby Dragon,6,9,Arrows,11,14,Valkyrie,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173630.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G82PV00R,KCR I KIROZ⚡️,6763,3,#QCCLPYPL,RebelsMercenari,16000012,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Electro Wizard,6,6,Heal Spirit,12,12,Dark Prince,9,9,Rage,6,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6765,1,,,,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165503.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G82PV00R,KCR I KIROZ⚡️,6737,1,#QCCLPYPL,RebelsMercenari,16000012,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Electro Wizard,6,6,Heal Spirit,12,12,Dark Prince,9,9,Rage,6,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20URL9URP,<c6>KiwiPoilu,6699,0,#LP2LCGVG,Ad Astra,16000040,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Zappies,12,12,Golden Knight,4,4,Goblin Cage,12,12,Fireball,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G82PV00R,KCR I KIROZ⚡️,6707,3,#QCCLPYPL,RebelsMercenari,16000012,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Electro Wizard,6,6,Heal Spirit,12,12,Dark Prince,9,9,Rage,6,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QL9CYU0L,咬我啊,6711,1,#JQQ002Y,光明顶,16000111,Archer Queen,4,4,Prince,9,9,Wall Breakers,9,9,Bats,14,14,Skeleton Barrel,14,14,Miner,6,6,Zap,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T083840.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#2G82PV00R,KCR I KIROZ⚡️,6707,3,#QCCLPYPL,RebelsMercenari,16000012,Electro Giant,6,9,Skeleton Army,6,9,Tornado,6,9,P.E.K.K.A,6,9,Golem,6,9,Sparky,3,6,Skeleton King,1,4,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJJCP8P0,⚡KEVIN⚡,5162,0,#Q0L8U9QG,Los zodiacos,16000032,Lightning,6,9,P.E.K.K.A,6,9,Electro Giant,6,9,Balloon,6,9,Mega Knight,3,6,Rocket,9,12,Golem,6,9,Sparky,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T083523.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#2G82PV00R,KCR I KIROZ⚡️,6707,3,#QCCLPYPL,RebelsMercenari,16000012,Electro Giant,6,9,Skeleton Army,6,9,Tornado,6,9,P.E.K.K.A,6,9,Golem,6,9,Sparky,3,6,Skeleton King,1,4,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJJCP8P0,⚡KEVIN⚡,5162,1,#Q0L8U9QG,Los zodiacos,16000032,Lightning,6,9,Earthquake,9,12,Fireball,9,12,Freeze,6,9,Zap,11,14,Arrows,11,14,The Log,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T083308.000Z,,54000042,Legendary Arena,72000091,Heist_Friendly,,collection,#2G82PV00R,KCR I KIROZ⚡️,6707,0,#QCCLPYPL,RebelsMercenari,16000012,Clone,6,9,Rage,6,9,Arrows,11,14,Zap,11,14,Freeze,6,9,Skeleton Barrel,11,14,Goblin Barrel,6,9,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJJCP8P0,⚡KEVIN⚡,5162,3,#Q0L8U9QG,Los zodiacos,16000032,P.E.K.K.A,6,9,Minions,11,14,Wizard,9,12,Skeleton Barrel,11,14,Arrows,11,14,Inferno Tower,9,12,Balloon,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T083003.000Z,,54000011,Arena 12,72000254,MirrorDeck_Friendly,,predefined,#2G82PV00R,KCR I KIROZ⚡️,6707,2,#QCCLPYPL,RebelsMercenari,16000012,Mirror,6,9,Elixir Golem,9,12,Royal Giant,11,14,Dart Goblin,9,12,Rascals,11,14,Princess,3,6,Guards,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJJCP8P0,⚡KEVIN⚡,5162,0,#Q0L8U9QG,Los zodiacos,16000032,Mirror,6,9,Elixir Golem,9,12,Royal Giant,11,14,Dart Goblin,9,12,Rascals,11,14,Princess,3,6,Guards,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T082640.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#2G82PV00R,KCR I KIROZ⚡️,6707,3,#QCCLPYPL,RebelsMercenari,16000012,Clone,6,9,Rage,6,9,Arrows,11,14,Zap,11,14,Freeze,6,9,Skeleton Barrel,11,14,Goblin Barrel,6,9,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CJJCP8P0,⚡KEVIN⚡,5162,2,#Q0L8U9QG,Los zodiacos,16000032,Goblin Barrel,6,9,Wall Breakers,6,9,Rage,6,9,Freeze,6,9,Zap,11,14,Arrows,11,14,The Log,3,6,Clone,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T082348.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#9CJJCP8P0,⚡KEVIN⚡,5162,0,#Q0L8U9QG,Los zodiacos,16000032,Goblin Barrel,4,9,Wall Breakers,6,9,Rage,5,9,Freeze,5,9,Zap,13,14,Arrows,14,14,The Log,2,6,Clone,5,9,#2G82PV00R,KCR I KIROZ⚡️,,0,#QCCLPYPL,RebelsMercenari,16000012,Clone,5,9,Rage,6,9,Arrows,14,14,Zap,13,14,Freeze,5,9,Skeleton Barrel,13,14,Goblin Barrel,7,9,Wall Breakers,8,9,#LGLVP9R0Q,یگانه,5257,3,#YJPLJJ,DARYA NAVARD,16000024,Zap,12,14,Knight,13,14,Inferno Dragon,3,6,Mega Knight,4,6,Valkyrie,10,12,Electro Wizard,3,6,Wizard,10,12,Hog Rider,11,12,#8GUCC8QU,Anne likes camp,,3,#LC8LYL8J,Hot Potatoes,16000152,Spear Goblins,11,14,Wall Breakers,7,9,Magic Archer,3,6,Tornado,6,9,Fireball,11,12,Miner,3,6,Valkyrie,11,12,Bomb Tower,9,12
