type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T142623.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2G8PLJCR,Anthony,6756,3,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VL0Q9UYC,EGOIST,6600,0,#9P99L98G,mirage,16000015,Arrows,13,14,Elite Barbarians,14,14,Heal Spirit,11,12,Elixir Golem,12,12,Battle Healer,12,12,Rage,8,9,Electro Dragon,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T132715.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2G8PLJCR,Anthony,6756,1,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVRRG28UC,QUEEN,6557,0,#29P8L22C,babanba,16000044,Barbarian Barrel,9,9,Skeletons,13,14,Miner,5,6,Giant Snowball,12,14,Bomb Tower,11,12,Balloon,9,9,Musketeer,11,12,Ice Golem,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T060813.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6725,1,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R2RVYLR9,colli,6745,0,#LGY9QVRR,Tiktok Colli_CR,16000148,Hog Rider,12,12,Earthquake,12,12,Knight,14,14,Archer Queen,4,4,Fire Spirit,14,14,Skeletons,14,14,The Log,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T060246.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6697,3,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28RCCGGJ,MiSO,6685,0,#Q28J2VLJ,Monolith,16000003,Barbarian Barrel,9,9,Royal Ghost,6,6,Electro Spirit,14,14,Lightning,9,9,Ram Rider,6,6,Mega Knight,6,6,Bandit,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T060059.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6668,2,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P28CV9UV,jacob,6661,0,#P9UCUYV2,Maple Miners,16000076,P.E.K.K.A,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Electro Wizard,6,6,Freeze,9,9,Graveyard,6,6,Tornado,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055738.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6641,1,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82R9YLRJ,愛宇Nils✨,6607,0,#QJ29QJGY,Legends Gang™,16000098,Electro Giant,9,9,Goblin Cage,12,12,Tornado,9,9,Archer Queen,4,4,Bomber,14,14,Inferno Dragon,6,6,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055359.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6674,0,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQ0QCLGG2,SHINTO,6636,1,#YL8JULJR,Queen,16000044,Rocket,12,12,Goblin Barrel,9,9,The Log,6,6,Ice Spirit,14,14,Knight,14,14,Princess,6,6,Goblin Gang,14,14,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054929.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6705,0,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2GQ8UC,Ghostpsycho,6682,1,#28C9P2V,The Lost Island,16000146,Mortar,14,14,Miner,6,6,Fireball,12,12,Archer Queen,4,4,Bats,14,14,Guards,9,9,The Log,6,6,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054356.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6734,0,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2GV0Q9C,Dominican CR☠️,6743,1,#LQ82RJQ2,nerf al minero,16000108,Barbarian Barrel,9,9,Dark Prince,9,9,Ram Rider,6,6,Bats,14,14,Mega Knight,6,6,Electro Spirit,14,14,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054035.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2G8PLJCR,Anthony,6703,2,#YYQRV92J,Apocalypse,16000165,Giant Skeleton,9,9,Witch,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Zappies,12,12,Clone,9,9,Tornado,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LYLJ8RC8,S℟. Ƥɨηgüiηø⚡,6725,0,#Q2J92L9C,Ok Leh Gou,16000131,X-Bow,9,9,Skeletons,14,14,Electro Spirit,14,14,Archers,14,14,Knight,14,14,Tesla,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
