type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T154000.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6696,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV9099Y9,Mili B,6751,0,#28U0L2CP,Clash Loyale DK,16000060,Firecracker,14,14,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152041.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6665,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L8U8RC8G,Big Dervish,6679,0,#8LGRYC,CrownTown☀️,16000013,Goblin Drill,9,9,Guards,9,9,Fireball,12,12,Valkyrie,12,12,Wall Breakers,9,9,Bomber,14,14,Fire Spirit,14,14,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150808.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6634,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UYVCQJP,Jigsaw,6648,0,#82GY92J2,Eminence™,16000096,Miner,6,6,The Log,6,6,Mega Minion,12,12,Royal Delivery,14,14,Skeletons,14,14,Poison,9,9,Golden Knight,4,4,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150411.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6607,2,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29V8P8QGQ,Jacek444,6578,1,#8YLJ8UL2,Aftershock,16000011,Giant,12,12,Giant Snowball,14,14,Arrows,14,14,Musketeer,12,12,Skeleton Army,9,9,Prince,9,9,Graveyard,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140032.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6576,2,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PUQ28PG0,ガブリエル・アグボンラホー,6599,1,#8VCVPC28,StarAlliance JP,16000040,Hog Rider,12,12,Valkyrie,12,12,Prince,9,9,Skeleton Army,9,9,Princess,6,6,Inferno Dragon,6,6,Minion Horde,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135542.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6547,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J9YPPV0,Jeff,6539,0,#YGJ20GUU,Cookie Stealers,16000032,Prince,9,9,The Log,6,6,Rascals,14,14,Princess,6,6,Rocket,12,12,Guards,9,9,Dart Goblin,12,12,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135231.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6517,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QQPP2YU2,おやっすう✋,6518,0,#UJC2Y2,Nakama CR,16000168,The Log,6,6,Goblin Barrel,9,9,Inferno Tower,11,12,Ice Spirit,14,14,Princess,6,6,Goblin Gang,14,14,Rocket,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134011.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6486,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RC002P09,DarkBandit,6501,0,#9P9Y8VPL,TeamExigence,16000162,Archer Queen,4,4,Cannon Cart,9,9,Fireball,12,12,Goblin Cage,12,12,Skeleton Dragons,14,14,Royal Hogs,12,12,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133611.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6460,1,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQQQQ2J,Ederlu,6418,0,#QJ8298UR,Codename Vipers,16000008,Prince,9,9,Rascals,14,14,Princess,6,6,Dart Goblin,12,12,Goblin Barrel,9,9,Guards,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133258.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GG00C8G,훈이 ,6487,0,#2PCCVVY,Girls is love,16000128,Graveyard,6,6,Giant,12,12,Arrows,14,14,Giant Snowball,14,14,Musketeer,12,12,Bats,14,14,Golden Knight,4,4,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLRJCRGVP,remo,6514,1,#LRC20U09,remoxyz,16000096,Mega Knight,6,6,Witch,9,9,Prince,9,9,Spear Goblins,14,14,Hog Rider,12,12,Skeleton Army,9,9,Zap,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
