type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T083304.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6732,3,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCYPVUPC,이우람,6726,0,#YC0R9P0Y,Fear of God,16000163,Giant,12,12,Night Witch,6,6,Arrows,14,14,Archer Queen,4,4,Graveyard,6,6,Skeleton Army,9,9,Bowler,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T083041.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6706,3,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J8L0V2P9,Gohan ⚡,6661,0,#Y8P8JVQY,ARRIBA PERÚ !!!,16000010,Golem,9,9,Barbarian Barrel,9,9,Lightning,9,9,Ice Wizard,6,6,Baby Dragon,9,9,Night Witch,6,6,Tornado,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T082648.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6674,3,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6699,0,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T082434.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6646,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PU8G8CQ,Anais✌️,6630,0,#QJ2Q82CV,ʕ•ᴥ•ʔ,16000171,Minion Horde,14,14,Guards,9,9,Fireball,12,12,The Log,6,6,Cannon Cart,9,9,Spear Goblins,14,14,Miner,6,6,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T082013.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6619,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90P29CLJ0,ラジョン,6585,0,#GCQYJP,梅☆弁当,16000054,Goblin Hut,12,12,Dart Goblin,12,12,Hunter,9,9,Fireball,12,12,Barbarian Barrel,9,9,Royal Ghost,6,6,Giant Skeleton,9,9,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081634.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6647,0,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPPYP2UL,はなげじじー,6666,1,#9P99L98G,mirage,16000015,Clone,9,9,Skeleton Barrel,14,14,Skeleton Army,9,9,Cannon Cart,9,9,Mega Minion,12,12,Mortar,14,14,Dart Goblin,12,12,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081305.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6618,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY9UPLR9,Aoyd,6615,0,#9Q2G0GYC,Arepa Venezuela,16000103,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Rocket,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T080944.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6592,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VQY80VG2,⚡️labyrinth⚡️,6552,0,#Y8RC0C2Q,ツタージャ,16000054,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T080431.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6562,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VLVJP2QG,MiniAli 2.0⚡️,6566,0,#8LRR2UYY,Nova I Panamá,16000044,Zap,14,14,Balloon,9,9,Miner,6,6,Inferno Dragon,6,6,Fireball,12,12,Ice Golem,12,12,Goblin Cage,12,12,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T080039.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6530,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P2GQ8JYU,Влад,6564,0,#2GG29LP,Ukraine United,16000175,Lumberjack,6,6,Goblin Hut,12,12,Flying Machine,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Furnace,12,12,Baby Dragon,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075441.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6504,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJYY2U0UG,Star⭐Ａｋｓｈａｎ,6468,0,#LQ2VPQGG,StarAcademy RO2,16000040,Fireball,12,12,Zap,14,14,Battle Ram,12,12,Electro Wizard,6,6,Minions,14,14,Bandit,6,6,P.E.K.K.A,9,9,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075049.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6474,1,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVRR8YJY,JauntyJordan⚡️,6481,0,#8J82R0,Orange Tree,16000140,Goblin Drill,9,9,Wall Breakers,9,9,Fireball,12,12,Dart Goblin,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T074550.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6507,0,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89YP2C9JY,downcenter,6467,1,,,,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Graveyard,6,6,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T074014.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#2GLU9CJPV,Jaqueline,6507,0,#L8VGCL99,Pekka❤️,16000163,Mortar,11,14,Archer Queen,1,4,Valkyrie,9,12,Miner,3,6,Bats,11,14,Skeletons,11,14,Fireball,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QYCYC99R,TQ BENIJU,5369,1,#L8VGCL99,Pekka❤️,16000163,Fireball,9,12,Electro Spirit,11,14,Princess,3,6,The Log,3,6,Tesla,11,14,Goblin Barrel,6,9,Guards,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T073452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GLU9CJPV,Jaqueline,6536,0,#L8VGCL99,Pekka❤️,16000163,P.E.K.K.A,9,9,Magic Archer,6,6,Fireball,12,12,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LUCPCGYQ,【﻿Ｋ　ㄖ　乃　卂　几】,6544,1,#LG980U8G,persia vs world,16000028,Electro Giant,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Tornado,9,9,Goblin Cage,12,12,Lightning,9,9,Bomber,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
