type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T115343.000Z,,54000017,Master III,72000007,Friendly,,collection,#2GQLLRRL2,CTRN I ArciteX,6731,0,#L922JVY9,Citrine,16000020,Mortar,11,14,Graveyard,3,6,Hunter,6,9,Knight,11,14,Skeletons,11,14,Fireball,9,12,Spear Goblins,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LRRRGL22,clashwithGARRY,6660,1,#L922JVY9,Citrine,16000020,Archer Queen,1,4,Bandit,3,6,Ram Rider,3,6,Barbarian Barrel,6,9,Fireball,9,12,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T114857.000Z,,54000016,Master II,72000007,Friendly,,collection,#2GQLLRRL2,CTRN I ArciteX,6731,3,#L922JVY9,Citrine,16000020,P.E.K.K.A,6,9,Hog Rider,9,12,Goblin Gang,11,14,Bats,11,14,Fireball,9,12,Zap,11,14,Inferno Dragon,3,6,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UURGJPGP,CTRN l Aza一黎明✨,6491,0,#L922JVY9,Citrine,16000020,Bowler,6,9,Lumberjack,3,6,Balloon,6,9,Barbarian Barrel,6,9,Tornado,6,9,Freeze,6,9,Inferno Dragon,3,6,Electro Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T114558.000Z,,54000017,Master III,72000007,Friendly,,collection,#2GQLLRRL2,CTRN I ArciteX,6731,2,#L922JVY9,Citrine,16000020,Inferno Dragon,3,6,Mother Witch,3,6,Graveyard,3,6,Goblin Cage,9,12,Skeletons,11,14,Fireball,9,12,Barbarian Barrel,6,9,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UURGJPGP,CTRN l Aza一黎明✨,6491,1,#L922JVY9,Citrine,16000020,Golem,6,9,Mega Minion,9,12,Barbarian Barrel,6,9,Tornado,6,9,Dark Prince,6,9,Baby Dragon,6,9,Cannon Cart,6,9,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T113730.000Z,,54000017,Master III,72000007,Friendly,,collection,#2GQLLRRL2,CTRN I ArciteX,6731,1,#L922JVY9,Citrine,16000020,Electro Wizard,3,6,Mega Minion,9,12,Mega Knight,3,6,Graveyard,3,6,Poison,6,9,Barbarian Barrel,6,9,Goblin Cage,9,12,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UURGJPGP,CTRN l Aza一黎明✨,6491,0,#L922JVY9,Citrine,16000020,Valkyrie,9,12,Ice Wizard,3,6,Tesla,11,14,Poison,6,9,Tornado,6,9,Skeletons,11,14,X-Bow,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T113236.000Z,,54000016,Master II,72000007,Friendly,,collection,#2GQLLRRL2,CTRN I ArciteX,6731,0,#L922JVY9,Citrine,16000020,Miner,3,6,Skeletons,11,14,Ice Spirit,11,14,Valkyrie,9,12,Electro Wizard,3,6,Inferno Tower,9,12,The Log,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UURGJPGP,CTRN l Aza一黎明✨,6491,2,#L922JVY9,Citrine,16000020,Tornado,6,9,Baby Dragon,6,9,Barbarian Hut,9,12,Electro Dragon,6,9,Elixir Golem,9,12,Battle Healer,9,12,Heal Spirit,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T112847.000Z,,54000017,Master III,72000007,Friendly,,collection,#2GQLLRRL2,CTRN I ArciteX,6731,0,#L922JVY9,Citrine,16000020,Skeleton Barrel,11,14,Mega Knight,3,6,Inferno Dragon,3,6,Skeleton King,1,4,Miner,3,6,Minions,11,14,Arrows,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UURGJPGP,CTRN l Aza一黎明✨,6491,1,#L922JVY9,Citrine,16000020,Electro Giant,6,9,Lightning,6,9,Tornado,6,9,Barbarian Barrel,6,9,Golden Knight,1,4,Baby Dragon,6,9,Goblin Cage,9,12,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111845.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GQLLRRL2,CTRN I ArciteX,6700,1,#L922JVY9,Citrine,16000020,Mortar,14,14,Graveyard,6,6,Hunter,9,9,Knight,14,14,Skeletons,14,14,Fireball,12,12,Spear Goblins,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VYPVRU,Mannuel™,6712,0,#8JGY0JU0,Nova I Brasil,16000058,Archer Queen,4,4,Mega Minion,12,12,Graveyard,6,6,Barbarian Barrel,9,9,Poison,9,9,Tornado,9,9,Goblin Cage,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T094303.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2GQLLRRL2,CTRN I ArciteX,6700,1,#L922JVY9,Citrine,16000020,Mirror,6,9,Wall Breakers,6,9,Royal Giant,11,14,Archers,11,14,Mega Knight,3,6,Bandit,3,6,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGQCJPG2R,Чорная бура,5721,0,#QGUQ22PL,PIRATAS ELITE,16000029,Mirror,6,9,Wall Breakers,6,9,Royal Giant,11,14,Archers,11,14,Mega Knight,3,6,Bandit,3,6,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T051939.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2GQLLRRL2,CTRN I ArciteX,6700,0,#L922JVY9,Citrine,16000020,Mirror,6,9,Goblin Barrel,6,9,Royal Hogs,9,12,Skeleton Dragons,11,14,P.E.K.K.A,6,9,Night Witch,3,6,Skeleton Army,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYJ0JQRY,WRLD l Bai,6454,3,#LVQGJ2YG,WRLD 2,16000146,Mirror,6,9,Goblin Barrel,6,9,Royal Hogs,9,12,Skeleton Dragons,11,14,P.E.K.K.A,6,9,Night Witch,3,6,Skeleton Army,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T051713.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2GQLLRRL2,CTRN I ArciteX,6700,0,#L922JVY9,Citrine,16000020,Mirror,6,9,Goblin Barrel,6,9,Goblin Giant,6,9,Magic Archer,3,6,Rascals,11,14,Night Witch,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLVQYLC8,一蓑烟雨任平生,6044,1,#PPR9VL9Y,Clash-A-Rama,16000046,Mirror,6,9,Goblin Barrel,6,9,Goblin Giant,6,9,Magic Archer,3,6,Rascals,11,14,Night Witch,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
