type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184631.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GQPC2C0G,Edward☠️TAMX,6756,1,#LVG8C8Q8,Team Alpha MX,16000029,Royal Hogs,12,12,Zappies,12,12,Royal Recruits,14,14,Arrows,14,14,Goblin Cage,12,12,Flying Machine,12,12,Fireball,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLGLJRUG,ĄƖ⚡ĘxÀɠƖąɖıąɬơŕ,6763,0,#LRUUCURY,AL✨Oldies™️✨,16000145,Fireball,12,12,Golden Knight,4,4,Fisherman,6,6,The Log,6,6,Royal Giant,14,14,Hunter,9,9,Electro Spirit,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184218.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,0,#LVG8C8Q8,Team Alpha MX,16000029,Valkyrie,11,12,Spear Goblins,13,14,Bats,13,14,Wall Breakers,9,9,Miner,6,6,Fireball,12,12,Tesla,13,14,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJ820UYPC,MrAlphqZ,6861,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T183851.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,0,#LVG8C8Q8,Team Alpha MX,16000029,Valkyrie,11,12,Spear Goblins,13,14,Bats,13,14,Wall Breakers,9,9,Miner,6,6,Fireball,12,12,Tesla,13,14,The Log,5,6,#80J0R08RG,WhiteThorns,,0,#PLJUCG28,PEKKCLAN,16000014,Goblin Gang,14,14,Goblin Barrel,8,9,Princess,4,6,Rocket,10,12,Ice Spirit,12,14,The Log,4,6,Inferno Tower,10,12,Knight,13,14,#YCGP28Q2,wessam,5455,1,#PP92QRQU,ksa11,16000160,Dart Goblin,12,12,Royal Giant,14,14,Wizard,12,12,Electro Wizard,6,6,Goblin Barrel,9,9,Mirror,9,9,Mini P.E.K.K.A,12,12,Skeleton Army,8,9,#820PLQ9YU,عبد العزيز,,1,#PP92QRQU,ksa11,16000160,Hog Rider,12,12,Wizard,10,12,Giant Snowball,11,14,Cannon,12,14,Elite Barbarians,13,14,Firecracker,11,14,Freeze,7,9,Guards,5,9
casual2v2,20220104T183510.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QQP92GQ,─━ ⚡<ＨＯＲＯＳ>⚡━─,6319,3,#YQ2Q9VGG,QLASH Power,16000029,Lava Hound,6,6,Inferno Dragon,6,6,Tombstone,12,12,Fireball,12,12,Guards,9,9,Balloon,9,9,Zap,14,14,Minions,14,14,#2GQPC2C0G,Edward☠️TAMX,,3,#LVG8C8Q8,Team Alpha MX,16000029,Valkyrie,11,12,Spear Goblins,13,14,Bats,13,14,Wall Breakers,9,9,Miner,6,6,Fireball,12,12,Tesla,13,14,The Log,5,6,#P0RYRULU0,king01,5265,0,#YVUV9UV9,Austria The OGs,16000002,Bomber,14,14,Mega Knight,6,6,Minion Horde,13,14,Freeze,8,9,Poison,9,9,Witch,9,9,Wizard,12,12,Royal Recruits,14,14,#2P0JR8PYP,lauty268 COC,,0,#YVRPGYCL,TEAM 么ＯＬＹＭＰＵＳ⚔️,16000029,Tornado,9,9,The Log,5,6,Rage,6,9,Goblin Gang,14,14,Electro Wizard,6,6,Executioner,9,9,Hog Rider,12,12,Valkyrie,12,12
casual2v2,20220104T183330.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,1,#LVG8C8Q8,Team Alpha MX,16000029,Valkyrie,11,12,Spear Goblins,13,14,Bats,13,14,Wall Breakers,9,9,Miner,6,6,Fireball,12,12,Tesla,13,14,The Log,5,6,#P2QGV8L0,천재은상,,1,#P0VCVJ,KOREA,16000126,Freeze,7,9,Inferno Dragon,5,6,Tornado,8,9,Lumberjack,5,6,Balloon,8,9,Bowler,9,9,Baby Dragon,9,9,Barbarian Barrel,9,9,#2V0PQLG92,shicamaru,5556,0,#2L2QU2LP,atilas,16000073,Valkyrie,12,12,Wizard,11,12,Mini P.E.K.K.A,11,12,Skeleton Barrel,13,14,Witch,9,9,Lumberjack,5,6,Ram Rider,6,6,Furnace,12,12,#LVLGJG89R,Fanto,,0,#29YYG2CU,I 4 cugini,16000146,Mega Knight,5,6,Valkyrie,12,12,Zappies,12,12,Lumberjack,6,6,Mini P.E.K.K.A,12,12,Witch,9,9,Dark Prince,9,9,Baby Dragon,8,9
clanMate,20220104T170112.000Z,,54000017,Master III,72000007,Friendly,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,1,#QUYURV90,to,16000125,Valkyrie,9,12,Spear Goblins,11,14,Bats,11,14,Wall Breakers,6,9,Miner,3,6,Fireball,9,12,Tesla,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#820YU92U8,PierS⚡PerúClash,5555,0,#QUYURV90,to,16000125,Giant,9,12,Dark Prince,6,9,Electro Dragon,6,9,Fireball,9,12,Mega Minion,9,12,Prince,6,9,Miner,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T165728.000Z,,54000040,Legendary Arena,72000007,Friendly,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,3,#QUYURV90,to,16000125,Royal Hogs,9,12,Valkyrie,9,12,Zappies,9,12,Rascals,11,14,Flying Machine,9,12,Goblin Hut,9,12,Fireball,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#820YU92U8,PierS⚡PerúClash,5555,0,#QUYURV90,to,16000125,Electro Dragon,6,9,Balloon,6,9,Bowler,6,9,Lumberjack,3,6,Inferno Dragon,3,6,Freeze,6,9,Barbarian Barrel,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T165346.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,2,#QUYURV90,to,16000125,Lava Hound,3,6,Arrows,11,14,Electro Dragon,6,9,Flying Machine,9,12,Skeleton Dragons,11,14,Tombstone,9,12,Barbarians,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90CJU9L82,⚡️PS Mark,5830,0,#QUYURV90,to,16000125,Baby Dragon,6,9,Barbarian Barrel,6,9,Ice Wizard,3,6,Valkyrie,9,12,Poison,6,9,Tombstone,9,12,Tornado,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T164915.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,1,#QUYURV90,to,16000125,Royal Hogs,9,12,Zappies,9,12,Royal Recruits,11,14,Arrows,11,14,Goblin Cage,9,12,Flying Machine,9,12,Fireball,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90CJU9L82,⚡️PS Mark,5830,2,#QUYURV90,to,16000125,Balloon,6,9,Lumberjack,3,6,Electro Dragon,6,9,Inferno Dragon,3,6,Barbarian Barrel,6,9,Bowler,6,9,Freeze,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T164514.000Z,,54000017,Master III,72000007,Friendly,,collection,#2GQPC2C0G,Edward☠️TAMX,6779,1,#QUYURV90,to,16000125,Poison,6,9,P.E.K.K.A,6,9,Mother Witch,3,6,Electro Wizard,3,6,Bandit,3,6,Ram Rider,3,6,Dark Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90CJU9L82,⚡️PS Mark,5830,0,#QUYURV90,to,16000125,Spear Goblins,11,14,Knight,11,14,The Log,3,6,Miner,3,6,Fireball,9,12,Wall Breakers,6,9,Hunter,6,9,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
