type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T134017.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6882,1,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J9RCGQVJ,InteGreatIon,5859,0,#2YL0LG2,AngelHunters,16000167,The Log,3,6,Archers,11,14,X-Bow,6,9,Knight,11,14,Tesla,11,14,Skeletons,11,14,Ice Spirit,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T133625.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6882,1,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#899Y0G88C,Emperor,6048,0,#8VU2VJYG,Highest⭐,16000010,Dart Goblin,9,12,The Log,3,6,Valkyrie,9,12,Electro Spirit,11,14,Skeletons,11,14,Goblin Barrel,6,9,Inferno Tower,9,12,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JGCJG0G,BigSpin❤️Geier,6914,0,#P9VLJRRR,Biggi's Bande,16000158,Dark Prince,9,9,Prince,9,9,Ram Rider,6,6,Bandit,6,6,Golden Knight,4,4,Battle Ram,12,12,Mega Knight,6,6,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6881,3,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T133021.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6914,1,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9YPRPQ00,扇風機,5193,0,#PP0VR22G,ANDO ONE,16000044,Electro Wizard,3,6,Tesla,11,14,Miner,3,6,Golden Knight,1,4,Bats,11,14,Electro Spirit,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T132705.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6914,1,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8JVR00,tomiarias10,5322,3,#LL9J8288,Duros!☠,16000152,Baby Dragon,6,9,Skeleton Army,6,9,Lava Hound,3,6,Bats,11,14,Fireball,9,12,Lumberjack,3,6,Clone,6,9,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T132445.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6914,1,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82GV20U,agarcia_24,5420,0,#LY8LPGCC,Afrika,16000136,Goblin Barrel,6,9,The Log,3,6,Rocket,9,12,Ice Spirit,11,14,Princess,3,6,Tesla,11,14,Goblin Gang,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T132135.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6914,3,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJQV90GU2,Hustlehoff♥️,5386,1,#PQYVJ2,Norddeutsch,16000176,Electro Giant,6,9,Lightning,6,9,Mega Minion,9,12,Goblin Cage,9,12,Tornado,6,9,Prince,6,9,Bomber,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T131809.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6914,1,#P9VLJRRR,Biggi's Bande,16000158,Battle Ram,9,12,Ram Rider,3,6,Dark Prince,6,9,Prince,6,9,Mega Knight,3,6,Golden Knight,1,4,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#988G0R2LC,かんたろー,5699,3,#L8VJ8G0L,神々の憩い場,16000012,Lava Hound,3,6,Skeleton Army,6,9,Lumberjack,3,6,Baby Dragon,6,9,Clone,6,9,Flying Machine,9,12,Fireball,9,12,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T131559.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#2JGCJG0G,BigSpin❤️Geier,6914,0,#P9VLJRRR,Biggi's Bande,16000158,Furnace,9,12,Goblin Hut,9,12,Witch,6,9,Tombstone,9,12,Graveyard,3,6,Skeleton King,1,4,Night Witch,3,6,Barbarian Hut,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9C002QVC,itachi uchiha,5200,3,#90VPURGR,EsteticTeamArmy,16000177,Inferno Tower,9,12,Rocket,9,12,Goblin Barrel,6,9,Princess,3,6,Ice Spirit,11,14,Knight,11,14,Goblin Gang,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210033.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JGCJG0G,BigSpin❤️Geier,6875,2,#P9VLJRRR,Biggi's Bande,16000158,Poison,9,9,Goblin Cage,12,12,Electro Wizard,6,6,Mega Minion,12,12,Skeletons,14,14,Golden Knight,4,4,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJYJYVGLR,CMG I Zodiac™✨,6989,1,#LLC9CJ9P,LIVE ON TWITCH,16000100,Elixir Golem,12,12,Battle Healer,12,12,Baby Dragon,9,9,Electro Dragon,9,9,Golden Knight,4,4,Goblin Cage,12,12,Arrows,14,14,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
