type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T164743.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2JY2JC08,ThatCrazy,6822,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,#VPV82QG,SN l Mauricio,,1,#9GGVL92U,nova esport☆,16000044,Lumberjack,6,6,Ice Golem,11,12,Barbarian Barrel,9,9,Balloon,9,9,Bomb Tower,11,12,Tornado,8,9,Musketeer,12,12,Heal Spirit,10,12,#R2GUUJC,BANDIDOS,5696,0,#P09PQPPL,ITALIA,16000081,Hog Rider,12,12,Musketeer,12,12,Skeletons,12,14,Ice Spirit,12,14,Fireball,11,12,The Log,6,6,Cannon,14,14,Ice Golem,11,12,#Q299L09RP,TomalitoCap,,0,#QL9RJL9C,los masacró 2,16000162,Arrows,13,14,Skeleton Barrel,14,14,Mega Knight,6,6,Ice Wizard,6,6,Fireball,12,12,Inferno Dragon,6,6,Miner,6,6,Bandit,6,6
casual2v2,20220104T164314.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2JY2JC08,ThatCrazy,6822,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,#2CJUR2PP9,♠️♥️MEGASIKA♦️♣,,1,#P80CYJJG,KlanariOoo,16000141,P.E.K.K.A,9,9,Battle Ram,12,12,Zap,14,14,Royal Ghost,6,6,Electro Wizard,6,6,Magic Archer,6,6,Fireball,12,12,Bandit,6,6,#9U2PCLRG8,MaruMaru,6064,0,#L2LCC8QQ,トレード,16000020,P.E.K.K.A,9,9,Bandit,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Giant Snowball,13,14,Lightning,9,9,Ram Rider,6,6,Electro Spirit,14,14,#QCL9YQRG,'RSoni.,,0,#P0CJUG28,RoyalFlush™ DE,16000077,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,Graveyard,6,6,Bomber,14,14,Knight,14,14,Tombstone,12,12,Baby Dragon,9,9
clanMate2v2,20220104T163310.000Z,,54000014,Challenger III,72000014,TeamVsTeam,,collection,#89URGR20V,mhaster,,2,#G9VGCJC,BrengiCrew,16000020,Poison,6,9,Golden Knight,1,4,Baby Dragon,6,9,Skeleton Barrel,11,14,Fireball,9,12,Furnace,9,12,Prince,6,9,Mega Knight,3,6,#2JY2JC08,ThatCrazy,,2,#G9VGCJC,BrengiCrew,16000020,Skeleton King,1,4,Baby Dragon,6,9,Ice Wizard,3,6,Tombstone,9,12,Graveyard,3,6,Poison,6,9,Barbarian Barrel,6,9,Tornado,6,9,#L820CCR2,Dragon332,,1,#G9VGCJC,BrengiCrew,16000020,P.E.K.K.A,6,9,Electro Wizard,3,6,Ram Rider,3,6,Baby Dragon,6,9,Bandit,3,6,Giant Snowball,11,14,Lightning,6,9,Barbarian Barrel,6,9,#QV8CLUQC,iRevenged™️,,1,#G9VGCJC,BrengiCrew,16000020,Lava Hound,3,6,Miner,3,6,Balloon,6,9,Minions,11,14,Inferno Dragon,3,6,Fireball,9,12,Guards,6,9,Zap,11,14
PvP,20220104T161253.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6793,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6792,0,#LUR0PRR2,CowCowFinance,16000138,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160902.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6766,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J0QYJLG,Garrison77s,6741,0,#LLCYJ98U,WarFace™️,16000168,Tesla,14,14,The Log,6,6,Archer Queen,4,4,Electro Spirit,14,14,Skeletons,14,14,Knight,14,14,X-Bow,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160305.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6795,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PG2Q82L,ND I WollkerYT,6806,2,#Q82P2JCJ,Community,16000169,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,Barbarians,14,14,Balloon,9,9,Miner,6,6,Inferno Dragon,6,6,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155631.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6768,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6743,0,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155142.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6741,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LG8CGJ90,Sandro,6707,0,#LRLRL9V,DunkleSchatten,16000096,Archer Queen,4,4,Bandit,6,6,Barbarian Barrel,9,9,Electro Spirit,14,14,Lightning,9,9,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154559.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6711,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GUQJCGY,DartnDave,6721,0,#29GYYJYG,Fat Nug,16000076,Arrows,14,14,Tesla,14,14,Mirror,9,9,Valkyrie,12,12,Hog Rider,12,12,Freeze,9,9,Hunter,9,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154138.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2JY2JC08,ThatCrazy,6680,1,#G9VGCJC,BrengiCrew,16000020,Skeleton King,4,4,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P08YPYYGP,杜雷丝,6694,0,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
