type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T182226.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,1,#Y0UVJR8P,Elite⚡Skills™,16000123,Baby Dragon,6,9,Bats,11,14,Clone,6,9,Fireball,9,12,Flying Machine,9,12,Lava Hound,3,6,Lumberjack,3,6,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0LVJC9YL,FGL⚡️l Dragon✨,5884,2,#2G0C0Y8J,Jewish Hope™,16000178,Valkyrie,9,12,Guards,6,9,Tesla,11,14,Fire Spirit,11,14,Wall Breakers,6,9,Fireball,9,12,Dart Goblin,9,12,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T181851.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,2,#Y0UVJR8P,Elite⚡Skills™,16000123,P.E.K.K.A,6,9,Balloon,6,9,Lumberjack,3,6,Archer Queen,1,4,Baby Dragon,6,9,Tornado,6,9,Freeze,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0LVJC9YL,FGL⚡️l Dragon✨,5884,1,#2G0C0Y8J,Jewish Hope™,16000178,Valkyrie,9,12,Guards,6,9,Dart Goblin,9,12,Inferno Tower,9,12,Rocket,9,12,Electro Spirit,11,14,The Log,3,6,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T181505.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,0,#Y0UVJR8P,Elite⚡Skills™,16000123,Bandit,3,6,Mega Knight,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Giant Snowball,11,14,Ram Rider,3,6,Archer Queen,1,4,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0LVJC9YL,FGL⚡️l Dragon✨,5884,1,#2G0C0Y8J,Jewish Hope™,16000178,Archer Queen,1,4,The Log,3,6,Earthquake,9,12,Fire Spirit,11,14,Royal Hogs,9,12,Royal Delivery,11,14,Skeletons,11,14,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T180639.000Z,,54000016,Master II,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,2,#Y0UVJR8P,Elite⚡Skills™,16000123,Inferno Dragon,3,6,Bowler,6,9,Balloon,6,9,Lumberjack,3,6,Electro Dragon,6,9,Tornado,6,9,Barbarian Barrel,6,9,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JP92J8U0,FS•Patrick⭐⚡,6417,1,#9YJGVCPQ,LimiT eSports,16000142,Baby Dragon,6,9,Electro Wizard,3,6,Inferno Dragon,3,6,Graveyard,3,6,Tornado,6,9,Bowler,6,9,Freeze,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T180255.000Z,,54000016,Master II,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,2,#Y0UVJR8P,Elite⚡Skills™,16000123,Graveyard,3,6,Poison,6,9,Giant Snowball,11,14,Valkyrie,9,12,Skeletons,11,14,Archer Queen,1,4,Archers,11,14,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JP92J8U0,FS•Patrick⭐⚡,6417,1,#9YJGVCPQ,LimiT eSports,16000142,Lava Hound,3,6,Arrows,11,14,Electro Dragon,6,9,Flying Machine,9,12,Skeleton Dragons,11,14,Tombstone,9,12,Barbarians,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T175541.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,1,#Y0UVJR8P,Elite⚡Skills™,16000123,Royal Giant,11,14,Fisherman,3,6,Mega Minion,9,12,Dark Prince,6,9,Archer Queen,1,4,Electro Spirit,11,14,Lightning,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9VQC9UPG,Guwice™,5792,0,#290Y90GP,DOM Royale,16000112,Cannon Cart,6,9,Miner,3,6,Fireball,9,12,Valkyrie,9,12,Musketeer,9,12,Mortar,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174844.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,1,#Y0UVJR8P,Elite⚡Skills™,16000123,Spear Goblins,11,14,Wall Breakers,6,9,Magic Archer,3,6,Tornado,6,9,Fireball,9,12,Miner,3,6,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPJUJ90Q,Gundam00,6555,0,#L8QLL0UV,Tesle Academy 7,16000010,Graveyard,3,6,Bomb Tower,9,12,Skeletons,11,14,Mega Minion,9,12,Fireball,9,12,Giant Snowball,11,14,Valkyrie,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174423.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L0888PVY,Kid DINAMITE,6964,1,#Y0UVJR8P,Elite⚡Skills™,16000123,Bandit,3,6,Mega Knight,3,6,Royal Ghost,3,6,Electro Spirit,11,14,Giant Snowball,11,14,Ram Rider,3,6,Archer Queen,1,4,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9VQC9UPG,Guwice™,5792,0,#290Y90GP,DOM Royale,16000112,Hog Rider,9,12,Skeletons,11,14,Lightning,6,9,Valkyrie,9,12,Archers,11,14,Fire Spirit,11,14,Bomb Tower,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173434.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L0888PVY,Kid DINAMITE,6935,3,#Y0UVJR8P,Elite⚡Skills™,16000123,Baby Dragon,9,9,Barbarian Hut,12,12,Electro Dragon,9,9,Fireball,12,12,Battle Healer,12,12,Elixir Golem,12,12,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6929,2,#QG9RL,maroc,16000146,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Bats,14,14,Graveyard,6,6,Witch,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172137.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L0888PVY,Kid DINAMITE,6906,2,#Y0UVJR8P,Elite⚡Skills™,16000123,Baby Dragon,9,9,Barbarian Hut,12,12,Electro Dragon,9,9,Fireball,12,12,Battle Healer,12,12,Elixir Golem,12,12,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6901,1,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
