type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T150803.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L2RU80UC,Hoon,6842,1,#9Y090G09,KOREA,16000017,Skeleton King,4,4,Skeleton Army,9,9,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Witch,9,9,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LGQVY0JC,Darr,6801,0,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T142700.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L2RU80UC,Hoon,6842,1,#LQ9RJGVU,VPS Scrim,16000168,Mortar,11,14,Knight,11,14,Archer Queen,1,4,Zappies,9,12,Cannon Cart,6,9,Giant Snowball,11,14,Arrows,11,14,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8RPLU08,TOÝ,6600,0,#LQ9RJGVU,VPS Scrim,16000168,Giant Snowball,11,14,Archer Queen,1,4,Royal Ghost,3,6,Lightning,6,9,Ram Rider,3,6,Mega Knight,3,6,Bandit,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T142031.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L2RU80UC,Hoon,6842,1,#LQ9RJGVU,VPS Scrim,16000168,Archer Queen,1,4,The Log,3,6,Hog Rider,9,12,Knight,11,14,Skeletons,11,14,Bomb Tower,9,12,Fire Spirit,11,14,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9J809JR,KÄÎ,6627,0,#LQ9RJGVU,VPS Scrim,16000168,Electro Giant,6,9,Archer Queen,1,4,Bomber,11,14,Skeletons,11,14,Goblin Cage,9,12,Lightning,6,9,Tornado,6,9,Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T141238.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2L2RU80UC,Hoon,6842,1,#LQ9RJGVU,VPS Scrim,16000168,Goblin Drill,6,9,Guards,6,9,Fireball,9,12,Valkyrie,9,12,Wall Breakers,6,9,Dart Goblin,9,12,Fire Spirit,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJV02LL9,dtdtd,5680,0,#LQ9RJGVU,VPS Scrim,16000168,Archer Queen,1,4,Electro Spirit,11,14,Barbarian Barrel,6,9,Mega Minion,9,12,Dark Prince,6,9,Royal Giant,11,14,Lightning,6,9,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135731.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L2RU80UC,Hoon,6817,1,#LQ9RJGVU,VPS Scrim,16000168,Skeleton King,4,4,Skeleton Army,9,9,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Witch,9,9,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80UCCUJRL,ルイージ,6762,0,,,,Bandit,6,6,Dark Prince,9,9,Rascals,14,14,Princess,6,6,Guards,9,9,Rocket,12,12,Goblin Barrel,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T135131.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L2RU80UC,Hoon,6817,0,#LQ9RJGVU,VPS Scrim,16000168,Rocket,9,12,The Log,3,6,Tornado,6,9,Executioner,6,9,Valkyrie,9,12,Hog Rider,9,12,Ice Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8RPLU08,TOÝ,6600,1,#LQ9RJGVU,VPS Scrim,16000168,Barbarian Barrel,6,9,Inferno Dragon,3,6,Tornado,6,9,Lightning,6,9,Electro Giant,6,9,Dark Prince,6,9,Golden Knight,1,4,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T134654.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L2RU80UC,Hoon,6817,0,#LQ9RJGVU,VPS Scrim,16000168,Rocket,9,12,The Log,3,6,Tornado,6,9,Executioner,6,9,Valkyrie,9,12,Hog Rider,9,12,Ice Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9J809JR,KÄÎ,6627,1,#LQ9RJGVU,VPS Scrim,16000168,Bandit,3,6,Zap,11,14,Musketeer,9,12,Wall Breakers,6,9,Bats,11,14,Miner,3,6,Prince,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134036.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L2RU80UC,Hoon,6788,1,#LQ9RJGVU,VPS Scrim,16000168,Skeleton King,4,4,Skeleton Army,9,9,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Witch,9,9,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2980L999G,H A M Z A ⭐,6777,0,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133648.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L2RU80UC,Hoon,6823,0,#LQ9RJGVU,VPS Scrim,16000168,Skeleton King,4,4,Skeleton Army,9,9,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Witch,9,9,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VRQCYC,Jasper❤️Mikasa,6754,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133234.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L2RU80UC,Hoon,6850,0,#LQ9RJGVU,VPS Scrim,16000168,Skeleton King,4,4,Skeleton Army,9,9,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Witch,9,9,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R2UC2GY2,Xz❤️X-Bow丨伴侣✨,6875,1,#LYLQGYJ0,外星伴侣,16000041,Electro Spirit,14,14,Skeletons,14,14,Tesla,14,14,Archer Queen,4,4,Knight,14,14,Fireball,12,12,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
