type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T171738.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2L88G8GUR,abdullah,6830,3,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,#29PY9UGYL,[ 適應性強 ] • ™,,3,#20VVJLJR,Tops BR,16000028,P.E.K.K.A,9,9,Mega Minion,12,12,Dark Prince,9,9,Archer Queen,4,4,Electro Wizard,6,6,Fisherman,6,6,Ice Wizard,6,6,Mother Witch,6,6,#2Y0GCVYCU,p!k0,5743,0,#UYQRPV,Warlords CZ,16000156,Barbarian Barrel,9,9,Fireball,12,12,Flying Machine,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Mother Witch,6,6,Royal Recruits,14,14,Zappies,12,12,#909PYJ2U2,Vortex,,0,#YCYLCYL9,Clash Legends,16000013,Balloon,9,9,Bandit,6,6,Mortar,14,14,Witch,9,9,Bats,14,14,Miner,6,6,Wizard,12,12,Freeze,9,9
casual2v2,20220104T171512.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2L88G8GUR,abdullah,6830,1,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,#29UR8QQ99,<c6>Fad<c5>ded,,1,#PCQ2LCGG,Guns,16000167,Electro Wizard,6,6,The Log,6,6,Hog Rider,12,12,Archers,14,14,Golden Knight,4,4,Cannon,13,14,Fireball,12,12,Ice Spirit,14,14,#2JLUQQUGR,ADEL,6300,2,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Elite Barbarians,14,14,Lumberjack,6,6,Mega Minion,12,12,Zap,14,14,Arrows,14,14,Bomber,14,14,Night Witch,6,6,#Q8QJC0GR,木木子柏,,2,#9Y8PR9RU,天一｜皇家卫队,16000146,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Knight,14,14,Skeletons,14,14,Electro Spirit,14,14,The Log,6,6
friendly,20220104T155927.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L88G8GUR,abdullah,6830,0,#90GLQV9R,Oblivion™,16000122,Lava Hound,3,6,Baby Dragon,6,9,Bats,11,14,Lumberjack,3,6,Skeleton Dragons,11,14,Skeleton Army,6,9,Arrows,11,14,Clone,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6727,1,#CPVV9QJ,RoyalFlush II,16000077,Tornado,6,9,Barbarian Barrel,6,9,Valkyrie,9,12,Baby Dragon,6,9,Poison,6,9,Tombstone,9,12,Archer Queen,1,4,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T155210.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L88G8GUR,abdullah,6830,3,#90GLQV9R,Oblivion™,16000122,Archer Queen,1,4,Mega Knight,3,6,Ram Rider,3,6,Bandit,3,6,Inferno Dragon,3,6,Electro Wizard,3,6,Lightning,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6727,0,#CPVV9QJ,RoyalFlush II,16000077,Giant Snowball,11,14,Valkyrie,9,12,Goblin Barrel,6,9,Inferno Tower,9,12,Dart Goblin,9,12,Princess,3,6,Skeleton Barrel,11,14,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T154829.000Z,,54000017,Master III,72000007,Friendly,,collection,#2L88G8GUR,abdullah,6830,2,#90GLQV9R,Oblivion™,16000122,Goblin Cage,9,12,Mother Witch,3,6,Zappies,9,12,Golden Knight,1,4,Royal Recruits,11,14,Royal Hogs,9,12,Flying Machine,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6727,1,#CPVV9QJ,RoyalFlush II,16000077,The Log,3,6,Bats,11,14,Fisherman,3,6,Electro Spirit,11,14,Skeletons,11,14,Royal Giant,11,14,Hunter,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153730.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L88G8GUR,abdullah,6800,2,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUJLPYJ,CHN丨小孩Matt Mx ❤,6810,1,#G90YLCQ8,Dark Dinasty,16000110,Bandit,6,6,Mega Knight,6,6,Royal Ghost,5,6,Electro Spirit,13,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153135.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L88G8GUR,abdullah,6769,1,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6786,0,,,,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140253.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L88G8GUR,abdullah,6741,3,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUV8R88Y,GianpaoloPEKKA™,6720,1,#RLPCRY,Fedeltà♡,16000044,Golden Knight,4,4,Zap,14,14,Fireball,12,12,Fisherman,6,6,P.E.K.K.A,9,9,Mother Witch,6,6,Electro Wizard,6,6,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135647.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L88G8GUR,abdullah,6711,1,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6714,0,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135308.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2L88G8GUR,abdullah,6680,2,#90GLQV9R,Oblivion™,16000122,Lava Hound,6,6,Skeleton Dragons,14,14,Guards,9,9,Arrows,14,14,Goblin Cage,12,12,Mega Minion,12,12,Flying Machine,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CQUGPCR8,我爱❤️毓宝宝,6698,1,#2Y20G9L,F U N,16000021,P.E.K.K.A,9,9,Zap,14,14,Magic Archer,6,6,Battle Ram,12,12,Bandit,6,6,Royal Ghost,6,6,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
