type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T083500.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6766,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQCP2QPPR,mistery,6844,0,#LGJYYC00,SEUTROS,16000143,P.E.K.K.A,9,9,Magic Archer,6,6,Golden Knight,4,4,Poison,9,9,Royal Ghost,6,6,Ram Rider,6,6,Barbarian Barrel,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T082740.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2LJ2PLQVP,TyranTrump,6766,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0VL98UU,panda,6600,0,#8GCUQJ82,Genesis,16000023,Golden Knight,3,4,Miner,6,6,Wall Breakers,9,9,Bats,13,14,Spear Goblins,13,14,Bomb Tower,11,12,The Log,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081912.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6737,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UL2GPRQ,Justice League,6733,0,#99G0VYU,无与伦比,16000165,Cannon Cart,9,9,Miner,6,6,Fireball,12,12,Guards,9,9,Archer Queen,4,4,Wall Breakers,9,9,The Log,6,6,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081322.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6707,2,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80U9JR92Q,Горилла,6718,1,#LUVV2G9P,MEGA CLASH RUS,16000012,Electro Giant,9,9,Tornado,9,9,Witch,9,9,Fisherman,6,6,Skeleton King,4,4,Mega Minion,12,12,Lightning,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T080730.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6678,3,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JJ8V00,MichaelYan,6676,2,#98CCCCY,OriginalMadness,16000140,Golem,9,9,Lightning,9,9,Mother Witch,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Arrows,14,14,Baby Dragon,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T080256.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6710,0,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RCLR09V8,Regus,6682,1,#2PQGVRU9,襲撃のダイナマイト,16000176,Hog Rider,12,12,Musketeer,12,12,Ice Golem,12,12,Cannon,14,14,Ice Spirit,14,14,Skeletons,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6684,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P08CJVR9J,♠️BeJIukuu♠️,6640,0,#2LU209Y,Покорители мира,16000168,Inferno Tower,12,12,Princess,6,6,Goblin Barrel,9,9,Goblin Gang,14,14,The Log,6,6,Valkyrie,12,12,Electro Spirit,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075154.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LJ2PLQVP,TyranTrump,6656,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P20GYYVCC,各バル,6638,0,#PGP8GVVC,W-CROWN,16000145,Baby Dragon,9,9,Valkyrie,12,12,Poison,9,9,Graveyard,6,6,Barbarian Barrel,9,9,Ice Wizard,6,6,Tornado,8,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T074652.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2LJ2PLQVP,TyranTrump,6656,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28LYQLUYL,夺掵書珄╄→,5883,0,#9RVVCJJC,帝皇国际,16000150,P.E.K.K.A,9,9,Tornado,8,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,2,4,Hunter,8,9,Electro Spirit,13,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T074253.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2LJ2PLQVP,TyranTrump,6656,1,#PJY9PP98,Always Baked,16000035,Mega Minion,11,12,Archer Queen,4,4,The Log,6,6,Fisherman,4,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQRYGY9JY,jan,5385,0,#Y0VVRJPJ,PolishLegends,16000034,Wizard,12,12,Valkyrie,11,12,Balloon,9,9,Prince,9,9,Mini P.E.K.K.A,12,12,Barbarians,13,14,Rage,7,9,Royal Hogs,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
