type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220103T230212.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6755,0,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGU0R8JR,Ouahleouff❤️,6761,3,#LVQUJQG2,GOTAGANG,16000097,Mega Knight,6,6,Electro Wizard,6,6,Arrows,14,14,Inferno Dragon,6,6,The Log,6,6,Miner,6,6,Bandit,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T225831.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6787,0,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J02LCVV,PLANET,6761,3,#L2PYJ208,Hogriders,16000023,Valkyrie,12,12,Hog Rider,12,12,Goblins,14,14,Ice Spirit,14,14,Executioner,9,9,Tornado,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T225228.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6758,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G2LUQ0RP0,❤SANTY❤,6755,0,#LUPQP0YY,Quartz™️ Ace,16000157,Bowler,9,9,Electro Wizard,6,6,Graveyard,6,6,Ice Wizard,6,6,Inferno Dragon,6,6,Freeze,9,9,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224804.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6788,0,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJ20UJ2,Romu CR ⭐️,6785,2,#8YLJ8UL2,Aftershock,16000011,Lumberjack,6,6,Golem,9,9,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224412.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6817,0,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UU2RJUYC,ND I Jr Cabeza,6828,1,#P809L2LP,☢Team Nuke☢,16000028,Bats,14,14,Fireball,12,12,Spear Goblins,14,14,Skeleton Army,9,9,Skeleton King,4,4,Mortar,14,14,Miner,6,6,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223842.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6847,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RGVG2RY,A X A,6837,3,#LPJQ99QL,THE 100™,16000096,Skeleton King,4,4,Mother Witch,6,6,Inferno Dragon,6,6,Fisherman,6,6,Electro Giant,9,9,Lightning,9,9,Tornado,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223224.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6814,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPPJJYLV,WaaaaWaaaa,6851,0,#LL9QPGG2,ClashClowns,16000046,The Log,6,6,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Inferno Tower,12,12,Valkyrie,12,12,Goblin Barrel,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T222603.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6781,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P98Q0VL,Post Malone,6820,0,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T222120.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6810,0,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRJU99QQ,Koh❤Neffex,6821,1,#QP0JQJL0,Twitter,16000011,Princess,6,6,Inferno Tower,12,12,Goblin Barrel,9,9,Electro Spirit,14,14,Goblin Gang,14,14,The Log,6,6,Rocket,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T221334.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LV9VRY8G,Kodigoⓒʀ,6781,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VGGQU98R,ByMateo♥️503,6778,0,#YCQYVCCP,el salvador503,16000010,Balloon,9,9,Arrows,14,14,Barbarians,14,14,Skeleton Army,9,9,Ice Wizard,6,6,Royal Hogs,12,12,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
