type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T163025.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2LYYU2Y9G,LDC I Thiago,6727,2,#YPU0GJUV,BisTuRi,16000021,Mirror,6,9,Wall Breakers,6,9,Electro Giant,6,9,Inferno Dragon,3,6,P.E.K.K.A,6,9,Night Witch,3,6,Minions,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLGGUYCV,Vai Corinthians,5951,1,,,,Mirror,6,9,Wall Breakers,6,9,Electro Giant,6,9,Inferno Dragon,3,6,P.E.K.K.A,6,9,Night Witch,3,6,Minions,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T162708.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2LYYU2Y9G,LDC I Thiago,6727,0,#YPU0GJUV,BisTuRi,16000021,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Dart Goblin,9,12,Valkyrie,9,12,Royal Ghost,3,6,Guards,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200JR0,J.√ito®,5910,1,#9JLYJ90C,Evolution Pro,16000177,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Dart Goblin,9,12,Valkyrie,9,12,Royal Ghost,3,6,Guards,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T162218.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2LYYU2Y9G,LDC I Thiago,6727,2,#YPU0GJUV,BisTuRi,16000021,Mirror,6,9,Wall Breakers,6,9,Royal Giant,11,14,Magic Archer,3,6,Bandit,3,6,Inferno Dragon,3,6,Skeletons,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U0LR08U0,EzraRZ,6108,3,#P90GQCQ8,A mil por metro,16000044,Mirror,6,9,Wall Breakers,6,9,Royal Giant,11,14,Magic Archer,3,6,Bandit,3,6,Inferno Dragon,3,6,Skeletons,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134137.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LYYU2Y9G,LDC I Thiago,6698,1,#YPU0GJUV,BisTuRi,16000021,Goblin Cage,12,12,Royal Hogs,12,12,Zappies,12,12,Fireball,12,12,Royal Recruits,14,14,Barbarian Barrel,9,9,Flying Machine,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPPUVLQJ,Marco,6693,0,#Y02290QU,Dark knights 2,16000003,Cannon Cart,9,9,Mortar,14,14,Magic Archer,6,6,Miner,6,6,Minion Horde,14,14,The Log,5,6,Guards,8,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133732.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2LYYU2Y9G,LDC I Thiago,6669,2,#YPU0GJUV,BisTuRi,16000021,Goblin Cage,12,12,Royal Hogs,12,12,Zappies,12,12,Fireball,12,12,Royal Recruits,14,14,Barbarian Barrel,9,9,Flying Machine,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QJG2UC9,jaime,6664,1,,,,Balloon,9,9,Arrows,14,14,Goblin Gang,14,14,Minion Horde,14,14,Bats,14,14,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T012659.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2LYYU2Y9G,LDC I Thiago,6669,2,#LCU09QL8,BisTuRi,16000021,Mirror,6,9,Miner,3,6,Ram Rider,3,6,Executioner,6,9,Night Witch,3,6,Royal Ghost,3,6,Guards,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGLUJJPPL,Javy,5757,1,#P2898VRP,Espartacos,16000162,Mirror,6,9,Miner,3,6,Ram Rider,3,6,Executioner,6,9,Night Witch,3,6,Royal Ghost,3,6,Guards,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T012345.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#2LYYU2Y9G,LDC I Thiago,6669,3,#LCU09QL8,BisTuRi,16000021,Mirror,6,9,Miner,3,6,Golem,6,9,Electro Dragon,6,9,Night Witch,3,6,Lumberjack,3,6,Skeletons,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PYY0JVPU,TheFamousCarl,5876,0,#J8QUQLL,CANADA,16000076,Mirror,6,9,Miner,3,6,Golem,6,9,Electro Dragon,6,9,Night Witch,3,6,Lumberjack,3,6,Skeletons,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220103T224917.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#2LYYU2Y9G,LDC I Thiago,6669,3,#LCU09QL8,BisTuRi,16000021,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Fireball,12,12,Arrows,14,14,Barbarian Barrel,9,9,Flying Machine,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J8LP9YY,mcfluff,5363,0,#LP9QC02P,goblin diddlers,16000171,Knight,13,14,Giant Snowball,13,14,Skeletons,13,14,Electro Spirit,12,14,Elixir Collector,11,12,X-Bow,8,9,Archers,13,14,Tesla,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220103T224353.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#2LYYU2Y9G,LDC I Thiago,6669,1,#LCU09QL8,BisTuRi,16000021,Electro Giant,9,9,Tornado,9,9,Mother Witch,6,6,Bomber,13,14,Dark Prince,9,9,Tombstone,11,12,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLVVQL20J,Many20,5991,0,#QCVV0L8Y,Atlético Sandam,16000135,Mega Knight,5,6,Baby Dragon,8,9,Hunter,8,9,The Log,5,6,Fireball,11,12,Mini P.E.K.K.A,11,12,Royal Hogs,11,12,Skeletons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220103T223815.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#2LYYU2Y9G,LDC I Thiago,6669,6,#LCU09QL8,BisTuRi,16000021,Goblin Barrel,8,9,Dart Goblin,11,12,Guards,8,9,Princess,5,6,Rascals,13,14,Prince,8,9,The Log,5,6,Rocket,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R9GJQ8Y,KRAL FAT!H,5790,0,#LL9LYQCG,Special Forces2,16000030,Goblin Giant,9,9,Royal Ghost,6,6,Witch,8,9,Lightning,9,9,Mega Minion,12,12,Bomber,13,14,Arrows,13,14,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
