type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T154450.000Z,,54000017,Master III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6763,0,#2QUPV90,キャンディーズ,16000038,Rascals,11,14,Prince,6,9,Goblin Barrel,6,9,Guards,6,9,Princess,3,6,Dart Goblin,9,12,The Log,3,6,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PL2RLPUU,ノロ,5960,1,#LV8LVJVY,hug,16000110,Ice Spirit,11,14,The Log,3,6,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Musketeer,9,12,Skeletons,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153903.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6763,0,#2QUPV90,キャンディーズ,16000038,Rascals,11,14,Prince,6,9,Goblin Barrel,6,9,Guards,6,9,Princess,3,6,Dart Goblin,9,12,The Log,3,6,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PL2RLPUU,ノロ,5960,1,#LV8LVJVY,hug,16000110,Rocket,9,12,The Log,3,6,Tornado,6,9,Executioner,6,9,Valkyrie,9,12,Hog Rider,9,12,Ice Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6734,3,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9JUPPLY,alejo,6723,1,#L2J2GRL0,Dark prime,16000073,Giant Skeleton,9,9,Mega Minion,12,12,Golden Knight,4,4,Hog Rider,12,12,Arrows,14,14,Mother Witch,6,6,Freeze,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150657.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6763,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8VRGL,ベルモット,6766,1,#L89R9V9U,Hexer,16000120,Bandit,6,6,Barbarian Barrel,9,9,Cannon Cart,9,9,Electro Wizard,6,6,Heal Spirit,12,12,Golden Knight,4,4,Magic Archer,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145943.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6735,3,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98R8GQ2,leon der große,6722,0,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145439.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6766,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U9CCLPC,Zero Absolute,6749,1,#QG9QRRPU,The Dangers C.R,16000085,Mega Knight,6,6,Electro Wizard,6,6,Ram Rider,6,6,Fireball,12,12,Goblin Cage,12,12,Mega Minion,12,12,Fisherman,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6735,1,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RGVG2RY,A X A,6747,0,#LPJQ99QL,THE 100™,16000096,Mega Minion,12,12,Arrows,14,14,Baby Dragon,9,9,Night Witch,6,6,Lightning,9,9,Golem,9,9,Elite Barbarians,14,14,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144324.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6704,1,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6725,0,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143814.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6733,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80YPLV9G0,O PAI TA ON ❤,6738,1,,,,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143330.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6706,1,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRRC28GP,TH⚡️LgstarzZ⚡️,6680,0,#QUQGJUUG,HellTown⚡,16000013,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Inferno Dragon,6,6,Electro Wizard,6,6,Valkyrie,12,12,Baby Dragon,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142759.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6680,1,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#920C9YCJ,abbas,6638,0,#9CCJ2R02,Nova I Aryayi,16000010,Tombstone,11,12,Balloon,9,9,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Lava Hound,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142423.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6709,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CYCLGGLV,attack,6718,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141718.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6740,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P0URCRV,Hicham❤Snipe,6720,2,,,,Mini P.E.K.K.A,12,12,Sparky,6,6,Minion Horde,14,14,Bats,14,14,Giant,12,12,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141345.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6770,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6760,1,,,,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140913.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6741,1,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQYUUPG0,Abbas Khatar,6731,0,#28YYLVPP,tabriz,16000026,Giant,12,12,Dark Prince,9,9,Prince,9,9,Zap,14,14,Mega Minion,12,12,Arrows,14,14,Electro Wizard,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T131705.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6741,2,#2QUPV90,キャンディーズ,16000038,Graveyard,6,6,Cannon Cart,9,9,Mega Minion,11,12,Inferno Dragon,6,6,Ice Golem,11,12,Goblin Cage,11,12,Tornado,7,9,Poison,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJGGUJQ,GHOST,5810,0,#8LRQ0VQL,Pro Gamers SCZ☆,16000028,Royal Delivery,14,14,Balloon,8,9,Poison,8,9,Hunter,8,9,Baby Dragon,9,9,Tornado,9,9,Electro Dragon,9,9,Lava Hound,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T131319.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6741,3,#2QUPV90,キャンディーズ,16000038,P.E.K.K.A,8,9,Bandit,6,6,Baby Dragon,8,9,Barbarian Barrel,8,9,Zap,13,14,Electro Wizard,5,6,Ram Rider,6,6,Lightning,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#882V8VR2J,RamboRaphi,5614,2,#P0YU09R,DAMPFHAMMA GANG,16000164,Royal Hogs,12,12,Flying Machine,11,12,Fireball,12,12,Royal Recruits,13,14,Zappies,11,12,Goblin Cage,12,12,Electro Spirit,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T130457.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#2P8PYJQL9,ミッキーねずみ,6741,2,#2QUPV90,キャンディーズ,16000038,Mortar,14,14,Archer Queen,4,4,Knight,14,14,Miner,6,6,Bats,14,14,Guards,9,9,Giant Snowball,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9LUR0Q8,佛曰不可曰,6054,0,#22Y2UVG,阿森纳,16000177,Goblin Hut,11,12,Heal Spirit,11,12,Royal Hogs,12,12,The Log,5,6,Baby Dragon,8,9,Mini P.E.K.K.A,11,12,Firecracker,14,14,Barbarians,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T084017.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#2P8PYJQL9,ミッキーねずみ,6741,1,#2QUPV90,キャンディーズ,16000038,Ram Rider,3,6,P.E.K.K.A,6,9,Baby Dragon,6,9,Electro Wizard,3,6,Bandit,3,6,Lightning,6,9,Barbarian Barrel,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2RJC8GLC,KingOfTheRoadPL,5629,0,#PUUUYYRC,Armia Krajowa,16000067,Ram Rider,3,6,The Log,3,6,Lumberjack,3,6,Skeleton Army,6,9,Mega Knight,3,6,Goblin Barrel,6,9,Witch,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062631.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P8PYJQL9,ミッキーねずみ,6713,1,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY2CJCV98,Samy46,6697,0,#LUQ98UPV,Team_Diamond,16000045,Bandit,6,6,Ram Rider,6,6,Fireball,12,12,Barbarian Barrel,9,9,Fisherman,6,6,Mega Knight,6,6,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T060313.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6713,3,#2QUPV90,キャンディーズ,16000038,Rascals,11,14,Prince,6,9,Goblin Gang,11,14,Goblin Barrel,6,9,Princess,3,6,Dart Goblin,9,12,The Log,3,6,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PL2RLPUU,ノロ,5960,2,#LV8LVJVY,hug,16000110,P.E.K.K.A,6,9,Balloon,6,9,Lumberjack,3,6,Electro Wizard,3,6,Baby Dragon,6,9,Tornado,6,9,Freeze,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T055940.000Z,,54000017,Master III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6713,0,#2QUPV90,キャンディーズ,16000038,Mortar,11,14,Archer Queen,1,4,Knight,11,14,Miner,3,6,Guards,6,9,Bats,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PL2RLPUU,ノロ,5960,1,#LV8LVJVY,hug,16000110,Zap,11,14,Balloon,6,9,Miner,3,6,Inferno Dragon,3,6,Fireball,9,12,Ice Golem,9,12,Goblin Cage,9,12,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T055606.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6713,0,#2QUPV90,キャンディーズ,16000038,Hog Rider,9,12,Musketeer,9,12,Ice Spirit,11,14,Skeletons,11,14,Ice Golem,9,12,Cannon,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PL2RLPUU,ノロ,5960,1,#LV8LVJVY,hug,16000110,Balloon,6,9,Lumberjack,3,6,Bowler,6,9,Freeze,6,9,Baby Dragon,6,9,Tornado,6,9,Barbarian Barrel,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T055155.000Z,,54000017,Master III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6713,1,#2QUPV90,キャンディーズ,16000038,Rascals,11,14,Cannon Cart,6,9,Dark Prince,6,9,Bandit,3,6,Goblin Barrel,6,9,Princess,3,6,Giant Snowball,11,14,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PL2RLPUU,ノロ,5960,0,#LV8LVJVY,hug,16000110,Rocket,9,12,The Log,3,6,Tornado,6,9,Executioner,6,9,Valkyrie,9,12,Hog Rider,9,12,Ice Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T054025.000Z,,54000017,Master III,72000007,Friendly,,collection,#2P8PYJQL9,ミッキーねずみ,6713,1,#2QUPV90,キャンディーズ,16000038,Balloon,6,9,Musketeer,9,12,Skeletons,11,14,Miner,3,6,Ice Golem,9,12,Bomb Tower,9,12,Barbarian Barrel,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82QJRRCUY,あらん,6705,2,,,,Miner,3,6,Valkyrie,9,12,Ice Spirit,11,14,Zap,11,14,Balloon,6,9,Executioner,6,9,Skeletons,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
