type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220103T225948.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6831,0,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VU0JGVLP,Alex,6816,1,#YU0QCLVL,NOVA ÉLITE PE,16000040,Hog Rider,12,12,Cannon,14,14,Fire Spirit,14,14,The Log,6,6,Musketeer,12,12,Skeletons,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T225441.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6853,0,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998RUJRLR,☠⚡⚔ivan_rial⚔⚡☠,6937,1,#LQ2CLGY9,fallow me in TW,16000103,Zap,14,14,Magic Archer,6,6,Royal Hogs,12,12,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bandit,6,6,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224834.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6882,0,,,,Valkyrie,12,12,The Log,6,6,Tesla,14,14,X-Bow,9,9,Ice Wizard,6,6,Rocket,12,12,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRJU99QQ,Koh❤Neffex,6887,1,#QP0JQJL0,Twitter,16000011,Princess,6,6,Inferno Tower,12,12,Goblin Barrel,9,9,Electro Spirit,14,14,Goblin Gang,14,14,The Log,6,6,Rocket,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224323.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6846,1,,,,Valkyrie,12,12,The Log,6,6,Tesla,14,14,X-Bow,9,9,Ice Wizard,6,6,Rocket,12,12,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UGG90CR9,はなはなやな,6920,0,#8V22GQ9,TEAM 33,16000038,The Log,6,6,Archer Queen,4,4,Hog Rider,12,12,Royal Delivery,14,14,Skeletons,14,14,Bomb Tower,12,12,Ice Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223650.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6818,1,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GLQ8Q2U,Fürst Noah,6804,0,#PPCPLUCR,Mkerx,16000144,Golem,9,9,Skeleton Dragons,14,14,Electro Dragon,9,9,Dark Prince,9,9,Tornado,9,9,Golden Knight,4,4,Elixir Collector,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223213.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6787,1,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RLPL80UV,✨NV CARLOS ALV✨,6804,0,,,,Lightning,9,9,Prince,9,9,Mega Minion,12,12,Electro Wizard,6,6,Golden Knight,4,4,Giant,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T222603.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6820,0,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LV9VRY8G,Kodigoⓒʀ,6781,1,#YGRV2CVG,Twitch Kodigo,16000040,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Ice Spirit,14,14,The Log,6,6,Skeletons,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T222152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6790,1,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJ20UJ2,Romu CR ⭐️,6790,0,#8YLJ8UL2,Aftershock,16000011,Lumberjack,6,6,Golem,9,9,Cannon Cart,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T221758.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6768,3,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVYR02J2,Greg...✌,6680,0,#LVQUJQG2,GOTAGANG,16000097,Goblin Barrel,9,9,Skeleton Barrel,14,14,Skeleton Army,9,9,Dart Goblin,12,12,Inferno Tower,12,12,Valkyrie,12,12,The Log,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T221428.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2P98Q0VL,Post Malone,6794,0,,,,Knight,14,14,The Log,6,6,Tesla,14,14,X-Bow,9,9,Skeletons,14,14,Fireball,12,12,Archer Queen,4,4,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80LR0RP2C,TTG༼ᎮͥᏒͣᎧͫ༽Tjez,6830,1,#P9L0CYY0,The Tilt Gods,16000162,Night Witch,6,6,Clone,9,9,Golem,9,9,Bats,14,14,Skeleton King,4,4,Flying Machine,12,12,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
