type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T153352.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6763,1,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RJQC8GV9,TMB I Mereegøg✨,6758,0,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153010.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6736,1,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PY8L8U2R,アリアハン,6712,0,#Y0QR0Y2U,NoA,16000009,Zap,14,14,Bandit,6,6,Archer Queen,4,4,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152621.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6767,0,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UCVJCC9,Suriel,6751,1,#9PV2VGVY,Robert's Army™,16000029,Electro Spirit,14,14,Flying Machine,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152223.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6737,2,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYJU0JLVV,泉南の希望｜岡田浦,6743,1,#L8V0UPG2,フレバト＠天界までの道,16000054,Lava Hound,6,6,Guards,9,9,Zap,14,14,Mega Minion,12,12,Balloon,9,9,Tombstone,12,12,Fireball,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151723.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6766,0,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6777,1,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151227.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6738,3,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YU28V0LP,Rockets I Noob,6716,1,,,,Golem,9,9,Elite Barbarians,14,14,Night Witch,6,6,Mega Minion,12,12,Fireball,12,12,Arrows,14,14,Skeleton Army,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150942.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6712,1,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YYQQQL9L,デイビッド,6671,0,#8CLURJP2,雪見だいふく,16000168,X-Bow,9,9,Cannon Cart,9,9,Tesla,14,14,Fireball,12,12,Skeletons,14,14,Ice Wizard,6,6,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150415.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6742,0,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QV98RGJ,RS 그들을,6738,1,#Q8P0LQ0G,Los Mancos,16000101,Lightning,9,9,Electro Wizard,6,6,The Log,6,6,Mini P.E.K.K.A,12,12,Arrows,14,14,Royal Giant,14,14,Hunter,9,9,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145949.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6772,0,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6767,1,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T085101.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q08YVP90,Nova l SORA™,6743,1,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2GPR8C,斑斑❤️苗苗,6736,0,#9L0JQL,复旦大联盟,16000017,P.E.K.K.A,9,9,Bandit,6,6,Baby Dragon,9,9,Ram Rider,6,6,Giant Snowball,14,14,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
