type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T173635.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6718,0,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8LUVGUQ,⚡️Dudu⚡️,6708,1,#92J290L2,ASFALTATORRI,16000081,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Lightning,8,9,Cannon,14,14,Ice Spirit,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6693,2,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C88VYCJC,Twitch/EGW_CR,6639,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172745.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6722,1,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J2C2C2QR,⚡JuJuclash374⚡,6729,2,#9JJRCUUY,PDF Origins,16000029,Royal Ghost,6,6,Zap,14,14,Lumberjack,6,6,Hog Rider,12,12,Minion Horde,14,14,Prince,9,9,Dark Prince,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172408.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6750,0,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88CG9JY9C,Leogam09,6763,1,#8YLJ8UL2,Aftershock,16000011,The Log,6,6,Princess,6,6,Royal Ghost,6,6,Golden Knight,4,4,Lumberjack,6,6,Prince,9,9,Wizard,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170502.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6717,1,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUP2Q8Q9,☝✌Guichon✌☝,6753,0,#LR280GUU,T W I C H T,16000043,Giant,12,12,Graveyard,6,6,Skeleton Army,9,9,Minions,14,14,Archer Queen,4,4,Dark Prince,9,9,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165950.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6686,1,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y8RY8GPU,hugo rmz,6709,0,#PVQVRUPJ,DarkBrothers 25,16000109,Miner,6,6,Fireball,12,12,Arrows,14,14,Fisherman,6,6,Hunter,9,9,Balloon,9,9,Royal Recruits,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165220.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6658,1,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C800LCQY,the coolest,6642,0,#9J890L,Aussie Crushers,16000028,Valkyrie,12,12,Fire Spirit,14,14,Archer Queen,4,4,Hog Rider,12,12,Tesla,14,14,Skeletons,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164642.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6630,2,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GQ98VQR,☆Miguel☆,6616,1,#LP0VLUUC,Latín Dogs,16000077,Balloon,9,9,Giant,12,12,Fireball,12,12,Barbarians,14,14,Minions,14,14,Freeze,9,9,Zap,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163356.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6598,2,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUUQQPJP,Linjiakun,6624,1,#YP8RYJ0C,clanpeyo4,16000099,Graveyard,6,6,Skeleton Army,9,9,Giant,12,12,Giant Snowball,14,14,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161754.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2Q2YYYRYP,TTV Sweat,6567,1,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J080RGVLU,☃️SNOWMAN☃️,6588,0,#LUJ2RJ8V,☠️Haunted Clan☠,16000029,Mega Knight,6,6,Firecracker,14,14,Zap,14,14,Electro Wizard,6,6,Hog Rider,12,12,Goblin Gang,14,14,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
