type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T120431.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,1,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#8PQ0CUQVJ,살라맛,,1,#8J0RCJQP,인천,16000164,Electro Giant,9,9,Tornado,9,9,Goblin Cage,12,12,Lightning,9,9,Ram Rider,6,6,Inferno Dragon,6,6,Mother Witch,6,6,Barbarian Barrel,9,9,#98UJYGJVQ,alex noob,5896,0,#LYJVLU,! LeGiãO.o Br i,16000142,Royal Hogs,12,12,Royal Recruits,14,14,Barbarian Barrel,9,9,Fireball,12,12,Zappies,12,12,Golden Knight,3,4,Flying Machine,12,12,Goblin Cage,12,12,#9QJUV2JYJ,eloy,,0,#LYJVLU,! LeGiãO.o Br i,16000142,Valkyrie,12,12,Earthquake,12,12,Mini P.E.K.K.A,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,Firecracker,14,14,Inferno Dragon,6,6
casual2v2,20220104T115740.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PU2YY8,⚜️Renox™⚜️,6600,1,#L0QPV,UNAUFHALTSAM,16000002,Golem,9,9,Prince,9,9,Night Witch,6,6,Skeleton Dragons,14,14,Bats,14,14,Bomber,14,14,Lightning,9,9,Tornado,9,9,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,,1,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#9VRC8C202,Dark King,5921,0,#P0VL8J92,Fedeltà♡ Beta,16000044,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,The Log,6,6,Cannon,14,14,Ice Spirit,14,14,Skeletons,14,14,#2QY0829Q,Ghost,,0,,,,Electro Wizard,6,6,Freeze,8,9,Tombstone,12,12,Graveyard,6,6,Prince,9,9,The Log,6,6,Valkyrie,12,12,Archer Queen,4,4
casual2v2,20220104T115329.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,2,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#20PQ0Q8Q8,⚫KS ALEX⚫,,2,#Q2CG2,Ganjaman's,16000002,Minions,14,14,Zap,14,14,Goblin Gang,14,14,Minion Horde,14,14,Lava Hound,6,6,Miner,6,6,Fireball,12,12,Balloon,9,9,#2V0992Y9Q,Luis C7,5605,1,#YPJ98YLP,MEXICAN,16000164,Minions,13,14,Mirror,9,9,Furnace,12,12,Mini P.E.K.K.A,11,12,Rocket,11,12,Firecracker,14,14,The Log,6,6,Goblin Barrel,9,9,#9QVP9Y2YY,*RBJ*:),,1,#Q8Q8JGCC,Bacon Bandits,16000007,Bats,14,14,Electro Wizard,6,6,Hog Rider,12,12,Ice Wizard,5,6,Zap,14,14,Valkyrie,12,12,Skeleton Army,9,9,Wall Breakers,9,9
casual2v2,20220104T114946.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,3,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#Y2U0U0GCU,Mr.Om3ga,,3,#P0LGP80U,Diamonds,16000003,Lava Hound,6,6,Skeleton Dragons,14,14,Barbarians,14,14,Balloon,9,9,Fireball,12,12,Tombstone,11,12,Mega Minion,12,12,Zap,12,14,#98JRUP0,Tyler,5321,1,#L9PQRY0J,Crownz,16000015,Skeletons,14,14,Knight,14,14,Skeleton Barrel,12,14,Dart Goblin,10,12,Fireball,12,12,Goblin Barrel,8,9,The Log,6,6,Princess,5,6,#2LJVG2P0L,상원,,1,#L2QPPC9L,KOREA,16000126,Golem,9,9,The Log,4,6,Goblins,14,14,Elixir Collector,11,12,Electro Wizard,5,6,Night Witch,5,6,Mega Minion,12,12,Lightning,9,9
casual2v2,20220104T114710.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#CQ08JUQ0,小米粒,6600,0,#LVQJPVYL,抖音手游肖恩,16000131,Sparky,6,6,Giant,12,12,Minion Horde,14,14,Bats,14,14,Rage,9,9,Mini P.E.K.K.A,12,12,Wizard,12,12,Dark Prince,9,9,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,,0,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#9UCG00R2,Hipík,5496,1,#L20CLJPR,Czech Clash,16000087,Spear Goblins,14,14,Arrows,14,14,Elite Barbarians,14,14,Wizard,12,12,Mirror,9,9,Skeleton Army,9,9,Goblin Barrel,9,9,Princess,6,6,#9R0UVRYC,DoinWork,,1,#P02V00YV,FFA Boys,16000169,Mega Knight,6,6,Graveyard,6,6,Arrows,14,14,Skeleton King,2,4,Witch,9,9,Skeleton Army,9,9,Dark Prince,9,9,Fireball,12,12
casual2v2,20220104T114230.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,1,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#PRGUCPPL,TheKingOfWomen❤,,1,#G0VRYRVU,Stoney⭐Bridge!,16000076,Fisherman,6,6,Royal Giant,13,14,Skeletons,13,14,Archer Queen,3,4,The Log,5,6,Electro Spirit,13,14,Royal Ghost,5,6,Lightning,9,9,#892RRLQYC,Tiagor,5655,0,#QC08JPRC,IK União,16000012,The Log,5,6,Dark Prince,9,9,Archers,13,14,Wizard,12,12,Lumberjack,6,6,Battle Ram,12,12,Fireball,11,12,Tombstone,11,12,#GQU80PUG,Dimitri,,0,#8JGY9P02,Гоце Делчев,16000156,Night Witch,6,6,Giant,12,12,Fireball,12,12,Zap,14,14,Witch,9,9,Rage,9,9,Valkyrie,12,12,Musketeer,12,12
casual2v2,20220104T113846.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,3,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#G20GYU9,Optimus_Dave™,,3,#LUCG8GG8,Tempio Kôm Ombo,16000029,Inferno Dragon,6,6,Battle Healer,12,12,Arrows,14,14,Electro Dragon,9,9,Rage,8,9,Elixir Golem,12,12,Guards,9,9,Royal Delivery,14,14,#2G22JL9UL,Riya,5477,0,#YGYGJ9P0,Team killer X,16000008,Goblin Gang,14,14,Goblin Barrel,9,9,Knight,14,14,Electro Spirit,13,14,Princess,6,6,Rocket,12,12,Inferno Tower,12,12,The Log,6,6,#YYL2Q020V,edilberto,,0,#JQV828,scary monsters,16000024,Lightning,9,9,Arrows,14,14,Poison,9,9,Witch,9,9,Bomber,14,14,P.E.K.K.A,9,9,Wizard,12,12,Ram Rider,6,6
casual2v2,20220104T113331.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#YPU2LJ29,Ａｘｅｌ丨神性,6765,3,#QVQGVGL8,FOCUS,16000017,Bats,14,14,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Miner,6,6,Mega Knight,6,6,Archer Queen,4,4,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,,3,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#U2PQUP9C,随风,5789,0,#YGLQ8PQ2,皮锤,16000132,Dark Prince,9,9,Ram Rider,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Mother Witch,6,6,Barbarian Barrel,9,9,Tornado,9,9,Fireball,12,12,#PPQQL9PUC,moeKailani,,0,#YPPCQQ0P,Royal Cubs,16000096,The Log,6,6,Arrows,13,14,Poison,9,9,Magic Archer,3,6,Goblin Giant,7,9,Guards,8,9,Firecracker,14,14,Valkyrie,11,12
casual2v2,20220104T113048.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,0,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#PYRY22LR9,念念,,0,#9JGP2P2R,女✨神✨的✨世✨界,16000111,Electro Wizard,6,6,Magic Archer,6,6,Bandit,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,#2C9LUG9VP,Lucas and Alb,5781,1,#20QJGL,bazingaaa,16000163,Cannon Cart,9,9,Mega Knight,6,6,Mother Witch,6,6,Flying Machine,12,12,Furnace,12,12,Goblin Hut,12,12,Barbarian Barrel,9,9,Fireball,12,12,#20PGQQVVJ,Agrasa,,1,#2RV9U02L,!GREEK LEGENDS!,16000063,Valkyrie,12,12,Electro Dragon,9,9,Wizard,12,12,Elite Barbarians,14,14,Ram Rider,6,6,Rage,9,9,Elixir Golem,12,12,Mini P.E.K.K.A,12,12
casual2v2,20220104T050745.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QJ2LVVV,シ︎ᴋɪʟʟᴇʀシ︎,6782,2,,,,Fisherman,6,6,Archer Queen,4,4,Royal Giant,14,14,Electro Spirit,14,14,The Log,6,6,Mega Minion,12,12,Fireball,12,12,Dark Prince,9,9,#P0U2R2LY,Lionardex3102❤️,,2,#PR908QLC,TeamEliteOG✌️,16000139,P.E.K.K.A,9,9,Archer Queen,3,4,Electro Wizard,6,6,Fireball,11,12,Battle Ram,12,12,Bandit,6,6,Guards,8,9,Zap,13,14,#8VQVR8U9Q,shadow,5445,1,#2RGJYYLY,WARRIOR'S EC,16000010,Witch,9,9,Wizard,12,12,Miner,6,6,Valkyrie,12,12,Poison,8,9,Inferno Tower,11,12,Baby Dragon,9,9,Goblin Gang,14,14,#VJJL99CP,<c4>LuilloPR,,1,#YVJVJVC2,Ragnarök,16000122,Arrows,14,14,Balloon,9,9,Minion Horde,14,14,Freeze,8,9,Inferno Tower,11,12,Rocket,12,12,Lightning,9,9,Giant Skeleton,9,9
