type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
tournament,20220104T183440.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,14,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22RL0QCC,Felton345,14,0,#QU820CGL,UNIVERSO KOI,16000002,Baby Dragon,6,9,Balloon,6,9,Barbarian Barrel,6,9,Bowler,6,9,Freeze,6,9,Inferno Dragon,3,6,Lumberjack,3,6,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T183336.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,13,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQC2R9Q9,ElFachiTwity,14,0,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Electro Dragon,6,9,Zap,11,14,Balloon,6,9,Freeze,6,9,Tesla,11,14,Electro Wizard,3,6,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T183142.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,12,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QR9LLYP8,Cronos,10,0,#L2Q9QPQR,CLP,16000123,Balloon,6,9,Bowler,6,9,Inferno Dragon,3,6,Rocket,8,12,Lumberjack,2,6,Freeze,5,9,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T183049.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,11,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQC2R9Q9,ElFachiTwity,13,0,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Electro Dragon,6,9,Tornado,6,9,Balloon,6,9,Freeze,6,9,Tesla,11,14,Electro Wizard,3,6,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T182907.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,10,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQC2R9Q9,ElFachiTwity,13,0,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Electro Dragon,6,9,Tornado,6,9,Balloon,6,9,Freeze,6,9,Tesla,11,14,Electro Wizard,3,6,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T182813.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,10,0,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQC2R9Q9,ElFachiTwity,12,1,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Electro Dragon,6,9,Tornado,6,9,Balloon,6,9,Freeze,6,9,Tesla,11,14,Electro Wizard,3,6,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T182423.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,10,0,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YR2QLCYP,ACERO.GAMER,9,1,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Tornado,6,9,Freeze,6,9,Bowler,6,9,Balloon,6,9,Electro Dragon,6,9,Inferno Dragon,3,6,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T182322.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,9,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C0JP2J9,baron gedonn,7,0,#PYGL22V,palacio oscuro,16000024,Ice Golem,8,12,Ice Spirit,11,14,Hog Rider,9,12,Fireball,9,12,Cannon,11,14,Musketeer,9,12,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T182243.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,9,0,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQC2R9Q9,ElFachiTwity,9,1,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Electro Dragon,6,9,Tornado,6,9,Balloon,6,9,Freeze,6,9,Tesla,11,14,Electro Wizard,3,6,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T182125.000Z,,54000040,Legendary Arena,72000024,Overtime_Tournament,,collection,#2QJ8VU20U,Verzide ⚡️,8,1,#Q8RRRJJR,Fire Scale,16000024,Inferno Dragon,3,6,Mega Knight,3,6,Fireball,9,12,Prince,6,9,Arrows,11,14,Graveyard,3,6,Freeze,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQC2R9Q9,ElFachiTwity,9,0,#LV8PJL2Q,ttv ismaei_,16000172,Lumberjack,3,6,Electro Dragon,6,9,Tornado,6,9,Balloon,6,9,Freeze,6,9,Tesla,11,14,Electro Wizard,3,6,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
