type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T143951.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6740,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U00GYJP,NZT LEMON,6727,0,#PYG0JVVJ,canarios arkano,16000172,Magic Archer,6,6,Ram Rider,6,6,Archer Queen,4,4,Fire Spirit,14,14,Earthquake,12,12,Goblin Cage,12,12,The Log,6,6,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143542.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6770,0,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJ9R8RJL,T.S.E.⚡巴萨,6759,1,#9L8QRQ8R,北皇战盟,16000171,The Log,6,6,Guards,9,9,Furnace,12,12,Inferno Tower,12,12,Dark Prince,9,9,Miner,6,6,Fireball,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6743,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82V8JLGU,IG:mhydinehakim,6712,0,#P8G8098G,clashing,16000167,Tombstone,12,12,Barbarian Barrel,9,9,Valkyrie,12,12,Poison,9,9,Graveyard,6,6,Baby Dragon,9,9,Archer Queen,4,4,Skeletons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112734.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6712,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6728,0,#YQUVR29U,Vatra Gaming,16000032,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6742,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6742,3,#U92J2C,German Misders,16000044,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112108.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6715,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2RRGYP,Nova | Matte,6687,0,#QCJY0GVV,MILK and HONEY,16000132,Dart Goblin,12,12,Mortar,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Guards,9,9,Bats,13,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111648.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6687,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQYJ9QYR,NS｜黎明,6674,0,#9JGP2P2R,女✨神✨的✨世✨界,16000111,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Magic Archer,6,6,Electro Wizard,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6658,1,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPRY99LG,Azael,6657,0,#Q0G29988,b站关注：CR_水水,16000111,Three Musketeers,12,12,Golden Knight,4,4,Ice Golem,12,12,Royal Ghost,6,6,Hunter,9,9,Barbarian Barrel,9,9,Royal Hogs,12,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063234.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6628,2,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UYL0GGU0,⭐NS I 또또⭐™️,6629,1,#VQCQQJP,Nice Strategy,16000136,Ram Rider,6,6,Goblin Barrel,9,9,Dart Goblin,12,12,Knight,14,14,Goblin Gang,14,14,Inferno Tower,12,12,The Log,6,6,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062752.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QL9GGRL,ES I ✨Zaid✨,6660,0,#YL9VL0LQ,بآريس✨❤,16000024,Royal Giant,14,14,Fireball,12,12,Skeletons,14,14,Fisherman,6,6,Bats,14,14,The Log,6,6,Electro Spirit,14,14,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y09R29GG,JOLY,6633,1,#PP0J8RPY,Guerrilheiros,16000159,Electro Spirit,14,14,The Log,6,6,Miner,6,6,Tesla,14,14,Dark Prince,9,9,Royal Delivery,13,14,Wall Breakers,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
