type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T134341.000Z,,54000017,Master III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,0,#L2YRQY0V,クラロワJAPAN！,16000054,Skeletons,11,14,Electro Spirit,11,14,Bats,11,14,Ice Golem,9,12,The Log,3,6,Spear Goblins,11,14,Fire Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VYLRRLY,KIMU,4538,1,#G90CV982,令和3年2021冬季大会,16000166,Miner,3,6,Balloon,6,9,Zap,11,14,Princess,3,6,Arrows,11,14,Giant Snowball,11,14,Tesla,11,14,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T133639.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,0,#L2YRQY0V,クラロワJAPAN！,16000054,Skeletons,11,14,Electro Spirit,11,14,Bats,11,14,Ice Golem,9,12,The Log,3,6,Spear Goblins,11,14,Fire Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U0JPYGLU,ばやしこ,5845,1,#LCGGYLV9,ザビエルは何mol？,16000034,Golem,6,9,Night Witch,3,6,Lumberjack,3,6,Poison,6,9,Baby Dragon,6,9,Zap,11,14,Barbarian Barrel,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T133241.000Z,,54000017,Master III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,1,#L2YRQY0V,クラロワJAPAN！,16000054,Skeletons,11,14,Electro Spirit,11,14,Bats,11,14,Ice Golem,9,12,The Log,3,6,Spear Goblins,11,14,Fire Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VYLRRLY,KIMU,4562,0,#G90CV982,令和3年2021冬季大会,16000166,Sparky,3,6,Electro Wizard,3,6,Dark Prince,6,9,Rage,6,9,Goblin Giant,6,9,Zap,11,14,Heal Spirit,9,12,Elite Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T132042.000Z,,54000017,Master III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,1,#L2YRQY0V,クラロワJAPAN！,16000054,Inferno Dragon,3,6,Skeletons,11,14,Tombstone,9,12,Lightning,6,9,Archer Queen,1,4,Tornado,6,9,Electro Giant,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CCLUYVP9,Master Take™,4378,0,#L998VG2R,TOPPURCUK,16000120,Ice Spirit,11,14,Ice Golem,9,12,Musketeer,9,12,The Log,3,6,Cannon,11,14,Skeletons,11,14,Lightning,6,9,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T120725.000Z,,54000015,Master I,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,1,#L2YRQY0V,クラロワJAPAN！,16000054,Giant Snowball,11,14,Magic Archer,3,6,Bandit,3,6,Goblin Drill,6,9,Electro Wizard,3,6,Royal Ghost,3,6,Skeletons,11,14,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQR9GG0J0,ぷれ出た〜,6093,0,#LVQ2V2J2,Green ogress,16000136,Royal Ghost,3,6,Magic Archer,3,6,Mother Witch,3,6,Barbarian Barrel,6,9,Bandit,3,6,Battle Ram,9,12,Heal Spirit,9,12,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T120152.000Z,,54000017,Master III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,1,#L2YRQY0V,クラロワJAPAN！,16000054,Giant Snowball,11,14,Magic Archer,3,6,Bandit,3,6,Goblin Drill,6,9,Electro Wizard,3,6,Royal Ghost,3,6,Skeletons,11,14,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYLC9C2JJ,もやっすう™,6213,0,#LVQ2V2J2,Green ogress,16000136,Mega Minion,9,12,Graveyard,3,6,Inferno Tower,9,12,Freeze,6,9,Archers,11,14,Bowler,6,9,Valkyrie,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115818.000Z,,54000017,Master III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,1,#L2YRQY0V,クラロワJAPAN！,16000054,Royal Giant,11,14,Fisherman,3,6,Mother Witch,3,6,Mega Minion,9,12,Electro Spirit,11,14,Dark Prince,6,9,Fireball,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYLC9C2JJ,もやっすう™,6213,0,#LVQ2V2J2,Green ogress,16000136,Rocket,9,12,The Log,3,6,Tornado,6,9,Executioner,6,9,Valkyrie,9,12,Hog Rider,9,12,Ice Spirit,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115442.000Z,,54000017,Master III,72000007,Friendly,,collection,#2QLY0PJY8,センニン,6838,1,#L2YRQY0V,クラロワJAPAN！,16000054,Mini P.E.K.K.A,9,12,Hog Rider,9,12,Fire Spirit,11,14,Rocket,9,12,The Log,3,6,Bats,11,14,Ice Golem,9,12,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYLC9C2JJ,もやっすう™,6213,2,#LVQ2V2J2,Green ogress,16000136,Lava Hound,3,6,Bomber,11,14,Minions,11,14,Arrows,11,14,Skeletons,11,14,Balloon,6,9,Inferno Dragon,3,6,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T112402.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QLY0PJY8,センニン,6838,2,#L2YRQY0V,クラロワJAPAN！,16000054,Inferno Dragon,5,6,Skeletons,14,14,Tombstone,11,12,Lightning,8,9,Archer Queen,4,4,Tornado,7,9,Electro Giant,8,9,Barbarian Barrel,8,9,#LJJ0J20L8,postal,,2,#L2YRQY0V,クラロワJAPAN！,16000054,Electro Giant,9,9,Golden Knight,4,4,Barbarian Barrel,9,9,Tornado,8,9,Lightning,8,9,Bomber,13,14,Baby Dragon,7,9,Goblin Cage,12,12,#PPV8YY9V,TRUENO,5319,0,#QQPQ8808,Made in ESPAÑA,16000172,Arrows,14,14,Fireball,12,12,Mini P.E.K.K.A,12,12,Goblin Gang,14,14,Valkyrie,12,12,Mega Knight,6,6,Bomber,14,14,Musketeer,12,12,#PLUQR8QC0,みかん,,0,#P928P2CR,Clan of Sirius3,16000051,Golem,9,9,Poison,9,9,Bats,14,14,Mega Minion,11,12,Zap,14,14,Mini P.E.K.K.A,12,12,Night Witch,6,6,Wizard,11,12
casual2v2,20220104T112051.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QLY0PJY8,センニン,6838,2,#L2YRQY0V,クラロワJAPAN！,16000054,Inferno Dragon,5,6,Skeletons,14,14,Tombstone,11,12,Lightning,8,9,Archer Queen,4,4,Tornado,7,9,Electro Giant,8,9,Barbarian Barrel,8,9,#LJJ0J20L8,postal,,2,#L2YRQY0V,クラロワJAPAN！,16000054,Electro Giant,9,9,Golden Knight,4,4,Barbarian Barrel,9,9,Tornado,8,9,Lightning,8,9,Bomber,13,14,Baby Dragon,7,9,Goblin Cage,12,12,#Y28L2C2J,yahya,5323,0,#2LV9C9YL,السعـ KSA ـودية,16000044,Three Musketeers,11,12,Knight,13,14,Elixir Collector,11,12,Bats,13,14,Princess,5,6,Skeletons,13,14,P.E.K.K.A,9,9,Zap,14,14,#2RLJ9VQ2,Arking,,0,#YRVL0GQ9,Foute Vrienden,16000014,Elixir Golem,11,12,Battle Healer,11,12,Electro Dragon,8,9,Rage,8,9,Elite Barbarians,14,14,Heal Spirit,11,12,Inferno Dragon,5,6,Arrows,13,14
