type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T175837.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#2QPGR0CV8,⚡️PS Rony,6814,1,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Royal Recruits,11,14,Arrows,11,14,Fireball,9,12,Goblin Cage,9,12,Royal Hogs,9,12,Golden Knight,1,4,Zappies,9,12,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G80L9CCPY,☯️toxico☠️,5304,0,#YQ9CC82P,DOLARIS,16000171,Ice Wizard,3,6,Graveyard,3,6,Knight,11,14,Barbarian Barrel,6,9,Dark Prince,6,9,Fireball,9,12,Inferno Dragon,3,6,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T175352.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#2QPGR0CV8,⚡️PS Rony,6814,1,,,,Mega Knight,3,6,Inferno Dragon,3,6,Bats,11,14,Bandit,3,6,Miner,3,6,Goblin Gang,11,14,Skeleton Barrel,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G80L9CCPY,☯️toxico☠️,5304,0,#YQ9CC82P,DOLARIS,16000171,Ice Wizard,3,6,Graveyard,3,6,Knight,11,14,Barbarian Barrel,6,9,Dark Prince,6,9,Fireball,9,12,Inferno Dragon,3,6,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174938.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6780,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLLPVURP,vadimdmish,6829,0,#LQYPP289,Сила дивана,16000142,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163850.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6749,2,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGCG8UL2P,yoan974,6768,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Graveyard,6,6,Witch,9,9,Dark Prince,9,9,Zappies,12,12,Goblin Hut,12,12,Arrows,14,14,Barbarian Barrel,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163325.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6721,3,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRPUL8YR,Bolard0_13,6708,0,#PJ9PGCC9,⚔️bravehearts⚔️,16000004,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Minions,14,14,Tombstone,12,12,Goblin Gang,14,14,Lightning,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162936.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6690,1,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLQVRL8C,ttakko,6704,0,#JP89UJ9,☆ OLD STAR ☆,16000039,Mega Knight,6,6,Zappies,12,12,Goblin Giant,9,9,Zap,14,14,Witch,9,9,Ram Rider,6,6,Arrows,14,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162505.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6659,3,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82V9UQCGG,LEVANI GLP,6682,1,,,,Bandit,6,6,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Electro Wizard,6,6,Prince,9,9,Zap,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162013.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6692,0,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR8R9VL0U,ラム爺,6655,1,#LGYC9J9L,Black Mamba,16000096,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Magic Archer,6,6,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161447.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6723,0,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202C2CU0U,⚡Manoel⚡,6700,1,#L0U88RPP,AdultosdoROCK,16000010,Giant,12,12,Bowler,9,9,Night Witch,6,6,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160919.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QPGR0CV8,⚡️PS Rony,6697,3,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98L20Y09U,Tuptuś,6658,0,#YR28LQVY,Europe Masters,16000122,Lava Hound,6,6,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Zap,14,14,Miner,6,6,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
