type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182013.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6883,2,#9GLU0VCG,Guardianes,16000032,Executioner,9,9,P.E.K.K.A,9,9,Zap,14,14,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Bandit,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LPRVPQY9,Lothar丨ロリウス,6819,1,,,,Electro Giant,9,9,Dark Prince,9,9,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181347.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,3,#9GLU0VCG,Guardianes,16000032,Executioner,9,9,P.E.K.K.A,9,9,Zap,14,14,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Bandit,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6866,0,#LQ29RGCU,YouTube,16000012,Royal Giant,14,14,Golden Knight,4,4,Lightning,9,9,The Log,6,6,Electro Wizard,6,6,Mega Minion,12,12,Fisherman,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T181058.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,0,#9GLU0VCG,Guardianes,16000032,Goblin Cage,11,12,Bomber,13,14,Fireball,11,12,Hog Rider,12,12,Royal Recruits,13,14,Flying Machine,11,12,Giant Snowball,13,14,Zappies,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J9ULRGL,<c4>Bloodless,6065,1,#2VYV9V2V,EpicShockZz ♤,16000154,Hog Rider,12,12,Ice Golem,12,12,Skeletons,14,14,Ice Spirit,14,14,Fireball,12,12,Cannon,14,14,The Log,6,6,Musketeer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T180732.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,3,#9GLU0VCG,Guardianes,16000032,Battle Ram,12,12,Electro Wizard,6,6,Zap,14,14,P.E.K.K.A,9,9,Bandit,6,6,Royal Ghost,6,6,Magic Archer,6,6,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L229UYYP,Joe,5731,1,#Y82J9J,纽约.cn.one,16000165,Goblin Hut,11,12,Cannon Cart,9,9,The Log,6,6,Electro Wizard,5,6,Flying Machine,12,12,Fireball,12,12,Furnace,12,12,Mega Knight,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T143440.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,3,#9GLU0VCG,Guardianes,16000032,Battle Ram,12,12,Electro Wizard,6,6,P.E.K.K.A,9,9,Bandit,6,6,Poison,9,9,Zap,14,14,Earthquake,12,12,Royal Ghost,6,6,#8GU2YUUG,craig,,3,#YCUPRCPC,2 Nations,16000171,Hog Rider,12,12,Goblin Hut,12,12,Freeze,9,9,Fireball,12,12,Barbarians,14,14,Inferno Dragon,6,6,Valkyrie,12,12,Witch,9,9,#28L2UYRQY,Roberto,5649,1,#PL88PCGG,mais forte,16000058,Giant Skeleton,9,9,Mirror,9,9,Balloon,9,9,Wizard,12,12,Lumberjack,6,6,Clone,9,9,Rocket,12,12,Witch,9,9,#QG90082,mighty manan,,1,#9C9JRJRR,Indian Rebels,16000059,Golem,9,9,Night Witch,6,6,Firecracker,14,14,Skeleton King,4,4,Mini P.E.K.K.A,12,12,Tornado,9,9,Lightning,9,9,The Log,6,6
casual2v2,20220104T143126.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,0,#9GLU0VCG,Guardianes,16000032,Battle Ram,12,12,Electro Wizard,6,6,P.E.K.K.A,9,9,Bandit,6,6,Poison,9,9,Zap,14,14,Earthquake,12,12,Royal Ghost,6,6,#90R8L8GPQ,MOHNISH REDZONE,,0,#LGRQCR22,INDIAN KINGDOM,16000059,Mega Knight,6,6,Firecracker,14,14,Zap,14,14,Electro Wizard,6,6,Hog Rider,12,12,Goblin Gang,14,14,Bandit,6,6,Dark Prince,9,9,#8U922GGJ,Rafael,5426,1,#Q2Q0V2Y,mexico,16000081,Electro Wizard,6,6,Poison,9,9,Mini P.E.K.K.A,12,12,Mega Knight,6,6,Wizard,12,12,The Log,6,6,Dart Goblin,12,12,Guards,9,9,#9G0LCLLP8,demian,,1,#Q2Q0V2Y,mexico,16000081,Lightning,9,9,Bats,14,14,Tornado,8,9,Dart Goblin,12,12,Mega Knight,6,6,Mini P.E.K.K.A,12,12,Musketeer,12,12,The Log,6,6
casual1v1,20220104T142559.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,0,#9GLU0VCG,Guardianes,16000032,Battle Ram,12,12,Electro Wizard,6,6,P.E.K.K.A,9,9,Bandit,6,6,Poison,9,9,Zap,14,14,Earthquake,12,12,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9UU9J9R,carch,4310,3,#QCUYL9RY,le meilleur,16000009,Baby Dragon,9,9,Hog Rider,12,12,Musketeer,12,12,Rocket,12,12,Knight,14,14,Skeleton Army,9,9,Ice Wizard,6,6,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T142435.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,0,#9GLU0VCG,Guardianes,16000032,Tornado,9,9,Skeletons,13,14,Baby Dragon,8,9,Dark Prince,8,9,Electro Dragon,9,9,Golem,9,9,Lumberjack,5,6,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20909J9C9,채원대디,6056,1,#R0JQRY8,직장인밴드,16000139,Electro Giant,9,9,Ice Wizard,5,6,Dark Prince,9,9,Tornado,8,9,Baby Dragon,9,9,Lightning,8,9,Goblin Cage,11,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T022008.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6852,3,#9GLU0VCG,Guardianes,16000032,Battle Ram,12,12,Electro Wizard,6,6,P.E.K.K.A,9,9,Bandit,6,6,Poison,9,9,Zap,14,14,Earthquake,12,12,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PV0CJ80,milkshakes,5416,0,#80Y2PRJ,#clashcourse,16000126,Ice Spirit,14,14,Ram Rider,5,6,Fireball,12,12,Minions,14,14,Fire Spirit,14,14,Zap,14,14,Barbarians,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T195357.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6818,1,#9GLU0VCG,Guardianes,16000032,Executioner,9,9,P.E.K.K.A,9,9,Zap,14,14,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Bandit,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,6869,0,#LLQYYRCY,InTheStorm,16000020,Zap,14,14,Bandit,6,6,Archer Queen,4,4,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
