type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T171729.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6732,2,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QLQVR0G,fryday,6718,1,#QJ80U9RY,USA All Stars,16000032,Knight,14,14,Skeletons,14,14,X-Bow,9,9,Electro Spirit,14,14,Tesla,14,14,Fireball,12,12,Archers,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171243.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6699,1,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYVQCVUC,King Taha,6735,0,#28YYLVPP,tabriz,16000026,Giant,12,12,Electro Wizard,6,6,Mega Minion,12,12,Fireball,12,12,Prince,9,9,Miner,6,6,Dark Prince,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170929.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6731,0,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20QGGPCRY,EGOIST,6703,1,#PPRYY2RC,Aeon Esports,16000177,Cannon,14,14,Fire Spirit,14,14,Skeletons,14,14,Royal Hogs,12,12,Earthquake,12,12,Royal Delivery,14,14,The Log,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170557.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6699,3,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V2GGGP8G,Jesús salinas,6723,0,#8V2C2880,Team Nanchi,16000024,Mega Knight,6,6,Fisherman,6,6,Inferno Dragon,6,6,Giant Snowball,14,14,Ram Rider,6,6,Bandit,6,6,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170326.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6731,1,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88CG9JY9C,Leogam09,6700,2,#8YLJ8UL2,Aftershock,16000011,The Log,6,6,Princess,6,6,Royal Ghost,6,6,Golden Knight,4,4,Lumberjack,6,6,Prince,9,9,Wizard,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165749.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6703,3,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2PYL,WoToP,6680,0,#LVQUJQG2,GOTAGANG,16000097,Royal Hogs,12,12,Flying Machine,12,12,Goblin Cage,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Electro Spirit,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165623.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6732,1,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCRR9QQ,SeaSickShrimp™,6736,2,#9CPV098R,Titan Warfare,16000156,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165239.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2QVPJCJU2,Acun,6762,0,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGUUVQUQ,Hector莱斯利,6751,1,#QCCLPYPL,RebelsMercenari,16000012,Royal Hogs,12,12,Archer Queen,4,4,The Log,6,6,Goblin Cage,12,12,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T145550.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#2QVPJCJU2,Acun,6762,3,#QQCPUGQ,#INDO COLONIAL,16000173,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Electro Spirit,11,14,Lightning,6,9,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88PP92RVR,Impulse_Greck52,5104,0,#YU9YRU0P,☠️LATINO-NY☠️,16000025,Ram Rider,3,6,Lightning,6,9,Mega Knight,3,6,Archer Queen,1,4,Electro Spirit,11,14,Giant Snowball,11,14,Bandit,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T145238.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#2QVPJCJU2,Acun,6762,1,#QQCPUGQ,#INDO COLONIAL,16000173,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Electro Spirit,11,14,Lightning,6,9,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQCV8UYY,Achille,5792,3,#PU2QU2QU,History,16000081,Ram Rider,3,6,Golden Knight,1,4,Royal Ghost,3,6,Electro Wizard,3,6,Lightning,6,9,P.E.K.K.A,6,9,Barbarian Barrel,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
