type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T024600.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6886,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C9VU22P0,¥XABLAU¥™,6822,0,#8QGPYC98,Infernal Kings,16000012,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024115.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6862,2,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VGGQU98R,ByMateo♥️503,6798,1,#YCQYVCCP,el salvador503,16000010,Balloon,9,9,Arrows,14,14,Barbarians,14,14,Skeleton Army,9,9,Ice Wizard,6,6,Royal Hogs,12,12,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023510.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6839,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VG8GV9UV,マヨネーズ大統領,6758,0,#2VUJ00YG,蒼穹ルベライト,16000128,Bowler,9,9,Fireball,12,12,Goblin Barrel,9,9,The Log,6,6,Mirror,9,9,Minion Horde,14,14,Furnace,12,12,Rascals,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T022928.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6865,0,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PV2R08L,the snowdog,6900,1,#LPURR99V,Sentinels,16000044,Giant,12,12,Graveyard,6,6,Giant Snowball,14,14,Archer Queen,4,4,Dark Prince,9,9,Skeleton Army,9,9,Arrows,14,14,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T022439.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6830,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6892,0,#YYC0Y8RU,Royalsoul✨,16000102,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T021934.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6796,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8C88LJG0,AL | Perfect ❤️,6848,0,,,,Tornado,9,9,Baby Dragon,9,9,Dark Prince,9,9,Royal Delivery,14,14,Mega Minion,12,12,Freeze,9,9,Graveyard,6,6,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T021539.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6768,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9PVVJ8VL,3hunna Nathan,6753,0,#L0V2VYQU,Team FX,16000029,Skeletons,14,14,Fireball,12,12,Archers,14,14,Electro Spirit,14,14,Knight,14,14,Tesla,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T021121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6802,0,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8P02LPVV,dairon:v,6748,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Lumberjack,6,6,Mega Knight,6,6,Giant Skeleton,9,9,Minion Horde,14,14,Skeleton Dragons,14,14,The Log,6,6,Ram Rider,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T020726.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6772,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L020JLR0,iPhone,6775,0,,,,P.E.K.K.A,9,9,Baby Dragon,9,9,Electro Wizard,6,6,Lumberjack,6,6,Barbarian Barrel,9,9,Freeze,9,9,Tornado,9,9,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T020041.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RC89GJ,TQ iAmJP,6743,1,#QU0LCRRR,KOI CLASH,16000039,Bomb Tower,12,12,Fireball,12,12,Magic Archer,6,6,Miner,6,6,Spear Goblins,14,14,Tornado,9,9,Valkyrie,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J8LRRLCC,きくけこ@タワーは飾り,6742,0,#Y9RRQGYY,はむもふ団,16000032,Mega Knight,6,6,Archer Queen,4,4,Ram Rider,6,6,Lightning,9,9,Fisherman,6,6,Royal Ghost,6,6,Barbarian Barrel,9,9,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
