type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T161122.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6842,1,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QGCCPQ28,✨みやの♥しほ✨,6861,0,#Q990YGRU,7000,16000176,Fireball,12,12,P.E.K.K.A,9,9,Battle Ram,12,12,Magic Archer,6,6,Bandit,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6814,1,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYLLYCGC8,YD,6800,0,#YP00GY20,اصدقاء العمر™,16000024,P.E.K.K.A,9,9,Electro Dragon,9,9,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,Magic Archer,6,6,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160241.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6784,3,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J02LCVV,PLANET,6793,0,#L2PYJ208,Hogriders,16000023,Valkyrie,12,12,Hog Rider,12,12,Goblins,14,14,Ice Spirit,14,14,Executioner,9,9,Tornado,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160013.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6756,1,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8209RP80Q,체다교관,6737,0,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155433.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6729,1,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJLUC9L0,GRAVE YARD,6697,0,#V229JG,LEBANON,16000024,Giant,12,12,Archer Queen,4,4,Skeleton Army,9,9,Graveyard,6,6,Mega Minion,12,12,Bowler,9,9,Giant Snowball,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155021.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6699,3,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G90LU02,Danger l F2P,6702,0,#22RYCRQ2,RoosterBlockers,16000095,Rocket,12,12,Skeletons,14,14,Inferno Tower,12,12,Goblin Drill,9,9,Electro Spirit,14,14,Princess,6,6,Valkyrie,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154743.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6731,0,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY0YGJRUL,mauboe,6706,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Dark Prince,9,9,Fire Spirit,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154346.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6701,2,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JV8802J,sesik,6704,1,#Y09Q9C20,11○Hermanos⚔,16000146,Lava Hound,6,6,Tombstone,12,12,Miner,6,6,Arrows,14,14,Flying Machine,12,12,Guards,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153912.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6729,0,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6747,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153352.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2RJQC8GV9,TMB I Mereegøg✨,6758,0,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q08YVP90,Nova l SORA™,6763,1,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
