type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T174414.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QVCL28YY0,Dracule Mihawk,5602,0,#9R80JYR8,ChilePan,16000038,Royal Hogs,9,12,Fire Spirit,11,14,Goblin Cage,9,12,The Log,3,6,Archer Queen,1,4,Skeletons,11,14,Royal Delivery,11,14,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170002.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VJQCQP8Q,☆Copa mayt☆,5316,0,#9Q9VRQCP,NOVA ARGENTINA,16000093,Electro Giant,6,9,Earthquake,9,12,Barbarian Barrel,6,9,Prince,6,9,Bomber,11,14,Tombstone,9,12,Archer Queen,1,4,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T165646.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,0,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CRVL2Y88,typo,5368,1,#YP9LVYGL,Paladins,16000013,Skeleton King,1,4,The Log,3,6,Fireball,9,12,Mother Witch,3,6,Skeleton Army,6,9,Royal Giant,11,14,Zappies,9,12,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T165159.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#829PUUQUY,ElRobert,5705,0,#Q2QV02UR,Allmoon'S,16000032,Fire Spirit,11,14,Lightning,6,9,Dark Prince,6,9,Mother Witch,3,6,Tornado,6,9,Electro Giant,6,9,Tombstone,9,12,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T164848.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99VP80L9R,hudlehan,6289,0,#PYJGPJ8C,m.l.k,16000121,Bats,11,14,Graveyard,3,6,Tornado,6,9,Goblin Cage,9,12,Skeleton Army,6,9,Fireball,9,12,Skeleton King,1,4,Witch,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T164536.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VP9QQRCG,Fedeelmatador,5150,0,#YLLCYC2P,TeamClasher,16000171,Ice Spirit,11,14,Skeletons,11,14,Royal Delivery,11,14,Goblin Cage,9,12,Archer Queen,1,4,Earthquake,9,12,Royal Hogs,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T164152.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RG09RQJU,FaZePlanta,5574,0,#90PC0C2Q,Mexico Power,16000081,Knight,11,14,Spear Goblins,11,14,Bats,11,14,Wall Breakers,6,9,Miner,3,6,Fireball,9,12,Bomb Tower,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T163842.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90Q80YLRL,Chispitas,5688,0,#LGR82GYP,COCA-COLA,16000002,Electro Giant,6,9,Goblin Cage,9,12,Dark Prince,6,9,Lightning,6,9,Golden Knight,1,4,Ice Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T163532.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8QVCY88L,꧁༺DANIEL༻꧂,1627,0,#YVVR98UY,SOPLO DE VIDA,16000128,Golden Knight,1,4,Electro Giant,6,9,Inferno Dragon,3,6,Golem,6,9,Lightning,6,9,Prince,6,9,Sparky,3,6,X-Bow,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T163220.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#2U0LJ9CJ,WUFFI ボースン,6768,1,#YVG2RLPR,Geilo Fabritz,16000009,Ice Wizard,3,6,Graveyard,3,6,Barbarian Barrel,6,9,Baby Dragon,6,9,Poison,6,9,Valkyrie,9,12,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92YGLR9J,Oscar TrvG,5789,0,#L9JY9022,LosHermosoTrevi,16000171,Valkyrie,9,12,Hog Rider,9,12,The Log,3,6,Tesla,11,14,Skeletons,11,14,Fire Spirit,11,14,Firecracker,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
