type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T165106.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6817,1,#PYGQQC2P,Divine Saga,16000043,Lava Hound,3,6,Skeleton King,1,4,Guards,6,9,Balloon,6,9,Fireball,9,12,Skeleton Dragons,11,14,Tombstone,9,12,Night Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CVJPRY2C,ゆぽん,5461,2,#PYGQQC2P,Divine Saga,16000043,Archer Queen,1,4,The Log,3,6,Hog Rider,9,12,Knight,11,14,Skeletons,11,14,Bomb Tower,9,12,Fire Spirit,11,14,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T164638.000Z,,54000017,Master III,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6817,1,#PYGQQC2P,Divine Saga,16000043,Bats,11,14,Miner,3,6,Valkyrie,9,12,Fireball,9,12,Dart Goblin,9,12,Mortar,11,14,Guards,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QY82VP9V,える,6482,0,#PYGQQC2P,Divine Saga,16000043,Rascals,11,14,Bats,11,14,The Log,3,6,Rocket,9,12,Miner,3,6,Spear Goblins,11,14,Guards,6,9,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T145654.000Z,,54000015,Master I,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6817,1,,,,Bowler,6,9,Fireball,9,12,Goblin Barrel,6,9,The Log,3,6,Mirror,6,9,Minion Horde,11,14,Furnace,9,12,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJRRLRJP,プリたお,6271,0,#PLLCPCQP,ULTRAMAN,16000166,Archer Queen,1,4,Baby Dragon,6,9,Tornado,6,9,Tombstone,9,12,Graveyard,3,6,Valkyrie,9,12,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T145142.000Z,,54000015,Master I,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6817,3,,,,Lava Hound,3,6,Skeleton King,1,4,Guards,6,9,Balloon,6,9,Fireball,9,12,Skeleton Dragons,11,14,Tombstone,9,12,Night Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJRRLRJP,プリたお,6271,1,#PLLCPCQP,ULTRAMAN,16000166,Mega Knight,3,6,Archer Queen,1,4,Prince,6,9,Royal Ghost,3,6,Miner,3,6,Wall Breakers,6,9,Bats,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135920.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6792,1,,,,Princess,6,6,Dark Prince,9,9,Rocket,12,12,Goblin Barrel,9,9,Rascals,14,14,Cannon Cart,9,9,Giant Snowball,14,14,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUV8R88Y,GianpaoloPEKKA™,6745,0,#RLPCRY,Fedeltà♡,16000044,Golden Knight,4,4,Zap,14,14,Fireball,12,12,Fisherman,6,6,P.E.K.K.A,9,9,Mother Witch,6,6,Electro Wizard,6,6,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T135234.000Z,,54000016,Master II,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6792,0,,,,Lava Hound,3,6,Skeleton King,1,4,Guards,6,9,Balloon,6,9,Fireball,9,12,Skeleton Dragons,11,14,Tombstone,9,12,Night Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9QVQCGC,やすおう^_^,6596,1,#YJQPRRQV,Splash moon,16000032,Bowler,6,9,Balloon,6,9,Lumberjack,3,6,Baby Dragon,6,9,Inferno Dragon,3,6,Tornado,6,9,Freeze,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T134835.000Z,,54000016,Master II,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6792,1,,,,Mega Knight,3,6,Giant Snowball,11,14,Archer Queen,1,4,Electro Spirit,11,14,Ram Rider,3,6,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9QVQCGC,やすおう^_^,6596,2,#YJQPRRQV,Splash moon,16000032,Mega Knight,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,Archer Queen,1,4,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124936.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6767,1,,,,Princess,6,6,Dark Prince,9,9,Rocket,12,12,Goblin Barrel,9,9,Rascals,14,14,Cannon Cart,9,9,Giant Snowball,14,14,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22YYVPLVG,Ausbilder Roli,6712,0,#8YQCGGPY,⚡️SD Royal⚡️,16000008,Electro Giant,9,9,Dark Prince,9,9,Inferno Dragon,6,6,Bomber,14,14,Mother Witch,6,6,Lightning,9,9,Goblin Cage,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T123907.000Z,,54000017,Master III,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6767,0,#Q98CPC8Q,大会,16000029,Golden Knight,1,4,Goblin Barrel,6,9,Princess,3,6,Rascals,11,14,Arrows,11,14,Dart Goblin,9,12,Wall Breakers,6,9,Inferno Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLQ89UCLU,Wakkun,6596,1,#Q98CPC8Q,大会,16000029,Mega Knight,3,6,Wall Breakers,6,9,Miner,3,6,Archer Queen,1,4,Prince,6,9,Bats,11,14,Zap,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T123341.000Z,,54000017,Master III,72000007,Friendly,,collection,#2UJCYVJVL,⭐️清歌;CC⭐️,6767,3,#Q98CPC8Q,大会,16000029,Lava Hound,3,6,Skeleton King,1,4,Guards,6,9,Balloon,6,9,Fireball,9,12,Skeleton Dragons,11,14,Tombstone,9,12,Night Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLQ89UCLU,Wakkun,6596,1,#Q98CPC8Q,大会,16000029,Bandit,3,6,Ram Rider,3,6,Royal Ghost,3,6,Giant Snowball,11,14,Electro Spirit,11,14,Lightning,6,9,Mega Knight,3,6,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
