type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T192121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6595,1,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CUJ08CU,Fester84,6592,0,#VUUJUV,Midwest Mafia,16000164,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Fireball,12,12,Electro Spirit,14,14,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191757.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6565,3,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VR82YJPL,Francois❤️Clem,6574,0,#LVR80LPV,Z-Ray,16000040,Skeleton Army,9,9,Skeleton Barrel,14,14,Inferno Tower,12,12,The Log,6,6,Goblin Barrel,9,9,Dart Goblin,12,12,Knight,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191514.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6532,1,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LUJ9L28U,Mr.Omar❤️,6569,0,#LVYJGYY8,Zermea Esports,16000158,Knight,14,14,X-Bow,9,9,Archer Queen,4,4,Rocket,12,12,The Log,6,6,Electro Spirit,14,14,Skeletons,14,14,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191105.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6505,2,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CC92YQYQ,Stressinjo,6481,1,#LJGJLCPG,Relentless™️,16000096,Lava Hound,6,6,Balloon,9,9,Miner,6,6,Guards,9,9,Inferno Dragon,6,6,Arrows,14,14,Fireball,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190738.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6532,0,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP08JRLUQ,Daiki,6559,1,#YQL998VY,Albino,16000134,Rascals,14,14,Cannon Cart,9,9,Dark Prince,9,9,Spear Goblins,14,14,Goblin Barrel,9,9,Princess,6,6,Giant Snowball,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190312.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6558,1,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JC8JPC,FilipR❤️NoSkill,6600,2,#G9999998,KhAoS SuPrEmE,16000125,Knight,14,14,Spear Goblins,14,14,The Log,6,6,Tornado,9,9,Wall Breakers,9,9,Magic Archer,6,6,Miner,6,6,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185821.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6530,1,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRGQJ0PG,H1,6515,0,#Q20Y9QCY,Starfall,16000040,Golem,9,9,Barbarian Barrel,9,9,Lumberjack,6,6,Skeleton Dragons,14,14,Electro Dragon,9,9,Tornado,9,9,Elixir Collector,12,12,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185441.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6502,2,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQ80PGV,ThomasFR7,6487,1,#82Q0VRRU,Cthulhu eSports,16000028,Lava Hound,6,6,Miner,6,6,Tombstone,12,12,Flying Machine,12,12,Arrows,14,14,Barbarians,14,14,Skeleton Dragons,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184936.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6531,1,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PP0JJG2P,EpiC2000,6533,3,#88Q2RV2J,Destiny War™,16000011,Balloon,9,9,Valkyrie,12,12,Skeletons,13,14,Tornado,9,9,Executioner,9,9,Electro Spirit,14,14,Zap,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184624.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2UJLPGG9L,Eduardo GG!,6559,0,#LVG8C8Q8,Team Alpha MX,16000029,Arrows,14,14,Giant,12,12,Dark Prince,9,9,Giant Snowball,14,14,Bats,14,14,Skeleton Army,9,9,Graveyard,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8YC8YPGC,Seiya,6580,1,#YQL998VY,Albino,16000134,Barbarian Barrel,9,9,Ice Golem,12,12,Bats,14,14,Ice Spirit,14,14,Lumberjack,6,6,Musketeer,12,12,Balloon,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
