type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220103T192010.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#2V9PC0CQ,Grylls ☆,6750,3,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#URVCVRQ,♎️,5665,1,#L9Q9YGQ2,UK Adult Folk,16000060,Ram Rider,3,6,The Log,3,6,Mirror,6,9,Cannon Cart,6,9,Zappies,9,12,Goblin Cage,9,12,Lightning,6,9,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T191655.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#2V9PC0CQ,Grylls ☆,6750,3,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2VYLRJJ8,eliassvega,2630,0,#QUJJ2Q9U,SANTO DOMINGO,16000128,Ram Rider,3,6,Fire Spirit,11,14,Electro Wizard,3,6,Dark Prince,6,9,Ice Wizard,3,6,Mega Knight,3,6,The Log,3,6,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T191344.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#2V9PC0CQ,Grylls ☆,6750,3,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9U8LQQ2Q,ladycutty,3559,0,#LY0JQCUY,KSA‏أبطال,16000032,Ram Rider,3,6,Skeleton Army,6,9,Mega Knight,3,6,Balloon,6,9,Wizard,9,12,Archer Queen,1,4,Goblin Barrel,6,9,Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T191107.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#2V9PC0CQ,Grylls ☆,6750,0,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R022R2U,Zec,5090,1,#YVL2QCRC,PSC necrifilico,16000021,Ram Rider,3,6,P.E.K.K.A,6,9,The Log,3,6,Royal Ghost,3,6,Golden Knight,1,4,Giant Snowball,11,14,Magic Archer,3,6,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T190750.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#2V9PC0CQ,Grylls ☆,6750,1,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRYU2PLQ,叫我小宝鱼,5838,0,#V0Q0C0,永恒,16000044,Ram Rider,3,6,Golden Knight,1,4,Electro Wizard,3,6,P.E.K.K.A,6,9,Zap,11,14,Goblin Hut,9,12,Earthquake,9,12,Furnace,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T190230.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#2V9PC0CQ,Grylls ☆,6750,2,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JCRLJQY,untouchable,5755,1,#8G8J2GQ,iviL,16000024,Ram Rider,3,6,Guards,6,9,Electro Wizard,3,6,Magic Archer,3,6,Musketeer,9,12,Valkyrie,9,12,Electro Spirit,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T185840.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#2V9PC0CQ,Grylls ☆,6750,2,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0JYYJVQ,CoBoK,5474,1,#8GQQQC,Sachsenrevolte,16000024,Ram Rider,3,6,Flying Machine,9,12,Goblin Giant,6,9,Rocket,9,12,Barbarian Barrel,6,9,Earthquake,9,12,P.E.K.K.A,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T185526.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#2V9PC0CQ,Grylls ☆,6750,1,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PC9YYQY9V,A❤️~R,5185,0,#Q088PCGQ,الفوز لنا,16000114,Ram Rider,3,6,Mega Knight,3,6,Executioner,6,9,Knight,11,14,Ice Spirit,11,14,The Log,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T185159.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#2V9PC0CQ,Grylls ☆,6750,2,,,,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Royal Ghost,3,6,Bandit,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CU0PG9PG,Anakin,5250,1,#QUQCG088,EL KAKAS,16000098,Ram Rider,3,6,Wall Breakers,6,9,The Log,3,6,Miner,3,6,Bomb Tower,9,12,Tornado,6,9,Magic Archer,3,6,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T174340.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2V9PC0CQ,Grylls ☆,6719,1,,,,Dart Goblin,12,12,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,The Log,6,6,Princess,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPC0L0UC,Ｄｅｖｉｅｒت,6737,0,#G88GV8J8,⁂Gaming⁂Cycle⁂,16000096,Hog Rider,12,12,Valkyrie,12,12,Musketeer,12,12,Fireball,12,12,Mortar,14,14,Goblins,14,14,Zap,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T173749.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2V9PC0CQ,Grylls ☆,6688,1,,,,Dart Goblin,12,12,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,The Log,6,6,Princess,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP098UL8L,✨LENUX✨™️,6710,0,#YGP9P2Y0,Dame de Trêfle,16000171,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Baby Dragon,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T173309.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2V9PC0CQ,Grylls ☆,6717,0,,,,Dart Goblin,12,12,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,The Log,6,6,Princess,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRGYPPR8,優佑,6720,1,#PG2GYV2V,❤巨大スケルトンLOVE❤,16000024,Goblin Gang,14,14,Giant Skeleton,9,9,Zap,14,14,Miner,6,6,Hog Rider,12,12,Goblin Barrel,9,9,Archers,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
